uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,bloodSampleVolume,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,identifiedBy,identifiedDate,remarks,dataQF,dataEntryRecordID
"5b423e58-9194-46fd-bd2e-f5e108291f5c","a1fffa35-80cd-4999-aa6f-7497199ce64a","STEI_002.mammalGrid.mam","D05","STEI","STEI_002","J8","distributed","deciduousForest",45.798538,-90.091314,"WGS84",45.2,523.0,0.3,"6 - trap set and empty","ShermanLF","2025-07-21","2025-07-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-8351-3471","0009-0009-7775-5413",,,,,"8c5e22e7-56c2-44ca-a701-6e13ef49f690"
"c1a6d9f6-4e36-45c6-b844-93c21e474df3","a1fffa35-80cd-4999-aa6f-7497199ce64a","STEI_002.mammalGrid.mam","D05","STEI","STEI_002","D10","distributed","deciduousForest",45.798538,-90.091314,"WGS84",45.2,523.0,0.3,"5 - capture","ShermanLF","2025-07-21","2025-07-21","NEON.MAM.D05.O002D1020250721",,"PESP","Peromyscus sp.","genus",,,,,"N","U","N","processed",,"unknown",,,,,,,,,,"U","U","U",,"did not check","dry ice",,,,,,,,,,,,,,,"0000-0002-8351-3471","0009-0009-7775-5413",,,,,"3f2caa9b-a627-4023-8090-6b3448fe8d09"
"44cf5f5c-9e07-45ba-b513-012213dd41f5","05783950-4ee5-4245-a1d7-53204cf09dc3","STEI_005.mammalGrid.mam","D05","STEI","STEI_005","J4","distributed","deciduousForest",45.826963,-90.084426,"WGS84",45.3,502.2,0.5,"2 - trap disturbed/door closed but empty","ShermanLF","2025-07-21","2025-07-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0009-0005-4169-543X","0009-0006-3393-1145",,,,,"dc1ab959-28f4-49a0-9444-a59c186e1e15"
"52619f59-fea4-43f9-98ef-e0d191f2fdd8","303ba2c7-faf8-479b-a883-df81b8a78b7b","STEI_012.mammalGrid.mam","D05","STEI","STEI_012","J10","distributed","deciduousForest",45.784603,-90.048055,"WGS84",45.4,518.9,0.4,"5 - capture","ShermanLF","2025-07-21","2025-07-21","NEON.MAM.D05.R10454",,"PELE","Peromyscus leucopus","species",,,,,"N","F","N","processed",,"subadult",,"nonenlarged","not","neither",20,15,,,13,"U","U","U",,"did not check","dry ice","STEI.20250721.R10454.B","D00000231288","mandibular",,"STEI.20250721.R10454.F","D00000231487","ok","STEI.20250721.R10454.E","D00000231417","STEI.20250721.R10454.H","A00000476890","hairAndWhisker",,,"0009-0009-7775-5413","0009-0006-3393-1145",,,,,"0d5aae54-fa28-4d5a-8bb3-15b2c0065736"
"9754b035-15df-4d92-aa5e-083dfbf22ba2","303ba2c7-faf8-479b-a883-df81b8a78b7b","STEI_012.mammalGrid.mam","D05","STEI","STEI_012","E2","distributed","deciduousForest",45.784603,-90.048055,"WGS84",45.4,518.9,0.4,"5 - capture","ShermanLF","2025-07-21","2025-07-21","NEON.MAM.D05.L10439",,"PELE","Peromyscus leucopus","species","cf. species",,,,"N","M","N","processed",,"adult","scrotal",,,,20,15,80,,21,"U","U","U",,"did not check","dry ice","STEI.20250721.L10439.B","D00000232061","mandibular - QNS","<10","STEI.20250721.L10439.F","D00000230830","ok","STEI.20250721.L10439.E","D00000231582","STEI.20250721.L10439.H","A00000476875","hairAndWhisker",,,"0009-0009-7775-5413","0009-0006-3393-1145",,,,,"b63d2413-746d-4db7-ba01-4653d6ffa50f"
"a8e1eeda-93a8-4dda-b114-aad6e67c8e1f","05783950-4ee5-4245-a1d7-53204cf09dc3","STEI_005.mammalGrid.mam","D05","STEI","STEI_005","A5","distributed","deciduousForest",45.826963,-90.084426,"WGS84",45.3,502.2,0.5,"2 - trap disturbed/door closed but empty","ShermanLF","2025-07-21","2025-07-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0009-0005-4169-543X","0009-0006-3393-1145",,,,,"a6352134-4d05-4f26-a6c6-d276ba4191c0"
"271514b2-f06e-4860-b982-3641dba25edd","303ba2c7-faf8-479b-a883-df81b8a78b7b","STEI_012.mammalGrid.mam","D05","STEI","STEI_012","J7","distributed","deciduousForest",45.784603,-90.048055,"WGS84",45.4,518.9,0.4,"6 - trap set and empty","ShermanLF","2025-07-21","2025-07-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0009-7775-5413","0009-0006-3393-1145",,,,,"53394241-4ce2-4e26-9c4f-65ee2ef45eab"
"6c6342c2-0706-4889-844b-c5c7df6919fd","303ba2c7-faf8-479b-a883-df81b8a78b7b","STEI_012.mammalGrid.mam","D05","STEI","STEI_012","J4","distributed","deciduousForest",45.784603,-90.048055,"WGS84",45.4,518.9,0.4,"3 - trap door open or closed w/ spoor left","ShermanLF","2025-07-21","2025-07-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0009-0009-7775-5413","0009-0006-3393-1145",,,,,"c5459318-320b-4399-b5dc-4504bf1a1694"
"a0fd6b12-21d2-4e80-8ccf-a73d7f4727cb","05783950-4ee5-4245-a1d7-53204cf09dc3","STEI_005.mammalGrid.mam","D05","STEI","STEI_005","G6","distributed","deciduousForest",45.826963,-90.084426,"WGS84",45.3,502.2,0.5,"3 - trap door open or closed w/ spoor left","ShermanLF","2025-07-21","2025-07-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0009-0005-4169-543X","0009-0006-3393-1145",,,,,"49805cd5-fd4d-447b-accd-ae21179fbb99"
"9df928d0-9119-4ef1-9af5-410bfa4ab670","a1fffa35-80cd-4999-aa6f-7497199ce64a","STEI_002.mammalGrid.mam","D05","STEI","STEI_002","C2","distributed","deciduousForest",45.798538,-90.091314,"WGS84",45.2,523.0,0.3,"5 - capture","ShermanLF","2025-07-21","2025-07-21","NEON.MAM.D05.R10457",,"PELE","Peromyscus leucopus","species",,,,,"N","M","N","processed",,"adult","nonscrotal",,,,20,14,,,21,"U","U","U",,"did not check","dry ice","STEI.20250721.R10457.B","D00000232079","mandibular - QNS","<10",,,,"STEI.20250721.R10457.E","D00000230792",,,,,,"0000-0002-8351-3471","0009-0009-7775-5413",,,,,"e9549d55-5ce3-43fd-8f39-fb32e91fe23d"
"fd71464d-05ef-4fa6-882c-d7d0e79c1682","303ba2c7-faf8-479b-a883-df81b8a78b7b","STEI_012.mammalGrid.mam","D05","STEI","STEI_012","H9","distributed","deciduousForest",45.784603,-90.048055,"WGS84",45.4,518.9,0.4,"6 - trap set and empty","ShermanLF","2025-07-21","2025-07-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0009-7775-5413","0009-0006-3393-1145",,,,,"af4c3a87-43db-427b-9410-e90835675ad4"
"9f3cceb4-6381-4cab-9470-04afcd110e9d","303ba2c7-faf8-479b-a883-df81b8a78b7b","STEI_012.mammalGrid.mam","D05","STEI","STEI_012","A4","distributed","deciduousForest",45.784603,-90.048055,"WGS84",45.4,518.9,0.4,"6 - trap set and empty","ShermanLF","2025-07-21","2025-07-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0009-7775-5413","0009-0006-3393-1145",,,,,"02cbc8cf-55cb-4f11-82cb-836ddcd4db24"
"c76377a7-22ff-4f51-813c-32308567a8e7","a1fffa35-80cd-4999-aa6f-7497199ce64a","STEI_002.mammalGrid.mam","D05","STEI","STEI_002","H3","distributed","deciduousForest",45.798538,-90.091314,"WGS84",45.2,523.0,0.3,"6 - trap set and empty","ShermanLF","2025-07-21","2025-07-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-8351-3471","0009-0009-7775-5413",,,,,"020aa9d6-9b1a-47fa-b07c-80c2235b71ba"
"17ca1825-ff68-4d35-b116-aa4a417646b2","05783950-4ee5-4245-a1d7-53204cf09dc3","STEI_005.mammalGrid.mam","D05","STEI","STEI_005","E5","distributed","deciduousForest",45.826963,-90.084426,"WGS84",45.3,502.2,0.5,"5 - capture","ShermanLF","2025-07-21","2025-07-21","NEON.MAM.D05.R10478",,"PEMA","Peromyscus maniculatus","species",,,,,"N","M","N","processed",,"subadult","nonscrotal",,,,21,18,,,12,"N","N","N",,"none","dry ice",,,"unsuccessful",,"STEI.20250721.R10478.F","D00000231437","ok","STEI.20250721.R10478.E","D00000230834","STEI.20250721.R10478.H","A00000476865","hairAndWhisker",,,"0009-0005-4169-543X","0009-0006-3393-1145",,,,,"db353125-86c3-4d8b-8727-ae04509a8060"
"a8061287-dfce-437d-ade7-cbd0f8180d48","05783950-4ee5-4245-a1d7-53204cf09dc3","STEI_005.mammalGrid.mam","D05","STEI","STEI_005","J6","distributed","deciduousForest",45.826963,-90.084426,"WGS84",45.3,502.2,0.5,"2 - trap disturbed/door closed but empty","ShermanLF","2025-07-21","2025-07-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0009-0005-4169-543X","0009-0006-3393-1145",,,,,"199b744d-c9dd-442e-872d-22a4b8546597"
"ae287ae8-bad2-4d0d-b007-5ff73d0903f5","05783950-4ee5-4245-a1d7-53204cf09dc3","STEI_005.mammalGrid.mam","D05","STEI","STEI_005","D9","distributed","deciduousForest",45.826963,-90.084426,"WGS84",45.3,502.2,0.5,"3 - trap door open or closed w/ spoor left","ShermanLF","2025-07-21","2025-07-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0009-0005-4169-543X","0009-0006-3393-1145",,,,,"aafc11eb-d4aa-4bb4-9bef-ae19dccf2c3f"
"81c7b30e-6c6b-47ec-8c17-5798ba2b7586","a1fffa35-80cd-4999-aa6f-7497199ce64a","STEI_002.mammalGrid.mam","D05","STEI","STEI_002","A5","distributed","deciduousForest",45.798538,-90.091314,"WGS84",45.2,523.0,0.3,"6 - trap set and empty","ShermanLF","2025-07-21","2025-07-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-8351-3471","0009-0009-7775-5413",,,,,"9b0e8661-cab0-4c3e-be0c-9537f91567c7"
