uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"6b6ee31c-ae48-40e3-9c65-70346e0e01c0","79d3547f-fef9-475a-a9e0-883875936b72","STER.2024.43","STER_006.mammalGrid.mam","D10","STER","STER_006","pathogen","2024-10-23","2024-10-23","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"8c3818cb-a63a-41e5-8dc2-7ab84dab7c01","18186198-d756-45f0-9bd3-34e267f42773","STER.2024.43","STER_028.mammalGrid.mam","D10","STER","STER_028","diversity","2024-10-23","2024-10-23","OK","setting complete, no small mammals captured","NEON.DOC.000481vQ",,
"bf4c3f0b-b59e-466e-b0d5-f800d0626d3b","0ad9e371-ccf3-415e-9c9f-17b6bfcf3083","STER.2024.43","STER_029.mammalGrid.mam","D10","STER","STER_029","pathogen","2024-10-23","2024-10-23","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"f1ec6d88-8083-499e-b1bf-aec766db2225","b1debe7e-4e06-49fc-9ae1-d225cd61b811","STER.2024.43","STER_031.mammalGrid.mam","D10","STER","STER_031","pathogen","2024-10-23","2024-10-23","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"e67b3d88-0ac9-4189-8b8a-b70ab3544e61","5161ddc9-75c1-4e59-ac72-2884b76bef8b","STER.2024.43","STER_031.mammalGrid.mam","D10","STER","STER_031","pathogen","2024-10-24","2024-10-24","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"d24f9496-2ecf-481e-993d-9707ef93fb67","5be4c590-5c5c-4e13-bd80-37836238c0df","STER.2024.43","STER_006.mammalGrid.mam","D10","STER","STER_006","pathogen","2024-10-24","2024-10-24","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"d8d83447-7524-49a1-ad43-21ba6d7a6d08","e89bc508-1d4b-41b6-9260-0c5c14e2fc8b","STER.2024.43","STER_026.mammalGrid.mam","D10","STER","STER_026","diversity","2024-10-24","2024-10-24","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"7163bcf1-1c38-4324-bdcf-b543be5c3240","cb3986a4-bea3-4079-b68a-f2b4c0981a85","STER.2024.43","STER_029.mammalGrid.mam","D10","STER","STER_029","pathogen","2024-10-24","2024-10-24","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"e4de6db1-8ddd-4d63-8451-cf41b50a9374","1bbf33b7-b707-44ca-b4e3-63d979281c0d","STER.2024.43","STER_031.mammalGrid.mam","D10","STER","STER_031","pathogen","2024-10-25","2024-10-25","OK","setting complete, no small mammals captured","NEON.DOC.000481vQ",,
"edfb4cf1-f399-4860-a02c-87f9babe2072","63ed0583-4087-4124-afb5-e54bce95951b","STER.2024.43","STER_029.mammalGrid.mam","D10","STER","STER_029","pathogen","2024-10-25","2024-10-25","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"c01ca265-e743-4292-8df9-675310e8cf4b","a3f55110-3853-482a-8056-418912cdde86","STER.2024.43","STER_006.mammalGrid.mam","D10","STER","STER_006","pathogen","2024-10-25","2024-10-25","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"100f9220-a19d-4cce-ab74-fe6780de2ba6","6b71e117-559b-456a-b34d-dcb1311858b2","STER.2024.43","STER_027.mammalGrid.mam","D10","STER","STER_027","diversity","2024-10-25","2024-10-25","OK","setting complete, no small mammals captured","NEON.DOC.000481vQ",,
