uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"15d2e3f2-a83c-4d5a-a3f9-7e636f19f33b","5afae634-4adf-4ffc-8243-32f888a71a5e","TALL.2024.10","TALL_006.mammalGrid.mam","D08","TALL","TALL_006","diversity","2024-03-08","2024-03-08","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"abaffc4a-b108-4256-88a3-359b9852ccb0","687e7194-d2b7-4be3-96be-945725a17ef1","TALL.2024.10","TALL_013.mammalGrid.mam","D08","TALL","TALL_013","diversity","2024-03-08","2024-03-08","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"edba15fb-ee36-4c50-a757-4a9da6a7810c","c1c2fba1-c776-4d0d-a8b0-aa41517570f4","TALL.2024.10","TALL_012.mammalGrid.mam","D08","TALL","TALL_012","pathogen","2024-03-12","2024-03-12","OK","setting complete, no small mammals captured","NEON.DOC.000481vP",,
"ddb93703-17c9-46ac-aa0c-401c1621c898","365f12d9-65a8-4f60-93fd-fb9990e12244","TALL.2024.10","TALL_024.mammalGrid.mam","D08","TALL","TALL_024","pathogen","2024-03-12","2024-03-12","OK","setting complete, no small mammals captured","NEON.DOC.000481vP",,
"c62c2fb9-8794-4487-8476-549e6fdc8501","ad64d948-265f-4f5c-9cdd-e0690a0606c4","TALL.2024.10","TALL_015.mammalGrid.mam","D08","TALL","TALL_015","pathogen","2024-03-12","2024-03-12","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"68d2f65e-c8cd-4277-9b51-8f06cbdd84d0","778e9a19-ca80-4aa4-b1eb-ac6f54205b3a","TALL.2024.10","TALL_010.mammalGrid.mam","D08","TALL","TALL_010","pathogen","2024-03-12","2024-03-12","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"76baabd5-137d-41de-ae5d-dc7d5b6cba36","c5abdd5f-30f0-467a-90ad-bd6fe55427ac","TALL.2024.10","TALL_024.mammalGrid.mam","D08","TALL","TALL_024","pathogen","2024-03-14","2024-03-14","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"bc98d76f-31ea-4495-8971-ee7d42b86839","ac3f8fd6-6656-4e65-ad4e-1a318f7bee68","TALL.2024.10","TALL_010.mammalGrid.mam","D08","TALL","TALL_010","pathogen","2024-03-14","2024-03-14","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"b685e490-bb6b-48ea-9aac-c9995c1b5f47","ac8c1cdf-7b79-489e-960d-23c8d146c64f","TALL.2024.10","TALL_012.mammalGrid.mam","D08","TALL","TALL_012","pathogen","2024-03-14","2024-03-14","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"00b09c0a-046f-471a-8e1d-0e51880917a9","e4af12d1-0fa5-43c0-94bf-ed08786956f6","TALL.2024.10","TALL_015.mammalGrid.mam","D08","TALL","TALL_015","pathogen","2024-03-14","2024-03-14","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"80e1ec9d-ed39-4c9b-80d9-e001af614828","f3de7276-aaa5-4d94-b087-eb7c32bb51b5","TALL.2024.10","TALL_024.mammalGrid.mam","D08","TALL","TALL_024","pathogen","2024-03-15","2024-03-15","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"32a040be-e1d3-4573-abb9-3b9dad0e5fed","3a05acad-0d82-4344-a605-2ccd40294acf","TALL.2024.10","TALL_010.mammalGrid.mam","D08","TALL","TALL_010","pathogen","2024-03-15","2024-03-15","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"3729c7df-88f8-4533-8097-d0b3300303a3","cc8061cf-e80f-4ca0-bbfb-df93ef8156fa","TALL.2024.10","TALL_012.mammalGrid.mam","D08","TALL","TALL_012","pathogen","2024-03-15","2024-03-15","OK","setting complete, processing complete","NEON.DOC.000481vP","Heavy overnight rain closed some traps",
"497afae0-6a83-424e-a1da-3adb56f6cbab","3700637d-f58f-41d2-a85d-f8b47351ec85","TALL.2024.10","TALL_015.mammalGrid.mam","D08","TALL","TALL_015","pathogen","2024-03-15","2024-03-15","OK","setting complete, processing complete","NEON.DOC.000481vP",,
