uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,bloodSampleVolume,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,identifiedBy,identifiedDate,remarks,dataQF,dataEntryRecordID
"9df38c98-ef5d-4b4e-b6a8-2b000433b4dd","792bd196-4b15-46ea-bb2b-907935ca8059","TALL_012.mammalGrid.mam","D08","TALL","TALL_012","E1","distributed","mixedForest",32.918043,-87.397403,"WGS84",45.2,144.3,0.3,"6 - trap set and empty","ShermanLF","2024-06-11","2024-06-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-7122-6408","0000-0003-0686-286X",,,,,"8be66c83-3583-4fd1-a317-80d087b388b7"
"7c2a611d-5b2f-4661-b26c-a6fbad203c57","792bd196-4b15-46ea-bb2b-907935ca8059","TALL_012.mammalGrid.mam","D08","TALL","TALL_012","B7","distributed","mixedForest",32.918043,-87.397403,"WGS84",45.2,144.3,0.3,"6 - trap set and empty","ShermanLF","2024-06-11","2024-06-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-7122-6408","0000-0003-0686-286X",,,,,"4380bcdf-61bb-4def-bec2-2ef0574843fd"
"5c92d823-c340-4814-b65c-8caf80b25304","865cac97-8667-4798-b107-f10a393547c3","TALL_024.mammalGrid.mam","D08","TALL","TALL_024","C3","distributed","deciduousForest",32.923284,-87.420296,"WGS84",45.5,126.0,0.7,"6 - trap set and empty","ShermanLF","2024-06-11","2024-06-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-0686-286X","0000-0002-7122-6408",,,,,"ff61cacf-6f2e-4265-88e5-924ec7383589"
"09880c83-1842-4269-9b5d-224f0c6fbc42","b0e6d40c-ca42-4d74-9b4f-cd2f10c68e2b","TALL_015.mammalGrid.mam","D08","TALL","TALL_015","H4","distributed","deciduousForest",32.916575,-87.436582,"WGS84",45.1,112.2,0.2,"6 - trap set and empty","ShermanLF","2024-06-11","2024-06-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-3172-1559","0000-0002-8839-6825",,,,,"e1381c98-fea8-4aa4-8e12-a2b979a5db0b"
"8ea257d5-3124-498d-a5db-bcec2452e1d8","bd200f01-a327-4163-b584-8fdb00fcb3eb","TALL_010.mammalGrid.mam","D08","TALL","TALL_010","I10","distributed","deciduousForest",32.925717,-87.418569,"WGS84",45.2,150.1,0.2,"6 - trap set and empty","ShermanLF","2024-06-11","2024-06-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-7122-6408","0000-0003-0686-286X",,,,,"bf466019-9264-4570-af03-a6743cea6a34"
"6c21f72f-86aa-4cee-829d-d7b7ee4b0580","792bd196-4b15-46ea-bb2b-907935ca8059","TALL_012.mammalGrid.mam","D08","TALL","TALL_012","A2","distributed","mixedForest",32.918043,-87.397403,"WGS84",45.2,144.3,0.3,"6 - trap set and empty","ShermanLF","2024-06-11","2024-06-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-7122-6408","0000-0003-0686-286X",,,,,"d9907a1b-57ea-419b-928c-0f6c64be9c75"
"313033a1-5eaf-445a-bf29-ee9fe0584736","b0e6d40c-ca42-4d74-9b4f-cd2f10c68e2b","TALL_015.mammalGrid.mam","D08","TALL","TALL_015","D1","distributed","deciduousForest",32.916575,-87.436582,"WGS84",45.1,112.2,0.2,"6 - trap set and empty","ShermanLF","2024-06-11","2024-06-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-3172-1559","0000-0002-8839-6825",,,,,"3191525b-0162-4129-b737-cc8c62bd04f0"
"ed5cd531-154e-4ae9-8cfe-a0bec4a470be","bd200f01-a327-4163-b584-8fdb00fcb3eb","TALL_010.mammalGrid.mam","D08","TALL","TALL_010","A9","distributed","deciduousForest",32.925717,-87.418569,"WGS84",45.2,150.1,0.2,"6 - trap set and empty","ShermanLF","2024-06-11","2024-06-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-7122-6408","0000-0003-0686-286X",,,,,"268039aa-fbbe-48a8-9f8c-103656cae972"
"9e5996ed-6eda-427c-aa2e-b707c43f3759","865cac97-8667-4798-b107-f10a393547c3","TALL_024.mammalGrid.mam","D08","TALL","TALL_024","B9","distributed","deciduousForest",32.923284,-87.420296,"WGS84",45.5,126.0,0.7,"6 - trap set and empty","ShermanLF","2024-06-11","2024-06-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-0686-286X","0000-0002-7122-6408",,,,,"572b46f0-712a-4ea4-a6f9-cfb79f146d54"
"e53fd39b-7ad7-4464-9bab-6b773cf0a20a","b0e6d40c-ca42-4d74-9b4f-cd2f10c68e2b","TALL_015.mammalGrid.mam","D08","TALL","TALL_015","F2","distributed","deciduousForest",32.916575,-87.436582,"WGS84",45.1,112.2,0.2,"3 - trap door open or closed w/ spoor left","ShermanLF","2024-06-11","2024-06-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0000-0003-3172-1559","0000-0002-8839-6825",,,,,"2d1f5325-9dd0-4a21-be10-3cbcc5a10bd9"
