uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,bloodSampleVolume,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,identifiedBy,identifiedDate,remarks,dataQF,dataEntryRecordID
"e8f0d0ab-9948-4932-b38e-19f6bfb7814d","b729f193-e8a4-4cea-961c-0675923ed456","TEAK_010.mammalGrid.mam","D17","TEAK","TEAK_010","E10","distributed","evergreenForest",37.015799,-119.049156,"WGS84",45.1,2203.0,0.2,"1 - trap not set","ShermanLF","2024-07-09","2024-07-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"d89d01df-8763-441b-add6-f985a6130b5d"
"9e1efd39-0acf-48c6-89be-5f98afb52fd6","b729f193-e8a4-4cea-961c-0675923ed456","TEAK_010.mammalGrid.mam","D17","TEAK","TEAK_010","J5","distributed","evergreenForest",37.015799,-119.049156,"WGS84",45.1,2203.0,0.2,"1 - trap not set","ShermanLF","2024-07-09","2024-07-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3c31dc1d-6258-4eed-a175-92aa0e8349b1"
"b8840b4c-0c42-4e48-81fb-0b039988e572","b729f193-e8a4-4cea-961c-0675923ed456","TEAK_010.mammalGrid.mam","D17","TEAK","TEAK_010","B5","distributed","evergreenForest",37.015799,-119.049156,"WGS84",45.1,2203.0,0.2,"1 - trap not set","ShermanLF","2024-07-09","2024-07-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39d61906-aadd-4001-8110-ab0028e1e79e"
"8e3a90f4-5018-452a-921f-f42e839b9dfd","f4051b6e-4c50-448b-8a63-d53a5467fa5b","TEAK_007.mammalGrid.mam","D17","TEAK","TEAK_007","E6","distributed","evergreenForest",36.998941,-119.052319,"WGS84",47.1,2114.2,2.3,"1 - trap not set","ShermanLF","2024-07-09","2024-07-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"e2d237fe-4953-48e8-ba67-869f51f9c92f"
"bf2c8969-8ada-4e31-8512-03b242f65e04","79110baf-3782-448c-9863-e568bd51c38f","TEAK_003.mammalGrid.mam","D17","TEAK","TEAK_003","J8","distributed","evergreenForest",37.014173,-119.011320,"WGS84",45.7,2231.4,0.9,"1 - trap not set","ShermanXLK","2024-07-09","2024-07-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12e9b5ea-445e-414a-b251-2357b2bb40ad"
"351374db-1694-46d9-ba66-457073a19fc5","f4051b6e-4c50-448b-8a63-d53a5467fa5b","TEAK_007.mammalGrid.mam","D17","TEAK","TEAK_007","E1","distributed","evergreenForest",36.998941,-119.052319,"WGS84",47.1,2114.2,2.3,"1 - trap not set","ShermanLF","2024-07-09","2024-07-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bf7b321d-6bc3-42a6-99e2-3bc49b979e07"
"59f08f57-b6dc-48dc-90f3-bbc099122014","787afd86-d96f-40b6-ac9f-0acbc7eec63e","TEAK_001.mammalGrid.mam","D17","TEAK","TEAK_001","C1","distributed","evergreenForest",36.978209,-119.016437,"WGS84",46.0,2168.6,1.3,"1 - trap not set","ShermanLF","2024-07-09","2024-07-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4bed27c6-8269-4ebe-9492-bf63953c9380"
"cb25b9c8-eb17-42ae-bef1-c7e7971a65c8","b729f193-e8a4-4cea-961c-0675923ed456","TEAK_010.mammalGrid.mam","D17","TEAK","TEAK_010","C5","distributed","evergreenForest",37.015799,-119.049156,"WGS84",45.1,2203.0,0.2,"1 - trap not set","ShermanLF","2024-07-09","2024-07-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ddb6c892-e2e9-43c7-bca4-83d0652ff583"
"da25784f-a78c-466f-92e3-7a11085ce800","79110baf-3782-448c-9863-e568bd51c38f","TEAK_003.mammalGrid.mam","D17","TEAK","TEAK_003","G5","distributed","evergreenForest",37.014173,-119.011320,"WGS84",45.7,2231.4,0.9,"1 - trap not set","ShermanXLK","2024-07-09","2024-07-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"e29e2030-75b3-4692-bc94-e923e3294542"
"d4cc08d7-a74a-46aa-a534-d704d323bdae","787afd86-d96f-40b6-ac9f-0acbc7eec63e","TEAK_001.mammalGrid.mam","D17","TEAK","TEAK_001","A5","distributed","evergreenForest",36.978209,-119.016437,"WGS84",46.0,2168.6,1.3,"1 - trap not set","ShermanLF","2024-07-09","2024-07-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"564a021f-fc5c-4d02-a547-2d1ab29ca75c"
