uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,samplingProtocolVersion,remarks,dataQF
"0a5604f0-8d68-4618-9d75-86a03c6d54de","2915eae3-3d88-4ceb-8773-604fcee8b1b8","TOOL.2023.32","TOOL_078.mammalGrid.mam","D18","TOOL","TOOL_078","pathogen","2023-08-08","2023-08-08","OK","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"83a49458-56f0-4786-9df1-6d6fdcc3c493","637fab3e-1108-42f9-8a7d-f4749c32ddb1","TOOL.2023.32","TOOL_073.mammalGrid.mam","D18","TOOL","TOOL_073","pathogen","2023-08-08","2023-08-08","OK","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"e8190e23-b58b-4a2f-a294-eedc946fb6a0","ff052d71-6e08-4455-943a-cb4f8bfc05b6","TOOL.2023.32","TOOL_076.mammalGrid.mam","D18","TOOL","TOOL_076","pathogen","2023-08-09","2023-08-09","OK","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"08bd7447-2f0f-46fc-801d-f6f7de012c9a","d87ae089-3ff6-41d5-b296-8fef7cab2646","TOOL.2023.32","TOOL_073.mammalGrid.mam","D18","TOOL","TOOL_073","pathogen","2023-08-09","2023-08-09","OK","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"17ef62e7-ad68-44f1-97e1-bf0a9f48d7d3","3af9d793-4ed5-4f10-b724-72a927bde251","TOOL.2023.32","TOOL_071.mammalGrid.mam","D18","TOOL","TOOL_071","diversity","2023-08-09","2023-08-09","OK","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"89c3f39e-a77e-4a4b-b2b6-9d43fa077370","6de9cab6-a60e-4837-b351-b63725d30ad6","TOOL.2023.32","TOOL_078.mammalGrid.mam","D18","TOOL","TOOL_078","pathogen","2023-08-09","2023-08-09","OK","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"123ca157-994d-4a28-a1ac-429078af3ed5","9c228bc3-43e9-4552-a2ad-c0bd8e716d40","TOOL.2023.32","TOOL_073.mammalGrid.mam","D18","TOOL","TOOL_073","pathogen","2023-08-10","2023-08-10","OK","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"93376cd2-cfbc-444a-bf89-748b62b53760","8643b760-54cd-4feb-a072-16ae82943bb1","TOOL.2023.32","TOOL_031.mammalGrid.mam","D18","TOOL","TOOL_031","diversity","2023-08-10","2023-08-10","OK","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"b1354551-ec77-4150-a2da-56859317e524","12ba0ca1-d359-43c3-a7df-275c257209b2","TOOL.2023.32","TOOL_076.mammalGrid.mam","D18","TOOL","TOOL_076","pathogen","2023-08-10","2023-08-10","OK","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"f4e24799-d817-488b-8cb9-46f2a6d1c46e","9cb3db36-72b7-4786-8b42-2a1264460f2c","TOOL.2023.32","TOOL_078.mammalGrid.mam","D18","TOOL","TOOL_078","pathogen","2023-08-10","2023-08-10","OK","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"4d029199-b651-473a-b4a6-073f2971246a","c98a66e4-1e57-4a07-88a6-177be9fe5a10","TOOL.2023.32","TOOL_077.mammalGrid.mam","D18","TOOL","TOOL_077","diversity","2023-08-11","2023-08-11","OK","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"265d3473-577d-4d3b-8754-ee68879b3754","6943b5a0-cf1b-429d-84e1-7faf43dccc94","TOOL.2023.32","TOOL_007.mammalGrid.mam","D18","TOOL","TOOL_007","diversity","2023-08-11","2023-08-11","OK","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"98d4b4c0-a7f9-428e-a3b9-0860f2a4a909","7163bb03-ea12-437c-a92c-b42f5ffd46bf","TOOL.2023.32","TOOL_002.mammalGrid.mam","D18","TOOL","TOOL_002","diversity","2023-08-11","2023-08-11","OK","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"1e7bb992-042a-480d-8cbb-c77043b6f842","22ed230d-c204-4cf4-8334-278470b8cf4b","TOOL.2023.32","TOOL_076.mammalGrid.mam","D18","TOOL","TOOL_076","pathogen","2023-08-11","2023-08-11","OK","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
