uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,bloodSampleVolume,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,identifiedBy,identifiedDate,remarks,dataQF,dataEntryRecordID
"c34242aa-0435-4a1c-a147-3d6476f7093a","21e56552-977b-4117-8506-5e08b0d2bb99","TOOL_071.mammalGrid.mam","D18","TOOL","TOOL_071","G10","distributed","dwarfScrub",68.599097,-149.507447,"WGS84",45.1,890.7,0.1,"6 - trap set and empty","ShermanLF","2024-06-12","2024-06-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0008-6796-0395","0009-0008-2602-8083",,,,,"18f23a42-52bd-404b-9a6d-e91da4ec4502"
"c9e6f637-1c89-4de8-ad63-38f7fd5086f8","5be4ad9f-07a0-41d7-8af5-bccb2c400d4f","TOOL_002.mammalGrid.mam","D18","TOOL","TOOL_002","B5","distributed","dwarfScrub",68.628701,-149.344443,"WGS84",45.8,856.6,0.8,"6 - trap set and empty","ShermanLF","2024-06-12","2024-06-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7106-283X","0000-0001-7106-283X",,,,,"dbcb519b-0799-439d-8db7-28f87b4f0ce8"
"2b4e8c17-3375-4646-b6a0-97d6ee4ef897","f0bc7889-a871-4fba-a83b-4eb7de44a379","TOOL_077.mammalGrid.mam","D18","TOOL","TOOL_077","C6","distributed","sedgeHerbaceous",68.625906,-149.337798,"WGS84",45.9,874.9,0.8,"6 - trap set and empty","ShermanLF","2024-06-12","2024-06-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7106-283X","0009-0000-7160-8521",,,,,"2422a3fc-3a6e-4ea3-800b-3aa5053f37a1"
"7ab95076-47af-47cd-9b90-1f2d09111ac0","5be4ad9f-07a0-41d7-8af5-bccb2c400d4f","TOOL_002.mammalGrid.mam","D18","TOOL","TOOL_002","D2","distributed","dwarfScrub",68.628701,-149.344443,"WGS84",45.8,856.6,0.8,"6 - trap set and empty","ShermanLF","2024-06-12","2024-06-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7106-283X","0000-0001-7106-283X",,,,,"7db57e50-edf3-458c-bb0d-561c38cc5d21"
"c462e0a9-f554-439b-bf8a-a0f866702f7b","7779ff3b-564b-4367-b364-1178346966f6","TOOL_031.mammalGrid.mam","D18","TOOL","TOOL_031","G4","distributed","dwarfScrub",68.600789,-149.503828,"WGS84",45.9,905.9,0.8,"6 - trap set and empty","ShermanLF","2024-06-12","2024-06-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0008-6796-0395","0009-0008-2602-8083",,,,,"86e8f989-f344-4175-ba38-b9557c159570"
"02eb02aa-7864-41a7-bbb6-59832b5ea25b","21e56552-977b-4117-8506-5e08b0d2bb99","TOOL_071.mammalGrid.mam","D18","TOOL","TOOL_071","B4","distributed","dwarfScrub",68.599097,-149.507447,"WGS84",45.1,890.7,0.1,"6 - trap set and empty","ShermanLF","2024-06-12","2024-06-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0008-6796-0395","0009-0008-2602-8083",,,,,"9ec31eeb-25c1-42f9-ad55-9d0fdc1a7893"
"e8c2b0ce-5446-4050-be3c-2b5b48cedbda","7779ff3b-564b-4367-b364-1178346966f6","TOOL_031.mammalGrid.mam","D18","TOOL","TOOL_031","F6","distributed","dwarfScrub",68.600789,-149.503828,"WGS84",45.9,905.9,0.8,"6 - trap set and empty","ShermanLF","2024-06-12","2024-06-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0008-6796-0395","0009-0008-2602-8083",,,,,"f0c46ff8-66ff-4309-b5fc-b8efae563967"
"ffb38662-6bda-4753-aebc-78ce25117d18","f0bc7889-a871-4fba-a83b-4eb7de44a379","TOOL_077.mammalGrid.mam","D18","TOOL","TOOL_077","G10","distributed","sedgeHerbaceous",68.625906,-149.337798,"WGS84",45.9,874.9,0.8,"6 - trap set and empty","ShermanLF","2024-06-12","2024-06-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7106-283X","0009-0000-7160-8521",,,,,"9abe644a-8250-4da0-99a8-5555b67a802c"
"3d1be9b5-da78-4c32-8912-de956edd642e","21e56552-977b-4117-8506-5e08b0d2bb99","TOOL_071.mammalGrid.mam","D18","TOOL","TOOL_071","B1","distributed","dwarfScrub",68.599097,-149.507447,"WGS84",45.1,890.7,0.1,"2 - trap disturbed/door closed but empty","ShermanLF","2024-06-12","2024-06-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0009-0008-6796-0395","0009-0008-2602-8083",,,,,"4869d43b-4a74-43c2-bf00-63c15017d0e8"
"3729d1b4-eb90-4c68-978e-e6740f469839","5be4ad9f-07a0-41d7-8af5-bccb2c400d4f","TOOL_002.mammalGrid.mam","D18","TOOL","TOOL_002","E4","distributed","dwarfScrub",68.628701,-149.344443,"WGS84",45.8,856.6,0.8,"6 - trap set and empty","ShermanLF","2024-06-12","2024-06-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7106-283X","0000-0001-7106-283X",,,,,"f9538e2e-4a64-4848-ad65-386b4cda8342"
"e801f9a1-c9c7-4067-bced-2c86b5e45456","7779ff3b-564b-4367-b364-1178346966f6","TOOL_031.mammalGrid.mam","D18","TOOL","TOOL_031","G6","distributed","dwarfScrub",68.600789,-149.503828,"WGS84",45.9,905.9,0.8,"6 - trap set and empty","ShermanLF","2024-06-12","2024-06-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0008-6796-0395","0009-0008-2602-8083",,,,,"4e34166e-ac03-4120-bea4-e3c7a57fac1a"
"6f00c877-a053-4943-8afc-3bd4fcf6cca6","21e56552-977b-4117-8506-5e08b0d2bb99","TOOL_071.mammalGrid.mam","D18","TOOL","TOOL_071","A5","distributed","dwarfScrub",68.599097,-149.507447,"WGS84",45.1,890.7,0.1,"6 - trap set and empty","ShermanLF","2024-06-12","2024-06-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0008-6796-0395","0009-0008-2602-8083",,,,,"698e9682-fc10-4965-8497-2a0178fd00fb"
"4c86baae-3728-4494-a74c-3b1756a52c06","f0bc7889-a871-4fba-a83b-4eb7de44a379","TOOL_077.mammalGrid.mam","D18","TOOL","TOOL_077","J3","distributed","sedgeHerbaceous",68.625906,-149.337798,"WGS84",45.9,874.9,0.8,"6 - trap set and empty","ShermanLF","2024-06-12","2024-06-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7106-283X","0009-0000-7160-8521",,,,,"9363fa03-3656-44a3-bf02-614e0f33692e"
"1a7a5dd0-10b5-41b4-8742-0958a60de207","5be4ad9f-07a0-41d7-8af5-bccb2c400d4f","TOOL_002.mammalGrid.mam","D18","TOOL","TOOL_002","C5","distributed","dwarfScrub",68.628701,-149.344443,"WGS84",45.8,856.6,0.8,"6 - trap set and empty","ShermanLF","2024-06-12","2024-06-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7106-283X","0000-0001-7106-283X",,,,,"cc4ac0af-c9cb-4624-a65c-4a0855b09a4d"
"54636fa1-7a6d-4918-ab84-4ba93677a8ae","21e56552-977b-4117-8506-5e08b0d2bb99","TOOL_071.mammalGrid.mam","D18","TOOL","TOOL_071","F9","distributed","dwarfScrub",68.599097,-149.507447,"WGS84",45.1,890.7,0.1,"6 - trap set and empty","ShermanLF","2024-06-12","2024-06-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0008-6796-0395","0009-0008-2602-8083",,,,,"cb781546-e873-4f82-9a45-f3390fd95b1d"
"376f3ecf-8423-4c6d-a426-9ad4478b7fc4","7779ff3b-564b-4367-b364-1178346966f6","TOOL_031.mammalGrid.mam","D18","TOOL","TOOL_031","C9","distributed","dwarfScrub",68.600789,-149.503828,"WGS84",45.9,905.9,0.8,"6 - trap set and empty","ShermanLF","2024-06-12","2024-06-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0008-6796-0395","0009-0008-2602-8083",,,,,"e6ef09ef-d691-43d4-9428-b701aaa9d870"
"73c509b2-a522-4c7d-9d6b-f52e60a502ea","21e56552-977b-4117-8506-5e08b0d2bb99","TOOL_071.mammalGrid.mam","D18","TOOL","TOOL_071","I4","distributed","dwarfScrub",68.599097,-149.507447,"WGS84",45.1,890.7,0.1,"6 - trap set and empty","ShermanLF","2024-06-12","2024-06-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0008-6796-0395","0009-0008-2602-8083",,,,,"e97cb37a-5715-45b7-a843-910d91db53d6"
