uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,samplingProtocolVersion,remarks,dataQF
"789afe15-d0fb-49b6-b242-ebb481e2c5ed","00521AB52CB84F7FBF2B7B77632A5D3D","TREE.2016.38","TREE_004.mammalGrid.mam","D05","TREE","TREE_004","diversity","2016-09-21","2016-09-21",,"NEON.DOC.000481vH",,
"a8fe07a4-4464-4cbb-8e8e-ba187c13e546","A792CB60BED44C1EA816FD35AFFF0E43","TREE.2016.38","TREE_002.mammalGrid.mam","D05","TREE","TREE_002","diversity","2016-09-21","2016-09-21",,"NEON.DOC.000481vH",,
"98b966e4-bf3b-4e84-a8f2-38093dc1f7ae","105A26F95F7A4CDE91A123D450647574","TREE.2016.38","TREE_027.mammalGrid.mam","D05","TREE","TREE_027","diversity","2016-09-21","2016-09-21",,"NEON.DOC.000481vH",,
"d85d08da-c5c2-4e36-8568-7f7344a3f7bf","4777EEB5538F497F8ED2BB16EC5BEC7D","TREE.2016.38","TREE_019.mammalGrid.mam","D05","TREE","TREE_019","pathogen","2016-09-22","2016-09-22",,"NEON.DOC.000481vH","Grid not set due to storms",
"5a6531b0-994d-4039-ad08-591becf9dddd","D216141AAF35449695769AF1BA01D833","TREE.2016.38","TREE_016.mammalGrid.mam","D05","TREE","TREE_016","pathogen","2016-09-22","2016-09-22",,"NEON.DOC.000481vH","Grid not set due to storms",
"45e68f88-01ed-46e9-8ac8-260ed843e9c9","33D24ACD5EE044B0BF1C3255B08B96AB","TREE.2016.38","TREE_028.mammalGrid.mam","D05","TREE","TREE_028","pathogen","2016-09-22","2016-09-22",,"NEON.DOC.000481vH",,
"5691ef96-d965-4fe9-a517-c4d1be5407d2","8FB8731C1B814EEBA9197C083D3BE357","TREE.2016.38","TREE_016.mammalGrid.mam","D05","TREE","TREE_016","pathogen","2016-09-23","2016-09-23",,"NEON.DOC.000481vH",,
"6c5d8e39-9bd6-4fab-8573-0a1af35450f1","D76666ED12C441329DC183C898D5C99C","TREE.2016.38","TREE_028.mammalGrid.mam","D05","TREE","TREE_028","pathogen","2016-09-23","2016-09-23",,"NEON.DOC.000481vH","No bait used for this grid.",
"95bbb0b6-ddb5-44ca-a381-82f03cb801a4","703EC5E30C204F9C9A14F920FC2C98AD","TREE.2016.38","TREE_019.mammalGrid.mam","D05","TREE","TREE_019","pathogen","2016-09-23","2016-09-23",,"NEON.DOC.000481vH",,
"4328c528-4b59-44c2-bef6-f2cc9b4499d8","69951A69D9844270AF8D7C645252C9C5","TREE.2016.38","TREE_028.mammalGrid.mam","D05","TREE","TREE_028","pathogen","2016-09-24","2016-09-24",,"NEON.DOC.000481vH","Limited processing",
"c19d2c81-7cff-4da5-b305-5dd812e07c19","D426A79F71C54DB3A77F6C0C2DE57063","TREE.2016.38","TREE_016.mammalGrid.mam","D05","TREE","TREE_016","pathogen","2016-09-24","2016-09-24",,"NEON.DOC.000481vH","Limited processing on entire grid except for R2007 and R3976.",
"07b6f13b-8d90-460e-8f6d-8a04a7ed8973","E5BA4095570D430CBCFCEAC55A5F79A7","TREE.2016.38","TREE_019.mammalGrid.mam","D05","TREE","TREE_019","pathogen","2016-09-24","2016-09-24",,"NEON.DOC.000481vH","Limited processing performed due to time constraint.",
