uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"4167b4bc-dafb-4693-ba22-7c7f99304561","6f4c10ee-8467-4941-99c4-399395fce36e","TREE.2024.24","TREE_016.mammalGrid.mam","D05","TREE","TREE_016","pathogen","2024-06-11","2024-06-11","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"ae23c4e6-50ef-41b8-ab28-dbe73bf528ed","bb85cf58-411c-4360-8ed9-e300cbf0d204","TREE.2024.24","TREE_002.mammalGrid.mam","D05","TREE","TREE_002","diversity","2024-06-11","2024-06-11","OK","setting complete, no small mammals captured","NEON.DOC.000481vP",,
"5c958e40-a4a2-44c2-b048-20f40dfa7c4a","e2912377-2f52-4fb7-900c-133704ab9dd7","TREE.2024.24","TREE_028.mammalGrid.mam","D05","TREE","TREE_028","pathogen","2024-06-11","2024-06-11","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"a93bf800-4b8f-4e3a-bb48-08d4d3f76de2","51fa5213-da99-4f22-8184-3e1eff53e781","TREE.2024.24","TREE_019.mammalGrid.mam","D05","TREE","TREE_019","pathogen","2024-06-11","2024-06-11","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"6eb90625-59e2-4e25-928d-e67ba471b40e","fb5d2077-a0d5-4033-afb6-31f2c2d8f0b2","TREE.2024.24","TREE_028.mammalGrid.mam","D05","TREE","TREE_028","pathogen","2024-06-12","2024-06-12","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"6d1a23a5-0c73-45fc-a19b-344aad5920c3","ef81b4eb-5733-4564-ae27-0a72ac239bfc","TREE.2024.24","TREE_062.mammalGrid.mam","D05","TREE","TREE_062","diversity","2024-06-12","2024-06-12","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"b4241f31-f531-40b8-b9da-45c7874ee16f","78f57892-b42d-4eea-9092-7026c1b620ed","TREE.2024.24","TREE_019.mammalGrid.mam","D05","TREE","TREE_019","pathogen","2024-06-12","2024-06-12","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"9f9b4eb9-5be5-42a8-841c-362659c6356a","6ad864e9-4156-42e7-811e-b6442a044d56","TREE.2024.24","TREE_016.mammalGrid.mam","D05","TREE","TREE_016","pathogen","2024-06-12","2024-06-12","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"0cf3ea3a-8d9f-4a96-8dc1-b8067be2c07d","64ea73c9-8fac-48bc-9e4b-7ec6a2134271","TREE.2024.24","TREE_019.mammalGrid.mam","D05","TREE","TREE_019","pathogen","2024-06-13","2024-06-13","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"be72baed-c936-4070-81ab-cd276fc5e6a5","dadcb961-9c18-47a8-8f57-21fb6aa7c89d","TREE.2024.24","TREE_016.mammalGrid.mam","D05","TREE","TREE_016","pathogen","2024-06-13","2024-06-13","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"76c19b94-2d3e-4870-b2cc-016b7b737916","1df94268-c724-4f6f-a6a5-b1d13dbada39","TREE.2024.24","TREE_004.mammalGrid.mam","D05","TREE","TREE_004","diversity","2024-06-13","2024-06-13","logistical",,"NEON.DOC.000481vP","TREE_004 stop work due to access",
"cbd49dc5-524c-42c5-9cea-78fdc0153c20","5d3461d1-74f7-43a0-8f78-739bb5dd7aaf","TREE.2024.24","TREE_028.mammalGrid.mam","D05","TREE","TREE_028","pathogen","2024-06-13","2024-06-13","OK","setting complete, processing complete","NEON.DOC.000481vP",,
