uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,samplingProtocolVersion,remarks,dataQF
"a103a88f-ae0b-4b63-a756-bc343a683f55","dd675e16-cc2f-42b9-9350-eb4c63e37b1e","UKFS.2019.23","UKFS_003.mammalGrid.mam","D06","UKFS","UKFS_003","diversity","2019-06-09","2019-06-09",,"NEON.DOC.000481vL","Record accidentally created",
"b2728f3e-4d5b-404a-be29-0bea2654d3d4","9360bb3b-6230-4f09-a651-fac2275934fb","UKFS.2019.23","UKFS_018.mammalGrid.mam","D06","UKFS","UKFS_018","diversity","2019-06-10","2019-06-10",,"NEON.DOC.000481vL",,
"6fa0a1a3-6d6c-403b-908d-c70df2b64536","1d85ad82-cc46-49b2-aa9b-efb4b655c9bc","UKFS.2019.23","UKFS_003.mammalGrid.mam","D06","UKFS","UKFS_003","diversity","2019-06-10","2019-06-10",,"NEON.DOC.000481vL",,
"35a84fc3-0d6c-4ad3-808f-4df40ec86012","de59629f-3a79-4818-8fb0-b1b8da8a91c7","UKFS.2019.23","UKFS_004.mammalGrid.mam","D06","UKFS","UKFS_004","pathogen","2019-06-11","2019-06-11",,"NEON.DOC.000481vL",,
"f15f5364-a2f0-4510-967d-7e1d3174b327","cd966200-4b9d-463f-8abf-4fe7118ffc39","UKFS.2019.23","UKFS_010.mammalGrid.mam","D06","UKFS","UKFS_010","pathogen","2019-06-11","2019-06-11",,"NEON.DOC.000481vL",,
"53294fac-1db2-463f-b0be-cf8b9c9074ea","fab8a946-a41b-4a24-9f85-2b27d55804bf","UKFS.2019.23","UKFS_009.mammalGrid.mam","D06","UKFS","UKFS_009","pathogen","2019-06-11","2019-06-11",,"NEON.DOC.000481vL",,
"01eb7de9-51fd-499e-ba37-08c8989442d6","38630cc1-1b3b-45ec-a3af-38485990617e","UKFS.2019.23","UKFS_004.mammalGrid.mam","D06","UKFS","UKFS_004","pathogen","2019-06-12","2019-06-12",,"NEON.DOC.000481vL",,
"872ccb6a-ff78-43b3-9735-a44bc1d4c1da","dd91ae14-3fb4-46df-81ca-6970b113140e","UKFS.2019.23","UKFS_009.mammalGrid.mam","D06","UKFS","UKFS_009","pathogen","2019-06-12","2019-06-12",,"NEON.DOC.000481vL",,
"4647a50e-f4e0-4fd6-9e1f-e7ff3602cb20","b4e57842-e085-4af9-b89f-3c38bc70cb0c","UKFS.2019.23","UKFS_010.mammalGrid.mam","D06","UKFS","UKFS_010","pathogen","2019-06-12","2019-06-12",,"NEON.DOC.000481vL",,
"38f569a3-11df-4f50-9098-19ccd4966dcd","81003c36-f199-45f7-8755-1ee1c08f6328","UKFS.2019.23","UKFS_004.mammalGrid.mam","D06","UKFS","UKFS_004","pathogen","2019-06-13","2019-06-13",,"NEON.DOC.000481vL",,
"b97b437b-66a5-4399-8446-7bee00659b0d","e961cfd0-9422-41ef-a246-360c0fa9ea9a","UKFS.2019.23","UKFS_010.mammalGrid.mam","D06","UKFS","UKFS_010","pathogen","2019-06-13","2019-06-13",,"NEON.DOC.000481vL",,
"db771169-629b-455f-a31f-5953bbcb97cb","ba13e321-ef44-462b-9ede-63690ffba17b","UKFS.2019.23","UKFS_007.mammalGrid.mam","D06","UKFS","UKFS_007","diversity","2019-06-13","2019-06-13",,"NEON.DOC.000481vL",,
"fd3296b5-f5bc-4ba0-8c74-7db2a3456775","5859aa4c-a771-454a-a902-801a54f2a524","UKFS.2019.23","UKFS_009.mammalGrid.mam","D06","UKFS","UKFS_009","pathogen","2019-06-13","2019-06-13",,"NEON.DOC.000481vL",,
