uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"eb3644a2-2687-47ba-bd7a-d7bb05165b3d","bccc1bfb-b60f-4fae-ae12-d15fc77d39de","UKFS.2025.30","UKFS_009.mammalGrid.mam","D06","UKFS","UKFS_009","pathogen","2025-07-22","2025-07-22","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"48cd5209-0149-4181-9c45-0352e7853e9e","8ceb1a52-3a74-45a3-b2d5-8552f4c90dd0","UKFS.2025.30","UKFS_010.mammalGrid.mam","D06","UKFS","UKFS_010","pathogen","2025-07-22","2025-07-22","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"224e5b44-7c66-4c54-955c-87545b22ab10","9c16fcf7-1bc7-40f7-b9b1-15f134c64ac7","UKFS.2025.30","UKFS_004.mammalGrid.mam","D06","UKFS","UKFS_004","pathogen","2025-07-22","2025-07-22","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"ab43f68d-aa88-4d21-81ee-6a0467f4c8d7","697fc6cc-3303-45c2-9912-e823ffd75d8b","UKFS.2025.30","UKFS_009.mammalGrid.mam","D06","UKFS","UKFS_009","pathogen","2025-07-23","2025-07-23","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"f17f267b-5d2f-45c6-9ab3-434070b1bc23","7c8aa352-3b6d-4d6b-81a7-b1e61086bbcb","UKFS.2025.30","UKFS_004.mammalGrid.mam","D06","UKFS","UKFS_004","pathogen","2025-07-23","2025-07-23","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"dc1cb6a3-8154-4c6c-b6e3-2ed1c0d7d1d9","75b0e223-bbaa-4505-bcfe-0a5713f16e92","UKFS.2025.30","UKFS_010.mammalGrid.mam","D06","UKFS","UKFS_010","pathogen","2025-07-23","2025-07-23","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"253822e8-3a5e-4547-8f64-05e32357445a","3002620d-109c-419e-bc71-79fa98df32a7","UKFS.2025.30","UKFS_009.mammalGrid.mam","D06","UKFS","UKFS_009","pathogen","2025-07-24","2025-07-24","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"94935eea-5227-4ee9-bede-e4ace4a50ea3","57c8ba23-a85e-462f-b744-cee2ecac7882","UKFS.2025.30","UKFS_010.mammalGrid.mam","D06","UKFS","UKFS_010","pathogen","2025-07-24","2025-07-24","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"36ac5abf-453b-4a59-9ee5-5aef04920a48","cbb95593-b637-43b7-a4b5-a94ad9ae5b54","UKFS.2025.30","UKFS_004.mammalGrid.mam","D06","UKFS","UKFS_004","pathogen","2025-07-24","2025-07-24","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"87899e5e-8825-4994-94da-8046cc7510d3","628f203d-d691-4e93-aac4-d7877d2351fb","UKFS.2025.30","UKFS_003.mammalGrid.mam","D06","UKFS","UKFS_003","diversity","2025-07-25","2025-07-25","extreme weather",,"NEON.DOC.000481vQ",,
"00259140-d30c-427e-b4f0-71609e504161","da8b7604-3911-4b80-8c58-43474e5a89cf","UKFS.2025.30","UKFS_007.mammalGrid.mam","D06","UKFS","UKFS_007","diversity","2025-07-25","2025-07-25","extreme weather",,"NEON.DOC.000481vQ",,
"dfc42c29-29f8-40dc-8c98-830405206f2d","e0ca08f5-ff84-44b8-a0be-ce27d9670ddf","UKFS.2025.30","UKFS_018.mammalGrid.mam","D06","UKFS","UKFS_018","diversity","2025-07-25","2025-07-25","extreme weather",,"NEON.DOC.000481vQ",,
