uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,bloodSampleVolume,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,identifiedBy,identifiedDate,remarks,dataQF,dataEntryRecordID
"afed8fa6-526e-4b35-994d-0033c3c68c9d","dc1c4f67-ea3d-42fc-9649-380ce0f4ca6c","UKFS_018.mammalGrid.mam","D06","UKFS","UKFS_018","C5","distributed","grasslandHerbaceous",39.051986,-95.193615,"WGS84",45.1,328.0,0.1,"6 - trap set and empty","ShermanLF","2025-08-26","2025-08-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-6527-0647","0009-0005-6527-0647",,,,,"9bf6ef3f-d1b7-4a2a-9b93-0909e5fc8df6"
"e5811884-75ea-4cff-8545-b21a1374423c","78b2eeed-13ee-4ff6-b55b-56c42d362c63","UKFS_007.mammalGrid.mam","D06","UKFS","UKFS_007","G9","distributed","deciduousForest",39.036430,-95.203831,"WGS84",45.1,276.9,0.2,"1 - trap not set","ShermanLF","2025-08-26","2025-08-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-6527-0647","0009-0005-6527-0647",,,,,"3e6536bc-6e31-4202-ab2c-845bc7a4e473"
"1c760357-2028-4286-8f06-5d71522d271f","dc1c4f67-ea3d-42fc-9649-380ce0f4ca6c","UKFS_018.mammalGrid.mam","D06","UKFS","UKFS_018","D6","distributed","grasslandHerbaceous",39.051986,-95.193615,"WGS84",45.1,328.0,0.1,"6 - trap set and empty","ShermanLF","2025-08-26","2025-08-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-6527-0647","0009-0005-6527-0647",,,,,"54aeb898-a76b-4f2a-97b3-db29307d8059"
"58f2c586-e504-438f-b0c2-ead6ef365db2","78b2eeed-13ee-4ff6-b55b-56c42d362c63","UKFS_007.mammalGrid.mam","D06","UKFS","UKFS_007","D3","distributed","deciduousForest",39.036430,-95.203831,"WGS84",45.1,276.9,0.2,"1 - trap not set","ShermanLF","2025-08-26","2025-08-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-6527-0647","0009-0005-6527-0647",,,,,"dafc6989-8c76-41ce-a30a-8ed62476d100"
"e66ae893-5514-4071-8c37-165512a0ada4","dc1c4f67-ea3d-42fc-9649-380ce0f4ca6c","UKFS_018.mammalGrid.mam","D06","UKFS","UKFS_018","H6","distributed","grasslandHerbaceous",39.051986,-95.193615,"WGS84",45.1,328.0,0.1,"5 - capture","ShermanLF","2025-08-26","2025-08-26","NEON.MAM.D06.R7544",,"PELE","Peromyscus leucopus","species",,,,,"N","F","Y","processed",,"adult",,"nonenlarged","not","neither",22,,80,,25,"N","N","N",,"none","dry ice",,,,,"UKFS.20250826.R7544.F","D00000243250","ok",,,"UKFS.20250826.R7544.H","A00000479345","hairAndWhisker",,,"0009-0005-6527-0647","0009-0005-6527-0647",,,,,"d1b4a1d9-1115-4434-a5e5-c2ef5ec028f3"
"877cba1d-ef7f-4d19-969e-5593dc201b2f","78b2eeed-13ee-4ff6-b55b-56c42d362c63","UKFS_007.mammalGrid.mam","D06","UKFS","UKFS_007","I6","distributed","deciduousForest",39.036430,-95.203831,"WGS84",45.1,276.9,0.2,"1 - trap not set","ShermanLF","2025-08-26","2025-08-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-6527-0647","0009-0005-6527-0647",,,,,"429269ff-112c-480f-9713-2e3c369460cc"
"5c5a1a10-c22f-4ee4-a39d-ce197853bba6","b0850dbf-f296-4c9d-933b-fc6997a20f9b","UKFS_003.mammalGrid.mam","D06","UKFS","UKFS_003","D7","distributed","deciduousForest",39.052134,-95.189278,"WGS84",45.2,322.8,0.2,"1 - trap not set","ShermanLF","2025-08-26","2025-08-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-6527-0647","0009-0005-6527-0647",,,,,"60d091aa-4892-43b9-b2de-d635d921e9ef"
"a985bd8d-93a8-4fd0-b6b2-96da57683e2d","b0850dbf-f296-4c9d-933b-fc6997a20f9b","UKFS_003.mammalGrid.mam","D06","UKFS","UKFS_003","D1","distributed","deciduousForest",39.052134,-95.189278,"WGS84",45.2,322.8,0.2,"1 - trap not set","ShermanLF","2025-08-26","2025-08-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-6527-0647","0009-0005-6527-0647",,,,,"4d33ddae-3639-4eb0-84a6-fb1e38276921"
"d6596762-2731-4fed-8613-4da5d4bae809","b0850dbf-f296-4c9d-933b-fc6997a20f9b","UKFS_003.mammalGrid.mam","D06","UKFS","UKFS_003","A10","distributed","deciduousForest",39.052134,-95.189278,"WGS84",45.2,322.8,0.2,"1 - trap not set","ShermanLF","2025-08-26","2025-08-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-6527-0647","0009-0005-6527-0647",,,,,"6dc540af-a548-4eea-839f-250f21019baa"
"d47d2088-9e9b-4c4c-9af3-9b315ae7e095","dc1c4f67-ea3d-42fc-9649-380ce0f4ca6c","UKFS_018.mammalGrid.mam","D06","UKFS","UKFS_018","D5","distributed","grasslandHerbaceous",39.051986,-95.193615,"WGS84",45.1,328.0,0.1,"6 - trap set and empty","ShermanLF","2025-08-26","2025-08-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-6527-0647","0009-0005-6527-0647",,,,,"10092334-4af0-43c1-a39c-8523603c0205"
