uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,bloodSampleVolume,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,identifiedBy,identifiedDate,remarks,dataQF,dataEntryRecordID
"8304de24-ee01-48ec-8d2c-dbaae1dd8c8f","683a86e5-004b-4c80-a54e-6de236d5d670","UNDE_027.mammalGrid.mam","D05","UNDE","UNDE_027","A8","distributed","deciduousForest",46.211194,-89.491388,"WGS84",45.2,517.2,0.2,"6 - trap set and empty","ShermanLF","2024-08-01","2024-08-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-5484-7763","0009-0002-9960-9029",,,,,"dac19250-b19c-4370-a58a-2466286cb562"
"235106b1-5371-43dd-a804-3e35a3a728db","683a86e5-004b-4c80-a54e-6de236d5d670","UNDE_027.mammalGrid.mam","D05","UNDE","UNDE_027","B1","distributed","deciduousForest",46.211194,-89.491388,"WGS84",45.2,517.2,0.2,"6 - trap set and empty","ShermanLF","2024-08-01","2024-08-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-5484-7763","0009-0002-9960-9029",,,,,"e061f0ec-6187-4dd2-bd36-a30a87c4b6da"
"05e8e6ce-f4f3-448c-9cf8-cc2b4a4ccf72","69cc6bac-324b-4732-8822-60e0e53cfdcf","UNDE_032.mammalGrid.mam","D05","UNDE","UNDE_032","E4","distributed","mixedForest",46.244036,-89.536945,"WGS84",45.2,510.5,0.2,"6 - trap set and empty","ShermanLF","2024-08-01","2024-08-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0001-9131-5010","0009-0008-2811-4380",,,,,"45333640-d0d3-40b0-a35d-a675df2f93e9"
"46f25a3a-adb7-49ae-9c68-ce955c7dc7c9","623b7603-d474-45ea-8f29-83c926c4d271","UNDE_012.mammalGrid.mam","D05","UNDE","UNDE_012","F1","distributed","woodyWetlands",46.237255,-89.502396,"WGS84",45.2,522.2,0.3,"2 - trap disturbed/door closed but empty","ShermanLF","2024-08-01","2024-08-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0009-0002-9960-9029","0000-0002-5484-7763",,,,,"87251e67-3dc2-434d-a4bd-2333f6915d12"
"6d9b262e-bd1e-4173-aac5-dc32c41958bc","69cc6bac-324b-4732-8822-60e0e53cfdcf","UNDE_032.mammalGrid.mam","D05","UNDE","UNDE_032","J6","distributed","mixedForest",46.244036,-89.536945,"WGS84",45.2,510.5,0.2,"2 - trap disturbed/door closed but empty","ShermanLF","2024-08-01","2024-08-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0009-0001-9131-5010","0009-0008-2811-4380",,,,,"306f2746-6c77-4ae1-b124-5d76e6ffd853"
"118e0d22-d5be-474d-88aa-43fb528a01fc","683a86e5-004b-4c80-a54e-6de236d5d670","UNDE_027.mammalGrid.mam","D05","UNDE","UNDE_027","J1","distributed","deciduousForest",46.211194,-89.491388,"WGS84",45.2,517.2,0.2,"3 - trap door open or closed w/ spoor left","ShermanLF","2024-08-01","2024-08-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0000-0002-5484-7763","0009-0002-9960-9029",,,,,"ba786381-7236-404c-9c17-297dff559218"
"c7cb189f-184c-437b-93b4-0a6d58974e6a","683a86e5-004b-4c80-a54e-6de236d5d670","UNDE_027.mammalGrid.mam","D05","UNDE","UNDE_027","E3","distributed","deciduousForest",46.211194,-89.491388,"WGS84",45.2,517.2,0.2,"6 - trap set and empty","ShermanLF","2024-08-01","2024-08-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-5484-7763","0009-0002-9960-9029",,,,,"1e88d23f-3b96-4925-a451-429f24169f7e"
"6db210a6-e3b6-41cf-8753-6e277f4c7715","69cc6bac-324b-4732-8822-60e0e53cfdcf","UNDE_032.mammalGrid.mam","D05","UNDE","UNDE_032","D9","distributed","mixedForest",46.244036,-89.536945,"WGS84",45.2,510.5,0.2,"5 - capture","ShermanLF","2024-08-01","2024-08-01","NEON.MAM.D05.R9741",,"PEMA","Peromyscus maniculatus","species",,,,,"N","M","N","processed",,"subadult","nonscrotal",,,,20,17,,,14,"N","N","N",,"fleas","dry ice","UNDE.20240801.R9741.B","D00000208839","mandibular",,"UNDE.20240801.R9741.F","D00000208538","ok","UNDE.20240801.R9741.E","D00000208948","UNDE.20240801.R9741.H","A00000414625","hairAndWhisker",,,"0009-0001-9131-5010","0009-0008-2811-4380",,,,,"a46c5ca1-bcbc-4577-be6a-7420637a4faf"
"b1807349-f6ef-4ac0-982c-a3639a1095b6","623b7603-d474-45ea-8f29-83c926c4d271","UNDE_012.mammalGrid.mam","D05","UNDE","UNDE_012","A5","distributed","woodyWetlands",46.237255,-89.502396,"WGS84",45.2,522.2,0.3,"6 - trap set and empty","ShermanLF","2024-08-01","2024-08-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0002-9960-9029","0000-0002-5484-7763",,,,,"29a5de27-918c-4bb5-8465-c4dcb777974d"
"7e63eb69-91ba-4a54-a72f-72a62550d982","683a86e5-004b-4c80-a54e-6de236d5d670","UNDE_027.mammalGrid.mam","D05","UNDE","UNDE_027","F6","distributed","deciduousForest",46.211194,-89.491388,"WGS84",45.2,517.2,0.2,"6 - trap set and empty","ShermanLF","2024-08-01","2024-08-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-5484-7763","0009-0002-9960-9029",,,,,"22afd457-a140-410d-930e-5636a2c0067f"
"d9cbb5ec-537c-41b5-b44e-8877f43903c1","623b7603-d474-45ea-8f29-83c926c4d271","UNDE_012.mammalGrid.mam","D05","UNDE","UNDE_012","G2","distributed","woodyWetlands",46.237255,-89.502396,"WGS84",45.2,522.2,0.3,"6 - trap set and empty","ShermanLF","2024-08-01","2024-08-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0002-9960-9029","0000-0002-5484-7763",,,,,"3bbe3af9-3ba4-4fdd-9aa6-5f76b6aacc8e"
"94111c24-bd6c-44de-9651-16541b5d5b08","623b7603-d474-45ea-8f29-83c926c4d271","UNDE_012.mammalGrid.mam","D05","UNDE","UNDE_012","I10","distributed","woodyWetlands",46.237255,-89.502396,"WGS84",45.2,522.2,0.3,"1 - trap not set","ShermanLF","2024-08-01","2024-08-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0009-0002-9960-9029","0000-0002-5484-7763",,,,,"74260dfd-16db-476e-9ba8-eea9ec24b216"
"3a4df2ea-8d85-411c-8c8a-229a1f2a51b3","69cc6bac-324b-4732-8822-60e0e53cfdcf","UNDE_032.mammalGrid.mam","D05","UNDE","UNDE_032","F6","distributed","mixedForest",46.244036,-89.536945,"WGS84",45.2,510.5,0.2,"3 - trap door open or closed w/ spoor left","ShermanLF","2024-08-01","2024-08-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0009-0001-9131-5010","0009-0008-2811-4380",,,,,"3c8f6351-8f81-419b-8e47-bd2cf2291df2"
