uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,bloodSampleVolume,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,identifiedBy,identifiedDate,remarks,dataQF,dataEntryRecordID
"be6f32dc-fcfa-4993-a898-b3d01ae7f201","35899577-396d-4871-80a5-545cbc7308ce","WOOD_002.mammalGrid.mam","D09","WOOD","WOOD_002","G7","distributed","grasslandHerbaceous",47.135132,-99.232151,"WGS84",45.2,570.8,0.3,"6 - trap set and empty","ShermanLF","2025-06-03","2025-06-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0006-6432-3978","0009-0002-2817-390X",,,,,"dc5378d1-5fb2-46cc-8e33-81540d3853c3"
"4fcc774c-8834-4261-a66b-d7a11b20d41b","35899577-396d-4871-80a5-545cbc7308ce","WOOD_002.mammalGrid.mam","D09","WOOD","WOOD_002","F3","distributed","grasslandHerbaceous",47.135132,-99.232151,"WGS84",45.2,570.8,0.3,"6 - trap set and empty","ShermanLF","2025-06-03","2025-06-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0006-6432-3978","0009-0002-2817-390X",,,,,"bb777767-6ff2-48fb-beff-f8f84b46f41b"
"1d1b8f3f-9033-41ee-8926-9097b105bf48","84fc985a-8f5d-4b0e-ab39-b84679f4b658","WOOD_009.mammalGrid.mam","D09","WOOD","WOOD_009","H3","distributed","grasslandHerbaceous",47.145477,-99.234645,"WGS84",45.2,587.1,0.3,"6 - trap set and empty","ShermanXLK","2025-06-03","2025-06-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0000-8940-8632","0009-0000-9880-3001",,,,,"6dbb45ef-3d1f-4c0f-9964-2d0c8ad9f5e5"
"e7a795ef-a751-4745-97bb-c3f69942ea63","a80c5433-c41b-4a30-ac05-0a21fa70b53f","WOOD_003.mammalGrid.mam","D09","WOOD","WOOD_003","C5","distributed","grasslandHerbaceous",47.120160,-99.239066,"WGS84",45.1,586.4,0.2,"6 - trap set and empty","ShermanLF","2025-06-03","2025-06-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0000-8940-8632","0009-0008-9140-652X",,,,,"a1601754-e6d9-4555-8a02-5e119e8db208"
"4e009d79-c522-49ed-8fb1-af31b945e186","a80c5433-c41b-4a30-ac05-0a21fa70b53f","WOOD_003.mammalGrid.mam","D09","WOOD","WOOD_003","E3","distributed","grasslandHerbaceous",47.120160,-99.239066,"WGS84",45.1,586.4,0.2,"5 - capture","ShermanLF","2025-06-03","2025-06-03","NEON.MAM.D09.L9081",,"ZAPR","Zapus princeps","species",,,,,"N","M","N","processed",,"adult","scrotal",,,,29,,,,16,"N","Y","N","6-20","none","dry ice",,,,,,,,"WOOD.20250603.L9081.E","D00000246251","WOOD.20250603.L9081.H","A00000243938","hairAndWhisker",,,"0009-0000-8940-8632","0009-0008-9140-652X",,,,,"d273fb5e-fb4b-43ea-aab1-dc05cd56695f"
"0eeb6838-824a-4121-9da0-fbdc088ee418","35899577-396d-4871-80a5-545cbc7308ce","WOOD_002.mammalGrid.mam","D09","WOOD","WOOD_002","G6","distributed","grasslandHerbaceous",47.135132,-99.232151,"WGS84",45.2,570.8,0.3,"6 - trap set and empty","ShermanLF","2025-06-03","2025-06-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0006-6432-3978","0009-0002-2817-390X",,,,,"630437b0-db22-4a97-8802-f25668f1ab56"
"9d86a642-eef8-4e03-b239-9fce8e2aee82","84fc985a-8f5d-4b0e-ab39-b84679f4b658","WOOD_009.mammalGrid.mam","D09","WOOD","WOOD_009","H1","distributed","grasslandHerbaceous",47.145477,-99.234645,"WGS84",45.2,587.1,0.3,"6 - trap set and empty","ShermanXLK","2025-06-03","2025-06-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0000-8940-8632","0009-0000-9880-3001",,,,,"cbb379e3-a79b-4779-81aa-b42fe4ea76cd"
"f3a15b3d-16dc-480b-8062-d3745c85c5b4","a80c5433-c41b-4a30-ac05-0a21fa70b53f","WOOD_003.mammalGrid.mam","D09","WOOD","WOOD_003","A10","distributed","grasslandHerbaceous",47.120160,-99.239066,"WGS84",45.1,586.4,0.2,"6 - trap set and empty","ShermanLF","2025-06-03","2025-06-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0000-8940-8632","0009-0008-9140-652X",,,,,"83e25b85-677c-4d07-9e49-2c4fdfde0b1c"
"1976f99d-cd40-4373-965c-603d0d74514b","a80c5433-c41b-4a30-ac05-0a21fa70b53f","WOOD_003.mammalGrid.mam","D09","WOOD","WOOD_003","J8","distributed","grasslandHerbaceous",47.120160,-99.239066,"WGS84",45.1,586.4,0.2,"6 - trap set and empty","ShermanLF","2025-06-03","2025-06-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0000-8940-8632","0009-0008-9140-652X",,,,,"1cdc928c-a640-4242-b219-c52d612bbd1b"
"cf59d423-2ecc-4aa8-97a0-deae1acd878a","84fc985a-8f5d-4b0e-ab39-b84679f4b658","WOOD_009.mammalGrid.mam","D09","WOOD","WOOD_009","B1","distributed","grasslandHerbaceous",47.145477,-99.234645,"WGS84",45.2,587.1,0.3,"6 - trap set and empty","ShermanXLK","2025-06-03","2025-06-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0000-8940-8632","0009-0000-9880-3001",,,,,"b17d767d-f55c-417d-9f05-c6b163356119"
