uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"6a193166-a01c-4ef3-98e1-bb7789c7f6c2","8b9a8d0f-509a-4277-9536-41b94d734ee1","WOOD.2025.27","WOOD_007.mammalGrid.mam","D09","WOOD","WOOD_007","pathogen","2025-07-01","2025-07-01","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"d2494a06-bf84-4dec-8123-c1311b490f0f","96440aa4-c44f-4669-b340-d703be963651","WOOD.2025.27","WOOD_002.mammalGrid.mam","D09","WOOD","WOOD_002","pathogen","2025-07-01","2025-07-01","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"26664eea-bc52-4e57-ab4b-9aaff8cb96c4","fe405027-495e-4369-8eb0-984fa42ddec0","WOOD.2025.27","WOOD_003.mammalGrid.mam","D09","WOOD","WOOD_003","diversity","2025-07-01","2025-07-01","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"45e3796d-9e44-43e9-9670-d3b3b4a27df0","cd334339-c50a-4789-9fc1-f1d54420f21f","WOOD.2025.27","WOOD_009.mammalGrid.mam","D09","WOOD","WOOD_009","pathogen","2025-07-01","2025-07-01","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"e54be2c3-6cb8-4277-9352-dc86eb12f5f1","51a09bf3-ee2d-483f-95e3-230ee9a86c27","WOOD.2025.27","WOOD_008.mammalGrid.mam","D09","WOOD","WOOD_008","diversity","2025-07-02","2025-07-02","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"d394ff3d-81e3-4c9f-a357-3842cb9419e1","e7d08acc-2268-43be-9d2f-056db324d0d2","WOOD.2025.27","WOOD_007.mammalGrid.mam","D09","WOOD","WOOD_007","pathogen","2025-07-02","2025-07-02","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"92b568d6-343e-47da-996d-71a8a336f57c","8b7a0ea0-6308-4a5d-ac09-a89af548c94a","WOOD.2025.27","WOOD_009.mammalGrid.mam","D09","WOOD","WOOD_009","pathogen","2025-07-02","2025-07-02","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"7d08b7a1-7c28-4a3e-8fd0-659451da1c5b","4bd43968-b996-401b-9408-dd4cfde4a04f","WOOD.2025.27","WOOD_002.mammalGrid.mam","D09","WOOD","WOOD_002","pathogen","2025-07-02","2025-07-02","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"857e0535-8cd0-4262-bdc3-e70144f87d37","2a6b3fe1-efcf-4a2a-a18d-a789a70c29af","WOOD.2025.27","WOOD_010.mammalGrid.mam","D09","WOOD","WOOD_010","diversity","2025-07-03","2025-07-03","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"e2d7ede4-2c65-4a8c-a24a-a4438e0f509e","c237f6f4-762b-4678-8d64-7a70fd2eb770","WOOD.2025.27","WOOD_009.mammalGrid.mam","D09","WOOD","WOOD_009","pathogen","2025-07-03","2025-07-03","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"3e837e21-8e1c-48c4-81bd-7fe479675119","3db122e9-ddb8-45a9-baa0-e0699e7ec1f6","WOOD.2025.27","WOOD_002.mammalGrid.mam","D09","WOOD","WOOD_002","pathogen","2025-07-03","2025-07-03","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"64f7a37a-4c5d-4748-941d-4debd2d4d9e1","509294b8-3f1d-415a-a899-e0c3b2bb841f","WOOD.2025.27","WOOD_007.mammalGrid.mam","D09","WOOD","WOOD_007","pathogen","2025-07-03","2025-07-03","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"578e00b4-420c-4b22-bcd4-ee294642fb6d","1368ba8d-2310-4763-864b-0879060e932e","WOOD.2025.31","WOOD_003.mammalGrid.mam","D09","WOOD","WOOD_003","diversity","2025-07-29","2025-07-29","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"03b74519-9e2e-4a25-8089-5505af7a291e","b5d06dc7-5f91-4692-9fd9-4dd0dac3245d","WOOD.2025.31","WOOD_002.mammalGrid.mam","D09","WOOD","WOOD_002","pathogen","2025-07-29","2025-07-29","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"7cb7f520-45b9-491f-a3f0-b974da72f6a3","4c0f3710-0a50-45d3-9d7b-aa3e05243aa0","WOOD.2025.31","WOOD_009.mammalGrid.mam","D09","WOOD","WOOD_009","pathogen","2025-07-29","2025-07-29","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"e2ee587f-c4af-4511-aca4-fa3810bbfd99","3ce528fd-b789-4605-ab2c-9e98c9f10c12","WOOD.2025.31","WOOD_007.mammalGrid.mam","D09","WOOD","WOOD_007","pathogen","2025-07-29","2025-07-29","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"75ed4d59-c352-4fe1-95c3-4ca34b16a07c","2df726c8-6473-4500-b9b9-83b8127dc4ae","WOOD.2025.31","WOOD_008.mammalGrid.mam","D09","WOOD","WOOD_008","diversity","2025-07-30","2025-07-30","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"3d2a501f-8e5d-4a17-8c4c-015418fa0096","bb3b4d3c-8d2c-4431-aefa-d76323e28fa0","WOOD.2025.31","WOOD_002.mammalGrid.mam","D09","WOOD","WOOD_002","pathogen","2025-07-30","2025-07-30","disturbance",,"NEON.DOC.000481vQ",,
"4ada2034-ab79-4648-b8ec-11ac7c554122","05102eb1-4716-42c2-a56c-0d40d3ee85f7","WOOD.2025.31","WOOD_007.mammalGrid.mam","D09","WOOD","WOOD_007","pathogen","2025-07-30","2025-07-30","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"f90ee66c-1e4c-4024-9dc9-813e4fc643b4","3a7634d4-3c56-4e74-aee6-179d2f3ff593","WOOD.2025.31","WOOD_009.mammalGrid.mam","D09","WOOD","WOOD_009","pathogen","2025-07-30","2025-07-30","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"94fea191-0e7e-43a5-a7d4-a11c76efe75f","e42cda56-45bf-4dd9-9549-0417b8431681","WOOD.2025.31","WOOD_007.mammalGrid.mam","D09","WOOD","WOOD_007","pathogen","2025-07-31","2025-07-31","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"25cad414-08ca-4e99-94d4-f99c9d3f4456","ace19c64-da6a-486b-9812-d2d22a4192f8","WOOD.2025.31","WOOD_009.mammalGrid.mam","D09","WOOD","WOOD_009","pathogen","2025-07-31","2025-07-31","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"ad8e6d76-f73e-4a56-985a-756dfff7834e","a6d4f381-d333-4cd1-ad66-f01948fcef0b","WOOD.2025.31","WOOD_010.mammalGrid.mam","D09","WOOD","WOOD_010","diversity","2025-07-31","2025-07-31","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"d0ad3b35-4406-4c05-b7a9-c61854b98379","d72b2875-6cbc-4320-9582-6df51aaa8760","WOOD.2025.31","WOOD_002.mammalGrid.mam","D09","WOOD","WOOD_002","pathogen","2025-07-31","2025-07-31","disturbance",,"NEON.DOC.000481vQ",,
