uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"c13dbdf0-47cb-4880-b7d3-ac44a4fc4656","e3b17af7-e690-4929-b458-e711cebcb895","WREF.2024.24","WREF_004.mammalGrid.mam","D16","WREF","WREF_004","diversity","2024-06-11","2024-06-11","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"a54c1533-f47d-4d43-8101-bf54d285b8d1","1a5036ca-0c45-41c1-a4ce-ba97a4faaa50","WREF.2024.24","WREF_003.mammalGrid.mam","D16","WREF","WREF_003","pathogen","2024-06-11","2024-06-11","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"5a9dceb3-d543-4bca-bd53-ccace048b703","033c138b-a05d-47bc-bf50-a158b9d5570b","WREF.2024.24","WREF_012.mammalGrid.mam","D16","WREF","WREF_012","pathogen","2024-06-11","2024-06-11","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"96d4b90c-9d53-46e6-8ca7-f0c2f17b19ed","c04e307c-1bc2-4ec1-876e-ff49538d9c6a","WREF.2024.24","WREF_007.mammalGrid.mam","D16","WREF","WREF_007","pathogen","2024-06-12","2024-06-12","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"e235ee66-02e1-40e7-baa9-585913b13d58","b4ac7c60-e96c-4f33-8382-ccd88a59f187","WREF.2024.24","WREF_012.mammalGrid.mam","D16","WREF","WREF_012","pathogen","2024-06-12","2024-06-12","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"05e338e2-e468-4941-b615-59f30adb843a","b9e493eb-fce8-4891-a6c5-ea8e31ea606f","WREF.2024.24","WREF_003.mammalGrid.mam","D16","WREF","WREF_003","pathogen","2024-06-12","2024-06-12","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"1a197df4-6f50-4523-bec8-884518eab8a4","305c70d0-b416-4e98-904d-d98b8d9e3355","WREF.2024.24","WREF_003.mammalGrid.mam","D16","WREF","WREF_003","pathogen","2024-06-13","2024-06-13","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"c5c0a1fc-47e5-41af-a362-780f0ae61856","a451ba94-74b0-4d6f-ab62-05cc8bfda71d","WREF.2024.24","WREF_012.mammalGrid.mam","D16","WREF","WREF_012","pathogen","2024-06-13","2024-06-13","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"2ff6588d-39a4-4292-b560-e842acb5bac8","532e0e5e-dcbc-47f2-9cd2-623612b6f8c3","WREF.2024.24","WREF_007.mammalGrid.mam","D16","WREF","WREF_007","pathogen","2024-06-13","2024-06-13","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"b4014eaa-e951-4f7c-9d90-ee9f6ff59d92","eb697dc0-c755-4f75-98ae-1df3e62d593e","WREF.2024.24","WREF_011.mammalGrid.mam","D16","WREF","WREF_011","diversity","2024-06-14","2024-06-14","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"1d568f7d-6469-45e1-a1af-3feb2e60660b","7a1790a4-9dfc-4e13-875f-3530290cbfee","WREF.2024.24","WREF_005.mammalGrid.mam","D16","WREF","WREF_005","diversity","2024-06-14","2024-06-14","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"f4a7666a-a96f-4951-a246-22c8a4d44a64","5f3d17ea-5da8-46e9-b300-6de39299ef49","WREF.2024.24","WREF_007.mammalGrid.mam","D16","WREF","WREF_007","pathogen","2024-06-14","2024-06-14","OK","setting complete, processing complete","NEON.DOC.000481vP",,
