uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,bloodSampleVolume,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,identifiedBy,identifiedDate,remarks,dataQF,dataEntryRecordID
"0dd36b66-de07-46ad-858e-71e59117fd69","18b55c3c-8504-4fd5-9530-8ed726bfd9bf","YELL_023.mammalGrid.mam","D12","YELL","YELL_023","C9","distributed","evergreenForest",44.938201,-110.630976,"WGS84",45.1,2062.4,0.1,"1 - trap not set","ShermanLF","2024-06-25","2024-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64423a39-7009-4343-ae6f-63a7c0d101ea"
"16bb5616-03bd-4bd8-b411-3963693c5e38","dd9fc5ce-bb78-491e-a150-fcc4117d4d20","YELL_031.mammalGrid.mam","D12","YELL","YELL_031","F7","distributed","shrubScrub",44.956470,-110.510295,"WGS84",45.2,2136.2,0.3,"6 - trap set and empty","ShermanLF","2024-06-25","2024-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0000-8439-7188","0009-0001-2150-8968",,,,,"71d59486-6e14-4a64-a7d9-42ce99a9f1cd"
"4b37b107-c5bb-4d22-a01b-d167869aed8c","500ad1b0-4a76-45f1-8295-f81bc1d6a727","YELL_032.mammalGrid.mam","D12","YELL","YELL_032","I7","distributed","shrubScrub",44.951333,-110.449548,"WGS84",45.3,1964.2,0.3,"6 - trap set and empty","ShermanLF","2024-06-25","2024-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0007-5874-3025","0009-0009-4599-7047",,,,,"e50dae55-2294-4639-a852-fa383e19e3cf"
"963d3887-57ea-457e-8223-206a269a7557","500ad1b0-4a76-45f1-8295-f81bc1d6a727","YELL_032.mammalGrid.mam","D12","YELL","YELL_032","A4","distributed","shrubScrub",44.951333,-110.449548,"WGS84",45.3,1964.2,0.3,"6 - trap set and empty","ShermanLF","2024-06-25","2024-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0007-5874-3025","0009-0009-4599-7047",,,,,"da7ad6c8-30cc-404c-bdc8-7c61d0ef18d4"
"aab06f1b-707c-4376-8044-15f47c436824","dd9fc5ce-bb78-491e-a150-fcc4117d4d20","YELL_031.mammalGrid.mam","D12","YELL","YELL_031","F4","distributed","shrubScrub",44.956470,-110.510295,"WGS84",45.2,2136.2,0.3,"6 - trap set and empty","ShermanLF","2024-06-25","2024-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0000-8439-7188","0009-0001-2150-8968",,,,,"1d975c45-27c1-4113-a665-290bd338666d"
"00f0066d-a39d-4bed-837e-a05ddb8de613","dd9fc5ce-bb78-491e-a150-fcc4117d4d20","YELL_031.mammalGrid.mam","D12","YELL","YELL_031","I8","distributed","shrubScrub",44.956470,-110.510295,"WGS84",45.2,2136.2,0.3,"1 - trap not set","ShermanLF","2024-06-25","2024-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0009-0000-8439-7188","0009-0001-2150-8968",,,,,"954c2695-8ff5-4aee-a88d-9c55ba59eaae"
"2b8a2bee-7d66-4517-ba1a-94c1dc8e2b95","500ad1b0-4a76-45f1-8295-f81bc1d6a727","YELL_032.mammalGrid.mam","D12","YELL","YELL_032","H4","distributed","shrubScrub",44.951333,-110.449548,"WGS84",45.3,1964.2,0.3,"6 - trap set and empty","ShermanLF","2024-06-25","2024-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0007-5874-3025","0009-0009-4599-7047",,,,,"2c283be5-9491-4382-8f89-f404e7a6224c"
"264060b0-4f2a-4407-8997-d628341a7651","18b55c3c-8504-4fd5-9530-8ed726bfd9bf","YELL_023.mammalGrid.mam","D12","YELL","YELL_023","F9","distributed","evergreenForest",44.938201,-110.630976,"WGS84",45.1,2062.4,0.1,"1 - trap not set","ShermanLF","2024-06-25","2024-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2fabb7e6-bc89-4ac3-bcd0-f0e68189777e"
"46fe49ea-d92a-4648-9137-52f6298e5896","500ad1b0-4a76-45f1-8295-f81bc1d6a727","YELL_032.mammalGrid.mam","D12","YELL","YELL_032","D8","distributed","shrubScrub",44.951333,-110.449548,"WGS84",45.3,1964.2,0.3,"6 - trap set and empty","ShermanLF","2024-06-25","2024-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0007-5874-3025","0009-0009-4599-7047",,,,,"638ea9d9-3148-438c-84fb-9c18a275d1e7"
"a5c200e1-8962-4e99-9f42-153191bc0028","500ad1b0-4a76-45f1-8295-f81bc1d6a727","YELL_032.mammalGrid.mam","D12","YELL","YELL_032","D9","distributed","shrubScrub",44.951333,-110.449548,"WGS84",45.3,1964.2,0.3,"6 - trap set and empty","ShermanLF","2024-06-25","2024-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0007-5874-3025","0009-0009-4599-7047",,,,,"a6be2014-7e71-4fa5-9454-b11b1172d631"
