uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"6a7aa654-be56-473c-8f5e-b9972d4b14d4","982adac1-a9a5-4a39-9ca9-89d76705363f","YELL.2024.31","YELL_023.mammalGrid.mam","D12","YELL","YELL_023","pathogen","2024-08-01","2024-08-01","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"da876881-1668-4e02-b231-45db7c9d2964","242c4dd7-f083-4f51-977d-10233b10920c","YELL.2024.31","YELL_031.mammalGrid.mam","D12","YELL","YELL_031","pathogen","2024-08-01","2024-08-01","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"84de3f2d-dcd5-4129-9fb9-b1ed2b40d3e4","88a22199-312a-4ff0-87e8-e81a0d44d852","YELL.2024.31","YELL_032.mammalGrid.mam","D12","YELL","YELL_032","pathogen","2024-08-01","2024-08-01","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"3ac81eb4-10a4-4e63-8bf9-ce7a2a14fc1f","6fdf9a14-2f5e-46d2-84cd-d580e7adbaa6","YELL.2024.31","YELL_020.mammalGrid.mam","D12","YELL","YELL_020","diversity","2024-08-02","2024-08-02","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"7f42973a-1ce7-4b02-905f-5480e1a008b7","b2fd51f0-c136-47bc-aa6b-121be2fa0de2","YELL.2024.31","YELL_011.mammalGrid.mam","D12","YELL","YELL_011","diversity","2024-08-02","2024-08-02","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"364d2686-55ad-48d7-9a96-8ddbbf441f7c","1f18e6c7-f3c6-4594-9622-24f40dd875ef","YELL.2024.31","YELL_072.mammalGrid.mam","D12","YELL","YELL_072","diversity","2024-08-02","2024-08-02","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"59e70477-5b88-4ba1-b3ee-82f575849af3","a49cb264-34c9-416d-8bc7-7006ed358e65","YELL.2024.35","YELL_031.mammalGrid.mam","D12","YELL","YELL_031","pathogen","2024-08-27","2024-08-27","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"9a485959-1aae-4674-b602-76d4cd54a4fd","7ec360c3-d246-40d8-887f-f6d561ae298f","YELL.2024.35","YELL_023.mammalGrid.mam","D12","YELL","YELL_023","pathogen","2024-08-27","2024-08-27","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"c841be1f-4e51-4f91-bc58-bfeef102a9f6","86ba0db7-af24-4939-b8da-2048bf15e2d4","YELL.2024.35","YELL_032.mammalGrid.mam","D12","YELL","YELL_032","pathogen","2024-08-27","2024-08-27","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"6035add4-aa78-4852-901d-bfce0a95ec5b","5a07dcf9-5e94-4e97-9187-f29c234423c8","YELL.2024.35","YELL_023.mammalGrid.mam","D12","YELL","YELL_023","pathogen","2024-08-28","2024-08-28","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"dc7122ca-ac92-4254-b3b5-20c6059abfa0","61121185-0b6b-4d8c-8b29-529351fbdc00","YELL.2024.35","YELL_032.mammalGrid.mam","D12","YELL","YELL_032","pathogen","2024-08-28","2024-08-28","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"f132349b-f2e6-473d-91a5-42daacb6f97d","d26c3dfd-0a5c-49dc-bac6-7ca9a802b859","YELL.2024.35","YELL_031.mammalGrid.mam","D12","YELL","YELL_031","pathogen","2024-08-28","2024-08-28","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"443554ce-c229-4cb6-b2ff-0dbf51dcdf5a","18398cd2-37af-4aaa-a082-3705b9fc937a","YELL.2024.35","YELL_023.mammalGrid.mam","D12","YELL","YELL_023","pathogen","2024-08-29","2024-08-29","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"2b4afc9c-5138-4e64-b489-0048e84a5820","8c1c414e-f95a-42a2-a02f-d99715e13c93","YELL.2024.35","YELL_032.mammalGrid.mam","D12","YELL","YELL_032","pathogen","2024-08-29","2024-08-29","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"011e3873-cc7a-4e08-ac3e-e84f1f3f4fa6","818d2c7f-efe9-4551-bef2-904934011588","YELL.2024.35","YELL_031.mammalGrid.mam","D12","YELL","YELL_031","pathogen","2024-08-29","2024-08-29","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"dcd172d5-8bb8-4dc0-9fd9-c712459ba600","aa5083cf-63ea-4c1e-a399-0267710c1511","YELL.2024.35","YELL_011.mammalGrid.mam","D12","YELL","YELL_011","diversity","2024-08-30","2024-08-30","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"760dccd3-f29a-42b1-b54d-31526bf937f6","15e2788b-0b18-473b-b450-68de1f54b20b","YELL.2024.35","YELL_020.mammalGrid.mam","D12","YELL","YELL_020","diversity","2024-08-30","2024-08-30","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"732b8045-b7b5-40bd-a2d2-39dc89cb99ec","d791dec3-3031-4fc0-884b-b7f4d0d9bc66","YELL.2024.35","YELL_072.mammalGrid.mam","D12","YELL","YELL_072","diversity","2024-08-30","2024-08-30","OK","setting complete, processing complete","NEON.DOC.000481vP",,
