uid,namedLocation,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,identificationHistoryID,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks
"acf4d00e-73dc-4834-8b99-c85f1b9d7510","BLAN_020.tickPlot.tck","BLAN_020","2025-04-14T16:47Z","2025-06-23T16:00Z","BLAN_020.20250414","BLAN_020.20250414.HAELON.N","Haemaphysalis longicornis","HAELON","species","Ixodidae",,,,"Haemaphysalis",,"longicornis",,,"Egizi, A.M., et al. (2019). A pictorial key to differentiate the recently detected exotic Haemaphysalis longicornis Neumann, 1901 (Acari, Ixodidae) from native congeners in North America. ZooKeys 818, 117-128. doi: 10.3897/zookeys.818.30448","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,,"Nymph",4,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"7c4fd92d-2bc7-4738-afdb-340e2b4fa16c","BLAN_008.tickPlot.tck","BLAN_008","2025-04-14T17:55Z","2025-06-23T16:00Z","BLAN_008.20250414","BLAN_008.20250414.HAELON.N","Haemaphysalis longicornis","HAELON","species","Ixodidae",,,,"Haemaphysalis",,"longicornis",,,"Egizi, A.M., et al. (2019). A pictorial key to differentiate the recently detected exotic Haemaphysalis longicornis Neumann, 1901 (Acari, Ixodidae) from native congeners in North America. ZooKeys 818, 117-128. doi: 10.3897/zookeys.818.30448","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,,"Nymph",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"9e4b9521-a698-4a6f-a125-26d69eb4a238","BLAN_005.tickPlot.tck","BLAN_005","2025-04-14T17:59Z","2025-06-23T16:00Z","BLAN_005.20250414","BLAN_005.20250414.IXOSCA.M","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Say","Male",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"1202a586-2517-4d2c-ae0a-c1e433df5a1d","BLAN_005.tickPlot.tck","BLAN_005","2025-04-14T17:59Z","2025-06-23T16:00Z","BLAN_005.20250414","BLAN_005.20250414.HAELON.N","Haemaphysalis longicornis","HAELON","species","Ixodidae",,,,"Haemaphysalis",,"longicornis",,,"Egizi, A.M., et al. (2019). A pictorial key to differentiate the recently detected exotic Haemaphysalis longicornis Neumann, 1901 (Acari, Ixodidae) from native congeners in North America. ZooKeys 818, 117-128. doi: 10.3897/zookeys.818.30448","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,,"Nymph",6,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"a42b6b71-c3dd-4c82-9583-32624a685dfd","BLAN_015.tickPlot.tck","BLAN_015","2025-04-14T18:45Z","2025-06-23T16:00Z","BLAN_015.20250414","BLAN_015.20250414.DERVAR.F","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Cooley, R. A. 1938. The genera Dermacentor and Otocentor (Ixodidae) in the United States, with studies in variation. US Government Printing Office.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Say","Female",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"c039935e-bb37-44a8-8643-56867a224ae9","BLAN_012.tickPlot.tck","BLAN_012","2025-04-14T19:12Z","2025-06-23T16:00Z","BLAN_012.20250414","BLAN_012.20250414.HAELON.N","Haemaphysalis longicornis","HAELON","species","Ixodidae",,,,"Haemaphysalis",,"longicornis",,,"Egizi, A.M., et al. (2019). A pictorial key to differentiate the recently detected exotic Haemaphysalis longicornis Neumann, 1901 (Acari, Ixodidae) from native congeners in North America. ZooKeys 818, 117-128. doi: 10.3897/zookeys.818.30448","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,,"Nymph",2,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"9dd8b2c2-6749-4068-bcd5-d5ebd0382686","BLAN_012.tickPlot.tck","BLAN_012","2025-04-14T19:12Z","2025-06-23T16:00Z","BLAN_012.20250414","BLAN_012.20250414.DERVAR.M","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Cooley, R. A. 1938. The genera Dermacentor and Otocentor (Ixodidae) in the United States, with studies in variation. US Government Printing Office.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Say","Male",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"b468b9e7-cff5-4c28-8e50-f156d4caef0e","BLAN_012.tickPlot.tck","BLAN_012","2025-04-14T19:12Z","2025-06-23T16:00Z","BLAN_012.20250414","BLAN_012.20250414.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Linnaeus","Nymph",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"c41a566a-7be0-4ae6-8176-741770cccbb2","BLAN_012.tickPlot.tck","BLAN_012","2025-04-14T19:12Z","2025-06-23T16:00Z","BLAN_012.20250414","BLAN_012.20250414.IXOSCA.F","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Say","Female",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"2a72e836-b1d1-4273-9089-f14c57696974","BLAN_012.tickPlot.tck","BLAN_012","2025-04-14T19:12Z","2025-06-23T16:00Z","BLAN_012.20250414","BLAN_012.20250414.DERVAR.F","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Cooley, R. A. 1938. The genera Dermacentor and Otocentor (Ixodidae) in the United States, with studies in variation. US Government Printing Office.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Say","Female",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
