uid,namedLocation,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,identificationHistoryID,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks
"28dec3e2-80ad-4d96-880e-3f30ffc3b5c2","KONZ_025.tickPlot.tck","KONZ_025","2019-06-04T14:50Z","2020-01-05T17:00Z","KONZ_025.20190604","KONZ_025.20190604.AMBAME.M","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Male",3,"OK","95% ethanol","USNMENT1512033",,"L. Beati","Georgia Southern University",
"534449fa-5b11-4676-afe2-cf1326a5d60b","KONZ_025.tickPlot.tck","KONZ_025","2019-06-04T14:50Z","2020-01-05T17:00Z","KONZ_025.20190604","KONZ_025.20190604.AMBAME.F","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Female",3,"OK","95% ethanol","USNMENT1512022",,"L. Beati","Georgia Southern University",
"c766dc92-b519-4ee2-ba6f-ba8e65bb14b7","KONZ_025.tickPlot.tck","KONZ_025","2019-06-04T14:50Z","2020-01-05T17:00Z","KONZ_025.20190604","KONZ_025.20190604.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Nymph",27,"OK","95% ethanol","USNMENT1512014",,"L. Beati","Georgia Southern University",
"38f7ff50-ef38-45f5-a9e9-66fec4e9bcfb","KONZ_004.tickPlot.tck","KONZ_004","2019-06-04T16:42Z","2020-01-05T17:00Z","KONZ_004.20190604","KONZ_004.20190604.AMBAME.F","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Female",1,"OK","95% ethanol","USNMENT1512027",,"L. Beati","Georgia Southern University",
"6e38a4d2-757b-4a43-b853-0a3e03f8d57c","KONZ_001.tickPlot.tck","KONZ_001","2019-06-04T17:30Z","2020-01-05T17:00Z","KONZ_001.20190604","KONZ_001.20190604.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Nymph",1,"OK","95% ethanol","USNMENT1512001",,"L. Beati","Georgia Southern University",
"54a4cc2f-3b98-4ec9-bf49-564714c3279b","KONZ_025.tickPlot.tck","KONZ_025","2019-06-24T15:20Z","2020-01-05T17:00Z","KONZ_025.20190624","KONZ_025.20190624.AMBAME.F","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Female",5,"OK","95% ethanol","USNMENT1512024",,"L. Beati","Georgia Southern University",
"68a8abe0-1cb6-4f70-bb6d-18b21155e82d","KONZ_025.tickPlot.tck","KONZ_025","2019-06-24T15:20Z","2020-01-05T17:00Z","KONZ_025.20190624","KONZ_025.20190624.AMBAME.M","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Male",5,"OK","95% ethanol","USNMENT1512007",,"L. Beati","Georgia Southern University",
"796fd0aa-5c1f-4333-a957-d33070214a2f","KONZ_025.tickPlot.tck","KONZ_025","2019-06-24T15:20Z","2020-01-05T17:00Z","KONZ_025.20190624","KONZ_025.20190624.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Nymph",18,"OK","95% ethanol","USNMENT1512003",,"L. Beati","Georgia Southern University",
"cdc9c9a5-22bb-4a21-9bbd-759d6845261a","KONZ_025.tickPlot.tck","KONZ_025","2019-06-24T15:20Z","2020-01-05T17:00Z","KONZ_025.20190624","KONZ_025.20190624.DERVAR.F","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Other (described in remarks)","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Female",2,"OK","95% ethanol","USNMENT1512031",,"L. Beati","Georgia Southern University",
"0f4978bf-0522-46c5-af84-50988617e039","KONZ_007.tickPlot.tck","KONZ_007","2019-06-24T18:56Z","2020-01-05T17:00Z","KONZ_007.20190624","KONZ_007.20190624.AMBAME.F","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Female",1,"OK","95% ethanol","USNMENT1512010",,"L. Beati","Georgia Southern University",
