uid,namedLocation,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,identificationHistoryID,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks
"21ccb5c9-0b86-4480-92bc-d8bae9b0b99d","ORNL_002.tickPlot.tck","ORNL_002","2018-06-05T14:30Z","2018-10-20T16:00Z","ORNL_002.20180605","ORNL_002.20180605.AMBAME.F","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Female",2,"OK","90% ethanol","USNMENT01482530",,"Arianna Gibbs","Georgia Southern University",
"07315926-f2e2-4b08-ba04-a15419627b4c","ORNL_002.tickPlot.tck","ORNL_002","2018-06-05T14:30Z","2019-01-08T17:00Z","ORNL_002.20180605","ORNL_002.20180605.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Nymph",1,"OK","90% ethanol","USNMENT01482532",,"Lorenza Beati","Georgia Southern University",
"ba3e908d-e8d3-4699-8c07-87eb4addaecb","ORNL_002.tickPlot.tck","ORNL_002","2018-06-05T14:30Z","2018-10-20T16:00Z","ORNL_002.20180605","ORNL_002.20180605.AMBAME.M","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Male",2,"OK","90% ethanol","USNMENT01482531",,"Arianna Gibbs","Georgia Southern University",
"4e861f2e-b4a2-45f2-bdab-d57a4355d2ea","ORNL_002.tickPlot.tck","ORNL_002","2018-06-05T14:30Z","2019-01-08T17:00Z","ORNL_002.20180605","ORNL_002.20180605.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Nymph",96,"OK","90% ethanol","USNMENT01482533",,"Lorenza Beati","Georgia Southern University",
"bdffeaff-1c06-4220-9296-c2583f6a557a","ORNL_007.tickPlot.tck","ORNL_007","2018-06-05T14:50Z","2018-10-20T16:00Z","ORNL_007.20180605","ORNL_007.20180605.AMBAME.M","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Male",3,"OK","90% ethanol","USNMENT01482541",,"Arianna Gibbs","Georgia Southern University",
"6b196f2b-46c8-4227-9d81-554e4f56dcb4","ORNL_007.tickPlot.tck","ORNL_007","2018-06-05T14:50Z","2019-01-08T17:00Z","ORNL_007.20180605","ORNL_007.20180605.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Nymph",7,"OK","90% ethanol","USNMENT01482542",,"Lorenza Beati","Georgia Southern University",
"7ba296f2-6687-4e2b-a400-fcf36c4f4fae","ORNL_007.tickPlot.tck","ORNL_007","2018-06-05T14:50Z","2018-10-20T16:00Z","ORNL_007.20180605","ORNL_007.20180605.AMBAME.F","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Female",4,"OK","90% ethanol","USNMENT01482540",,"Arianna Gibbs","Georgia Southern University",
"81d2f6a9-6a15-4d70-b1e2-a4e91cc0009d","ORNL_007.tickPlot.tck","ORNL_007","2018-06-05T14:50Z","2019-01-08T17:00Z","ORNL_007.20180605","ORNL_007.20180605.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Nymph",11,"OK","90% ethanol","USNMENT01482543",,"Lorenza Beati","Georgia Southern University",
"f1ba6be5-aca6-4998-9684-a03c88a4abe2","ORNL_009.tickPlot.tck","ORNL_009","2018-06-05T16:10Z","2019-01-08T17:00Z","ORNL_009.20180605","ORNL_009.20180605.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Nymph",42,"OK","90% ethanol","USNMENT01482499",,"Lorenza Beati","Georgia Southern University",
"6fb52d3d-0072-40f9-8efc-a1c41aebb419","ORNL_009.tickPlot.tck","ORNL_009","2018-06-05T16:10Z","2019-01-08T17:00Z","ORNL_009.20180605","ORNL_009.20180605.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Nymph",1,"OK","90% ethanol","USNMENT01482498",,"Lorenza Beati","Georgia Southern University",
