uid,namedLocation,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,identificationHistoryID,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks
"08c8648e-a35d-4251-b292-98d585c91feb","OSBS_001.tickPlot.tck","OSBS_001","2022-06-01T15:41Z","2022-09-05T16:00Z","OSBS_001.20220601","OSBS_001.20220601.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2021.pdf",,"Linnaeus","Nymph",42,"OK","95% ethanol","USNMENT1782209",,"L. Beati","Georgia Southern University",
"920267b9-7898-4c4e-ae51-6f14892b52e1","OSBS_001.tickPlot.tck","OSBS_001","2022-06-01T15:41Z","2022-09-05T16:00Z","OSBS_001.20220601","OSBS_001.20220601.AMBAME.F","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2021.pdf",,"Linnaeus","Female",6,"OK","95% ethanol","USNMENT1782225",,"L. Beati","Georgia Southern University",
"31a92be7-60a0-430c-a4eb-ae37349c8b36","OSBS_001.tickPlot.tck","OSBS_001","2022-06-01T15:41Z","2022-09-05T16:00Z","OSBS_001.20220601","OSBS_001.20220601.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2021.pdf",,,"Larva",199,"OK","95% ethanol","USNMENT1782187",,"L. Beati","Georgia Southern University",
"2790999a-5b18-4c42-ae81-a54d8b3d4e35","OSBS_001.tickPlot.tck","OSBS_001","2022-06-01T15:41Z","2022-09-05T16:00Z","OSBS_001.20220601","OSBS_001.20220601.AMBAME.M","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2021.pdf",,"Linnaeus","Male",7,"OK","95% ethanol","USNMENT1782240",,"L. Beati","Georgia Southern University",
"b0fa2e11-974d-4154-a430-1e4aa04f4853","OSBS_048.tickPlot.tck","OSBS_048","2022-06-20T15:32Z","2022-10-03T16:00Z","OSBS_048.20220620","OSBS_048.20220620.AMBAME.M","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2021.pdf",,"Linnaeus","Male",1,"OK","95% ethanol","USNMENT1782313",,"L. Beati","Georgia Southern University",
"e682cc3d-9f00-4396-8321-f558b056b6ab","OSBS_004.tickPlot.tck","OSBS_004","2022-06-20T17:00Z","2022-10-03T16:00Z","OSBS_004.20220620","OSBS_004.20220620.AMBAME.F","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2021.pdf",,"Linnaeus","Female",1,"OK","95% ethanol","USNMENT1782286",,"L. Beati","Georgia Southern University",
"4d058d1b-6e1a-40ce-affc-326c363e952e","OSBS_077.tickPlot.tck","OSBS_077","2022-06-20T18:53Z","2022-10-03T16:00Z","OSBS_077.20220620","OSBS_077.20220620.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2021.pdf",,"Linnaeus","Nymph",29,"OK","95% ethanol","USNMENT1782316",,"L. Beati","Georgia Southern University",
"b258c804-e04d-4771-a2e8-302b29ab1af9","OSBS_077.tickPlot.tck","OSBS_077","2022-06-20T18:53Z","2022-10-03T16:00Z","OSBS_077.20220620","OSBS_077.20220620.AMBAME.F","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2021.pdf",,"Linnaeus","Female",2,"OK","95% ethanol","USNMENT1782303",,"L. Beati","Georgia Southern University",
"9c2f2b96-baa8-4984-9fb9-d269678cdcc1","OSBS_001.tickPlot.tck","OSBS_001","2022-06-20T19:41Z","2022-10-03T16:00Z","OSBS_001.20220620","OSBS_001.20220620.AMBAME.F","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2021.pdf",,"Linnaeus","Female",3,"OK","95% ethanol","USNMENT1782245",,"L. Beati","Georgia Southern University",
"9dc33003-6fe4-4abb-869e-861fd582d219","OSBS_001.tickPlot.tck","OSBS_001","2022-06-20T19:41Z","2022-10-03T16:00Z","OSBS_001.20220620","OSBS_001.20220620.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2021.pdf",,"Linnaeus","Nymph",33,"OK","95% ethanol","USNMENT1782219",,"L. Beati","Georgia Southern University",
"63d9f61f-ad18-4a12-b790-9f5f6f03d5ca","OSBS_001.tickPlot.tck","OSBS_001","2022-06-20T19:41Z","2022-10-03T16:00Z","OSBS_001.20220620","OSBS_001.20220620.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2021.pdf",,,"Larva",534,"OK","95% ethanol","USNMENT1782322",,"L. Beati","Georgia Southern University",
"164f74a1-5605-4f8e-9ffa-b9e45a783d31","OSBS_001.tickPlot.tck","OSBS_001","2022-06-20T19:41Z","2022-10-03T16:00Z","OSBS_001.20220620","OSBS_001.20220620.AMBAME.M","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2021.pdf",,"Linnaeus","Male",6,"OK","95% ethanol","USNMENT1782325",,"L. Beati","Georgia Southern University",
