uid,namedLocation,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,identificationHistoryID,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks
"5b496452-a21d-4362-a2a7-5f9e5506a534","SCBI_013.tickPlot.tck","SCBI_013","2024-08-21T16:52Z","2024-12-19T17:00Z","SCBI_013.20240821","SCBI_013.20240821.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,,"Larva",556,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"24e4293a-7775-47da-8197-93503e6ff00d","SCBI_008.tickPlot.tck","SCBI_008","2024-08-21T17:05Z","2024-12-19T17:00Z","SCBI_008.20240821","SCBI_008.20240821.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,,"Larva",354,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"fbeee6fa-013d-4b8f-9620-b3abcdd81d41","SCBI_008.tickPlot.tck","SCBI_008","2024-08-21T17:05Z","2024-12-19T17:00Z","SCBI_008.20240821","SCBI_008.20240821.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Linnaeus","Nymph",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"050ee6db-ab75-49d5-8bae-f335d3dfb02d","SCBI_014.tickPlot.tck","SCBI_014","2024-08-21T18:35Z","2024-12-19T17:00Z","SCBI_014.20240821","SCBI_014.20240821.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Durden, L.A. & Keirans, J.E. (1996). Nymphs of the genus Ixodes (Acari: Ixodidae) in the US. Taxonomy, ID Key, Distribution, Hosts, and Medical/Veterinary Importance. Thomas Say Publications in Entomology: Monographs. Entomological Society of America.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Say","Nymph",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"b9ce16d2-2b97-461f-853d-3d7760628b5e","SCBI_014.tickPlot.tck","SCBI_014","2024-08-21T18:35Z","2024-12-19T17:00Z","SCBI_014.20240821","SCBI_014.20240821.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,,"Larva",229,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"9a7edddf-102e-4040-ae94-4a04f0d79ace","SCBI_014.tickPlot.tck","SCBI_014","2024-08-21T18:35Z","2024-12-19T17:00Z","SCBI_014.20240821","SCBI_014.20240821.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Linnaeus","Nymph",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"578056b8-7bf8-40b3-af75-b3a547ceb077","SCBI_007.tickPlot.tck","SCBI_007","2024-08-21T19:55Z","2024-12-19T17:00Z","SCBI_007.20240821","SCBI_007.20240821.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,,"Larva",87,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"8fe4aece-d976-413a-81a9-737dd85b7edc","SCBI_002.tickPlot.tck","SCBI_002","2024-08-22T17:02Z","2024-12-19T17:00Z","SCBI_002.20240822","SCBI_002.20240822.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,,"Larva",19,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"cda48c1c-725a-4d45-aea4-fa660f7d4b88","SCBI_006.tickPlot.tck","SCBI_006","2024-08-22T18:20Z","2024-12-19T17:00Z","SCBI_006.20240822","SCBI_006.20240822.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,,"Larva",14,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"aa46db48-c350-4fc2-9b19-9e3a1b15ea7b","SCBI_006.tickPlot.tck","SCBI_006","2024-08-22T18:20Z","2024-12-19T17:00Z","SCBI_006.20240822","SCBI_006.20240822.HAELON.N","Haemaphysalis longicornis","HAELON","species","Ixodidae",,,,"Haemaphysalis",,"longicornis",,,"Egizi, A.M., et al. (2019). A pictorial key to differentiate the recently detected exotic Haemaphysalis longicornis Neumann, 1901 (Acari, Ixodidae) from native congeners in North America. ZooKeys 818, 117-128. doi: 10.3897/zookeys.818.30448","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,,"Nymph",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
