uid,namedLocation,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,identificationHistoryID,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks
"602d1303-943d-4b32-afa1-fae1e411351a","TALL_002.tickPlot.tck","TALL_002","2020-08-10T14:55Z","2020-12-10T17:00Z","TALL_002.20200810","TALL_002.20200810.AMBAME.F","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Female",1,"OK","95% ethanol","USNMENT1512567",,"L. Beati","Georgia Southern University",
"6c548016-ed7e-44fa-99b2-253eb36ca876","TALL_002.tickPlot.tck","TALL_002","2020-08-10T14:55Z","2020-12-10T17:00Z","TALL_002.20200810","TALL_002.20200810.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Nymph",7,"OK","95% ethanol","USNMENT1512566",,"L. Beati","Georgia Southern University",
"ffc655d4-1fbe-40b6-b3d0-73cecf840135","TALL_001.tickPlot.tck","TALL_001","2020-08-10T15:40Z","2020-12-10T17:00Z","TALL_001.20200810","TALL_001.20200810.AMBAME.F","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Female",1,"OK","95% ethanol","USNMENT1512568",,"L. Beati","Georgia Southern University",
"0b7edd26-4a7a-4115-ae0d-47d74766de79","TALL_001.tickPlot.tck","TALL_001","2020-08-10T15:40Z","2020-12-10T17:00Z","TALL_001.20200810","TALL_001.20200810.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Nymph",2,"OK","95% ethanol","USNMENT1512571",,"L. Beati","Georgia Southern University",
"ae598392-1178-4a45-9714-368254e5a8f4","TALL_008.tickPlot.tck","TALL_008","2020-08-10T16:16Z","2020-12-10T17:00Z","TALL_008.20200810","TALL_008.20200810.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,,"Larva",67,"OK","95% ethanol","USNMENT1512577",,"L. Beati","Georgia Southern University",
"7ae6c6a3-e6dd-449f-9bc5-b048bccea83d","TALL_008.tickPlot.tck","TALL_008","2020-08-10T16:16Z","2020-12-10T17:00Z","TALL_008.20200810","TALL_008.20200810.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Nymph",2,"OK","95% ethanol","USNMENT1512578",,"L. Beati","Georgia Southern University",
"646c65b9-d1e4-40ff-b2a5-e26a4493c57a","TALL_008.tickPlot.tck","TALL_008","2020-08-27T13:33Z","2020-12-10T17:00Z","TALL_008.20200827","TALL_008.20200827.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Nymph",2,"OK","95% ethanol","USNMENT1512544",,"L. Beati","Georgia Southern University",
"ac0ae745-bd1f-47ed-aa5c-231b2a0e6650","TALL_008.tickPlot.tck","TALL_008","2020-08-27T13:33Z","2020-12-10T17:00Z","TALL_008.20200827","TALL_008.20200827.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,,"Larva",8,"OK","95% ethanol","USNMENT1512562",,"L. Beati","Georgia Southern University",
"a02cad84-1f90-4b6f-8e9b-3f9c4fc380eb","TALL_001.tickPlot.tck","TALL_001","2020-08-27T13:46Z","2020-12-10T17:00Z","TALL_001.20200827","TALL_001.20200827.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Nymph",2,"OK","95% ethanol","USNMENT1512542",,"L. Beati","Georgia Southern University",
"1e4d00c4-ddc8-44d6-ac0d-9b1f92657ad1","TALL_002.tickPlot.tck","TALL_002","2020-08-27T14:46Z","2020-12-10T17:00Z","TALL_002.20200827","TALL_002.20200827.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Nymph",32,"OK","95% ethanol","USNMENT1512601",,"L. Beati","Georgia Southern University",
"0554239d-8cc4-49af-b784-3303e399b04e","TALL_002.tickPlot.tck","TALL_002","2020-08-27T14:46Z","2020-12-10T17:00Z","TALL_002.20200827","TALL_002.20200827.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,,"Larva",460,"OK","95% ethanol","USNMENT1512559",,"L. Beati","Georgia Southern University","approx. number of larvae"
