uid,namedLocation,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,identificationHistoryID,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks
"a2b78c24-d9a8-4568-b958-b07993d0da68","TREE_007.tickPlot.tck","TREE_007","2018-09-10T15:25Z","2019-01-27T17:00Z","TREE_007.20180910","TREE_007.20180910.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Nymph",1,"OK","90% ethanol","USNMENT01482806",,"Lorenza Beati","Georgia Southern University",
"21c2e7b8-2465-4821-87b4-3ec0d9553e49","TREE_007.tickPlot.tck","TREE_007","2018-09-10T15:25Z","2018-11-16T17:00Z","TREE_007.20180910","TREE_007.20180910.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,,"Larva",15,"OK","90% ethanol","USNMENT01482807",,"Arianna Gibbs","Georgia Southern University",
"0c548d69-11ed-43e3-a7b8-492f40c86d5f","TREE_007.tickPlot.tck","TREE_007","2018-09-10T15:25Z","2018-11-16T17:00Z","TREE_007.20180910","TREE_007.20180910.IXOSCA.M","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Male",2,"OK","90% ethanol","USNMENT01482805",,"Arianna Gibbs","Georgia Southern University",
"0e8736df-ffe3-46c8-9042-0eadf47885d8","TREE_019.tickPlot.tck","TREE_019","2018-09-10T15:40Z","2018-11-16T17:00Z","TREE_019.20180910","TREE_019.20180910.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,,"Larva",7,"OK","90% ethanol","USNMENT01482791",,"Arianna Gibbs","Georgia Southern University",
"e33299b4-90a9-4ade-8ea5-d2e7158a9311","TREE_019.tickPlot.tck","TREE_019","2018-09-10T15:40Z","2019-01-27T17:00Z","TREE_019.20180910","TREE_019.20180910.HAELEP.N","Haemaphysalis leporispalustris","HAELEP","species","Ixodidae",,,,"Haemaphysalis",,"leporispalustris",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,"Packard","Nymph",1,"OK","90% ethanol","USNMENT00986094",,"Lorenza Beati","Georgia Southern University",
"b4eea0fa-95fe-4e3f-9661-638a07239f54","TREE_019.tickPlot.tck","TREE_019","2018-09-10T15:40Z","2019-01-27T17:00Z","TREE_019.20180910","TREE_019.20180910.IXOMUR.N","Ixodes muris","IXOMUR","species","Ixodidae",,,,"Ixodes",,"muris",,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Bishopp & Smith","Nymph",1,"OK","90% ethanol","USNMENT01482790",,"Lorenza Beati","Georgia Southern University",
"58137ea2-5788-4a9a-a31d-97ed1d67a060","TREE_019.tickPlot.tck","TREE_019","2018-09-10T15:40Z","2019-01-27T17:00Z","TREE_019.20180910","TREE_019.20180910.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Nymph",4,"OK","90% ethanol","USNMENT00986093",,"Lorenza Beati","Georgia Southern University",
"f91c1eb3-7881-4dd5-bddc-bd848f58825f","TREE_005.tickPlot.tck","TREE_005","2018-09-10T17:24Z","2018-11-16T17:00Z","TREE_005.20180910","TREE_005.20180910",,,,,,,,,,,,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,,,,"OK","90% ethanol","USNMENT01482777",,,"Georgia Southern University","not a tick"
"b1a8f378-dccc-45cf-b8cd-9c29cc3d9287","TREE_015.tickPlot.tck","TREE_015","2018-09-10T18:14Z","2019-01-27T17:00Z","TREE_015.20180910","TREE_015.20180910.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Nymph",1,"OK","90% ethanol","USNMENT01482811",,"Lorenza Beati","Georgia Southern University",
"bd5143c7-57f6-4e42-bd27-fef521b3a50c","TREE_017.tickPlot.tck","TREE_017","2018-09-10T18:51Z","2019-01-27T17:00Z","TREE_017.20180910","TREE_017.20180910.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Nymph",2,"OK","90% ethanol","USNMENT01482765",,"Lorenza Beati","Georgia Southern University",
