uid,namedLocation,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,identificationHistoryID,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks
"27bf1223-66c0-4226-8d0f-3c4a47546fd4","UKFS_003.tickPlot.tck","UKFS_003","2018-05-01T14:35Z","2018-10-09T16:00Z","UKFS_003.20180501","UKFS_003.20180501.AMBAME.F","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Female",12,"OK","90% ethanol","USNMENT01482377",,"Arianna Gibbs","Georgia Southern University",
"2554881a-b90e-481e-9fe1-19abbad9cc02","UKFS_003.tickPlot.tck","UKFS_003","2018-05-01T14:35Z","2018-11-07T17:00Z","UKFS_003.20180501","UKFS_003.20180501.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Nymph",6,"OK","90% ethanol","USNMENT01482362",,"Lorenza Beati","Georgia Southern University",
"01f8df91-f7a0-4ec0-bedd-23646965db03","UKFS_003.tickPlot.tck","UKFS_003","2018-05-01T14:35Z","2018-10-09T16:00Z","UKFS_003.20180501","UKFS_003.20180501.AMBAME.M","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Male",23,"OK","90% ethanol","USNMENT01482378",,"Arianna Gibbs","Georgia Southern University",
"a6a5edfc-aaaa-44f4-ad0e-cbb4fd926e46","UKFS_003.tickPlot.tck","UKFS_003","2018-05-01T14:35Z","2018-10-04T16:00Z","UKFS_003.20180501","UKFS_003.20180501.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,,"Larva",1,"OK","90% ethanol","USNMENT01482363",,"Arianna Gibbs","Georgia Southern University",
"97a51440-d0c5-4ebf-b1b3-645b8866aaca","UKFS_018.tickPlot.tck","UKFS_018","2018-05-01T15:19Z","2018-11-07T17:00Z","UKFS_018.20180501","UKFS_018.20180501.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Nymph",1,"OK","90% ethanol","USNMENT01482232",,"Lorenza Beati","Georgia Southern University",
"a467f96a-c5e3-4ffc-837f-208c6c60633a","UKFS_002.tickPlot.tck","UKFS_002","2018-05-01T15:51Z","2018-11-07T17:00Z","UKFS_002.20180501","UKFS_002.20180501.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Nymph",1,"OK","90% ethanol","USNMENT01482220",,"Lorenza Beati","Georgia Southern University",
"814e9e81-6e16-4f85-993b-c61741095a5f","UKFS_004.tickPlot.tck","UKFS_004","2018-05-01T16:55Z","2018-11-07T17:00Z","UKFS_004.20180501","UKFS_004.20180501.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Nymph",3,"OK","90% ethanol","USNMENT01482368",,"Lorenza Beati","Georgia Southern University",
"051e2cb2-fcfd-4401-b58c-ba474db7c6ab","UKFS_004.tickPlot.tck","UKFS_004","2018-05-01T16:55Z","2018-10-09T16:00Z","UKFS_004.20180501","UKFS_004.20180501.AMBAME.M","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Male",4,"OK","90% ethanol","USNMENT01482367",,"Arianna Gibbs","Georgia Southern University",
"2482d03d-4b1a-4c02-963d-b9977701f28b","UKFS_004.tickPlot.tck","UKFS_004","2018-05-01T16:55Z","2018-10-09T16:00Z","UKFS_004.20180501","UKFS_004.20180501.AMBAME.F","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Female",5,"OK","90% ethanol","USNMENT01482369",,"Arianna Gibbs","Georgia Southern University",
"aee400d9-def1-464f-b0dc-f764fed9c631","UKFS_001.tickPlot.tck","UKFS_001","2018-05-01T17:42Z","2018-11-07T17:00Z","UKFS_001.20180501","UKFS_001.20180501.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Nymph",16,"OK","90% ethanol","USNMENT01482360",,"Lorenza Beati","Georgia Southern University",
