"site","SOC"
"ABBY",29.9388328706893
"BART",20.1618238954168
"BLAN",14.184273233444
"CLBJ",15.9364609223023
"DCFS",24.0478196582566
"DELA",13.5750623607591
"GRSM",16.3563900948291
"HARV",15.2539530277218
"JERC",13.5237854235039
"KONZ",20.7285013732955
"LENO",13.7017090051981
"MLBS",20.1457873354545
"MOAB",9.84693173273382
"NIWO",23.489642353066
"OAES",13.5675386153949
"ONAQ",11.5345652869478
"ORNL",13.7280749920016
"OSBS",12.7203117788243
"RMNP",12.774166929098
"SCBI",13.1996269044753
"SERC",12.5011586543856
"SJER",12.9952648291951
"SOAP",17.1351890695018
"STER",12.4586598884089
"TALL",11.4722490211905
"TEAK",17.5114212499316
"TREE",11.1325610610122
"UKFS",20.7062419774874
"UNDE",13.2542356404122
"WOOD",22.2278720369061
"WREF",23.8186357263758
"YELL",17.0648200072093
