"tile","sites","n_sites","rep"
"T18TWM","GREN, HNRY, TEA",3,"GREN"
"T18TXM","GREN, HNRY, TEA",3,"GREN"
"T14SPJ","KONZ, KONA",2,"KONZ"
"T14SQJ","KONZ, KONA",2,"KONZ"
"T15TYL","TREE, STEI",2,"TREE"
"T16SDB","DELA, TALL",2,"DELA"
"T17SQD","BLAN, SCBI",2,"BLAN"
"T18STJ","BLAN, SCBI",2,"BLAN"
"T14SME","OAES",1,"OAES"
"T14SPB","CLBJ",1,"CLBJ"
"T14SPC","CLBJ",1,"CLBJ"
"T15STD","UKFS",1,"UKFS"
"T15SUD","UKFS",1,"UKFS"
"T15TYM","UNDE",1,"UNDE"
"T16SCA","LENO",1,"LENO"
"T16SDA","DELA",1,"DELA"
"T16SGE","ORNL",1,"ORNL"
"T16TCR","TREE",1,"TREE"
"T16TCS","UNDE",1,"UNDE"
"T17RLN","OSBS",1,"OSBS"
"T17RMN","OSBS",1,"OSBS"
"T17SKV","ORNL",1,"ORNL"
"T17SNB","MLBS",1,"MLBS"
"T18SUJ","SERC",1,"SERC"
"T18TYM","HARV",1,"HARV"
"T18TYN","HARV",1,"HARV"
"T19TBG","HARV",1,"HARV"
