"siteID","year","greenup","mid_greenup","maturity","tick_85","anomalous"
"GREN",2016,113,136,161,139.344589976626,TRUE
"GREN",2018,111,133,159,198.481384976751,FALSE
"GREN",2021,98,128,155,143.913557528001,FALSE
"GREN",2023,98,119,142,159.943934073484,FALSE
"HNRY",2016,113,136,161,133.373493096212,FALSE
"HNRY",2017,110,131,156,142.127793012461,FALSE
"HNRY",2018,110,132,158,141.670713624362,FALSE
"HNRY",2019,108,130,155,156.337013736256,FALSE
"HNRY",2021,103,128,154,141.095734132936,FALSE
"HNRY",2022,108,132,157,159.475613317745,FALSE
"TEA",2018,111,132,156,192.375183337527,FALSE
"TEA",2019,102,126,152,140.246093943955,FALSE
"TEA",2021,107,130,157,171.41187727476,FALSE
"TEA",2023,97,118,142,152.311106541081,FALSE
"BLAN",2016,87,116,148,140.513410976072,FALSE
"BLAN",2017,80,108,137,133.54756882139,FALSE
"BLAN",2018,93,120,150,155.943737015792,FALSE
"BLAN",2021,82,108,137,144.627198453477,FALSE
"BLAN",2022,92,119,147,147.053542763702,FALSE
"BLAN",2023,78,106,137,132.340454097666,TRUE
"BLAN",2024,80,112,143,138.708284799221,FALSE
"SCBI",2016,76,110,149,144.54199779697,FALSE
"SCBI",2017,81,108,145,183.575049151259,FALSE
"SCBI",2018,94,120,151,132.985016379503,FALSE
"SCBI",2019,87,113,146,131.043866511561,TRUE
"SCBI",2021,82,107,145,124.302520172874,TRUE
"SCBI",2022,78,107,138,120.338947704108,TRUE
"SCBI",2023,75,102,132,119.338950376759,TRUE
"SCBI",2024,81,106,133,116.709761377311,FALSE
"SERC",2016,98,122,150,158.372881164666,FALSE
"SERC",2017,100,125,162,106.302520176117,TRUE
"SERC",2018,108,127,153,130.397334598268,FALSE
"SERC",2019,93,116,149,152.377876912025,FALSE
"SERC",2021,98,121,158,139.894552275754,FALSE
"SERC",2022,100,121,146,123.830711417305,FALSE
"SERC",2023,88,112,152,146.949252187925,FALSE
"SERC",2024,100,122,149,116.844851217128,FALSE
"ORNL",2016,83,111,142,138.919977463196,FALSE
"ORNL",2018,86,112,138,144.885875084329,FALSE
"ORNL",2019,83,107,138,116.734570342649,FALSE
"ORNL",2021,85,110,136,105.662499629351,FALSE
"ORNL",2022,89,115,145,103.428102013793,FALSE
"ORNL",2023,77,104,135,118.17215484634,FALSE
"ORNL",2024,81,109,138,117.192082233371,FALSE
"MLBS",2024,112,135,160,121.336565405136,TRUE
"TREE",2016,124,149,175,150.801219159573,TRUE
"TREE",2017,114,142,169,145.411074867198,FALSE
"TREE",2018,117,142,170,179.026440147444,FALSE
"TREE",2019,121,146,174,149.180497564738,FALSE
"TREE",2021,114,142,170,147.714772300962,FALSE
"TREE",2022,119,144,173,155.631763066608,FALSE
"TREE",2023,115,140,169,173.813798741517,FALSE
"TREE",2024,112,140,169,152.536433389494,FALSE
"HARV",2016,116,140,164,137.841247793966,TRUE
"HARV",2017,105,128,154,154.906842202463,FALSE
"HARV",2018,115,137,162,155.287597716699,FALSE
"HARV",2019,107,134,160,145.841538657502,TRUE
"HARV",2021,114,136,160,133.182385295492,FALSE
"HARV",2023,107,130,156,148.338950437367,TRUE
"HARV",2024,109,133,159,124.80220973559,TRUE
