uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"84c32986-c7b2-49f0-a3f2-b34fba910f7e","1e7a7b16-4827-4088-a928-ab6ced68d03f","TEAK_010.mammalGrid.mam","D17","TEAK","TEAK_010","H1","distributed","evergreenForest",37.015799,-119.049156,"WGS84",45.1,2203.0,0.2,"1 - trap not set","ShermanXLK","2020-09-15","2020-09-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"d43bbd6b-0554-48ef-bca1-973a2110224f"
"c61443e9-37f8-4d3d-88fb-14d62eada64c","ecfd56c0-b7bb-40b9-8476-d5ddce062926","TEAK_007.mammalGrid.mam","D17","TEAK","TEAK_007","H7","distributed","evergreenForest",36.998941,-119.052319,"WGS84",47.1,2114.2,2.3,"1 - trap not set","ShermanXLK","2020-09-15","2020-09-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"b95f5aa3-55fb-46c9-a0cf-ce2cdb7eebb1"
"1d56a979-6cb3-499d-8e7e-83262c94d9e9","1e7a7b16-4827-4088-a928-ab6ced68d03f","TEAK_010.mammalGrid.mam","D17","TEAK","TEAK_010","H7","distributed","evergreenForest",37.015799,-119.049156,"WGS84",45.1,2203.0,0.2,"1 - trap not set","ShermanXLK","2020-09-15","2020-09-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"b84f6222-a5a0-4688-bf67-61f1d24f0688"
"311e728e-85f8-4c0e-ba1b-7f206d792d0a","687be7ca-3f15-4ce7-9079-bfe88800f7f7","TEAK_001.mammalGrid.mam","D17","TEAK","TEAK_001","H9","distributed","evergreenForest",36.978209,-119.016437,"WGS84",46.0,2168.6,1.3,"1 - trap not set","ShermanXLK","2020-09-15","2020-09-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73cbbde9-3dad-4a3a-92e0-8ab32715f1c1"
"a6b4ac2d-383c-4555-8e4e-145edbb63460","1e7a7b16-4827-4088-a928-ab6ced68d03f","TEAK_010.mammalGrid.mam","D17","TEAK","TEAK_010","A8","distributed","evergreenForest",37.015799,-119.049156,"WGS84",45.1,2203.0,0.2,"1 - trap not set","ShermanXLK","2020-09-15","2020-09-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"d9bef068-c257-4207-a6fc-a5c6ba6e2a2c"
"70ed10a3-bf4f-4aca-98e1-7aa270db2897","687be7ca-3f15-4ce7-9079-bfe88800f7f7","TEAK_001.mammalGrid.mam","D17","TEAK","TEAK_001","E6","distributed","evergreenForest",36.978209,-119.016437,"WGS84",46.0,2168.6,1.3,"1 - trap not set","ShermanXLK","2020-09-15","2020-09-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"eca08341-323b-4613-834b-2f0942019ea1"
"631f9e5c-6765-445d-98ba-85be7b21f13e","5e535979-7618-4e04-8d8e-3aa77e5102f6","TEAK_003.mammalGrid.mam","D17","TEAK","TEAK_003","B7","distributed","evergreenForest",37.014173,-119.011320,"WGS84",45.7,2231.4,0.9,"1 - trap not set","ShermanXLK","2020-09-15","2020-09-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fda42bdf-e14f-40b3-b57c-6881f75478fa"
"165a46a0-59e9-449c-b01c-014091ce4668","1e7a7b16-4827-4088-a928-ab6ced68d03f","TEAK_010.mammalGrid.mam","D17","TEAK","TEAK_010","E7","distributed","evergreenForest",37.015799,-119.049156,"WGS84",45.1,2203.0,0.2,"1 - trap not set","ShermanXLK","2020-09-15","2020-09-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67392078-8a49-4278-91d0-ccc980f6497c"
"87822cf1-a2f9-4c11-8b80-fd543e17b18c","5e535979-7618-4e04-8d8e-3aa77e5102f6","TEAK_003.mammalGrid.mam","D17","TEAK","TEAK_003","H10","distributed","evergreenForest",37.014173,-119.011320,"WGS84",45.7,2231.4,0.9,"1 - trap not set","ShermanXLK","2020-09-15","2020-09-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"a9fb76ce-51d5-4a2d-944d-75c697816313"
"cb4ab2ff-e5d9-4c70-8867-6344c54d5554","ecfd56c0-b7bb-40b9-8476-d5ddce062926","TEAK_007.mammalGrid.mam","D17","TEAK","TEAK_007","C7","distributed","evergreenForest",36.998941,-119.052319,"WGS84",47.1,2114.2,2.3,"1 - trap not set","ShermanXLK","2020-09-15","2020-09-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0d1e5c37-bf21-4add-8f12-c9bece49d2ae"
