uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"b49e6c8b-b144-41e1-a82a-e65efb09dc90","50310f70-b951-4c3b-9044-ddc42476c746","BARR_037.mammalGrid.mam","D18","BARR","BARR_037","B4","distributed","sedgeHerbaceous",71.250062,-156.480850,"WGS84",45.1,5.1,0.1,"1 - trap not set","ShermanLF","2022-06-15","2022-06-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"d501cbb4-7975-4dc6-a3a6-76358d96b6ac"
"faa32340-5363-4e71-8f99-ee505a1f8240","59cd2269-a70a-4ea2-b430-330c571ab7f5","BARR_030.mammalGrid.mam","D18","BARR","BARR_030","J10","distributed","sedgeHerbaceous",71.247700,-156.425986,"WGS84",45.4,6.2,0.6,"1 - trap not set","ShermanLF","2022-06-15","2022-06-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"d24a53c3-a552-4e9b-990a-44d5955c7ed3"
"32593423-7908-4498-b386-bf382ede1ccb","59cd2269-a70a-4ea2-b430-330c571ab7f5","BARR_030.mammalGrid.mam","D18","BARR","BARR_030","I4","distributed","sedgeHerbaceous",71.247700,-156.425986,"WGS84",45.4,6.2,0.6,"1 - trap not set","ShermanLF","2022-06-15","2022-06-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5642d44c-862a-4f4e-9d0b-1111b6408224"
"6e012548-a14c-4cdc-a010-4a9e419f4885","50310f70-b951-4c3b-9044-ddc42476c746","BARR_037.mammalGrid.mam","D18","BARR","BARR_037","H10","distributed","sedgeHerbaceous",71.250062,-156.480850,"WGS84",45.1,5.1,0.1,"1 - trap not set","ShermanLF","2022-06-15","2022-06-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"aa787e5c-55a9-4233-b491-480a43419f9d"
"3abb0744-76c9-47c0-a3c4-7228c9941cb5","465f8c7e-b3b6-410d-8442-41b493d0964b","BARR_084.mammalGrid.mam","D18","BARR","BARR_084","G5","distributed","sedgeHerbaceous",71.247904,-156.440133,"WGS84",45.1,4.8,0.1,"1 - trap not set","ShermanLF","2022-06-15","2022-06-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79cc3983-f3f8-4e25-bdc0-b26f5ec46f53"
"e8ae9acc-8401-43b9-9d05-63776878f026","50310f70-b951-4c3b-9044-ddc42476c746","BARR_037.mammalGrid.mam","D18","BARR","BARR_037","H1","distributed","sedgeHerbaceous",71.250062,-156.480850,"WGS84",45.1,5.1,0.1,"1 - trap not set","ShermanLF","2022-06-15","2022-06-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4d4d92d2-654d-44bb-82f4-93954aac5a59"
"c9721a41-d0f7-4cf8-8443-33808a7799ef","59cd2269-a70a-4ea2-b430-330c571ab7f5","BARR_030.mammalGrid.mam","D18","BARR","BARR_030","J8","distributed","sedgeHerbaceous",71.247700,-156.425986,"WGS84",45.4,6.2,0.6,"1 - trap not set","ShermanLF","2022-06-15","2022-06-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2cd812c7-1115-4079-95fb-7beba40bdb0d"
"90ac7a23-ca0d-4919-818e-6fc2dfcf1d2a","50310f70-b951-4c3b-9044-ddc42476c746","BARR_037.mammalGrid.mam","D18","BARR","BARR_037","G1","distributed","sedgeHerbaceous",71.250062,-156.480850,"WGS84",45.1,5.1,0.1,"1 - trap not set","ShermanLF","2022-06-15","2022-06-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15efb2f8-8b7c-4a66-9e12-62648cae1fcb"
"4184e62a-023a-4a92-9ac0-c3b48e4c37bc","59cd2269-a70a-4ea2-b430-330c571ab7f5","BARR_030.mammalGrid.mam","D18","BARR","BARR_030","H4","distributed","sedgeHerbaceous",71.247700,-156.425986,"WGS84",45.4,6.2,0.6,"1 - trap not set","ShermanLF","2022-06-15","2022-06-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4d7d4456-6b4f-442f-8626-c567639414e5"
"1080407a-c2b0-4328-a717-363ec4cdf97b","465f8c7e-b3b6-410d-8442-41b493d0964b","BARR_084.mammalGrid.mam","D18","BARR","BARR_084","H2","distributed","sedgeHerbaceous",71.247904,-156.440133,"WGS84",45.1,4.8,0.1,"1 - trap not set","ShermanLF","2022-06-15","2022-06-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"a4d3435c-3932-44b7-852a-a7b13c94c3e5"
