uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"47b0726f-9f6d-4294-8abc-21b0fa75e93c","0f7342bb-a668-4567-97db-cd117bf98040","SJER_007.mammalGrid.mam","D17","SJER","SJER_007","G5","distributed","grasslandHerbaceous",37.114814,-119.752042,"WGS84",45.1,430.7,0.1,"1 - trap not set","ShermanXLK","2022-12-12","2022-12-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99c0f603-433b-4f19-ac40-c85ed0c385ac"
"87fd2151-dbcd-472b-8658-e4084a6dc7fa","0f7342bb-a668-4567-97db-cd117bf98040","SJER_007.mammalGrid.mam","D17","SJER","SJER_007","B10","distributed","grasslandHerbaceous",37.114814,-119.752042,"WGS84",45.1,430.7,0.1,"1 - trap not set","ShermanXLK","2022-12-12","2022-12-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"c99e6fdc-14cc-463e-842b-38f0d7a9ce35"
"9876e1dc-0246-49f8-b0ef-58147381f22d","95b57dc9-e65b-4a31-b1d3-ccd1c98510bd","SJER_012.mammalGrid.mam","D17","SJER","SJER_012","E3","distributed","grasslandHerbaceous",37.084404,-119.715586,"WGS84",45.1,327.2,0.1,"1 - trap not set","ShermanXLK","2022-12-12","2022-12-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"039d65ca-c824-4f93-ad69-d69e8537f82b"
"165b7251-1d0f-4fdb-a999-0eae25d93c9d","0f7342bb-a668-4567-97db-cd117bf98040","SJER_007.mammalGrid.mam","D17","SJER","SJER_007","I1","distributed","grasslandHerbaceous",37.114814,-119.752042,"WGS84",45.1,430.7,0.1,"1 - trap not set","ShermanXLK","2022-12-12","2022-12-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ce487954-9a1a-4139-a932-f167a8e80b5f"
"d8e147f1-fbb3-48e1-9356-e1dc91429561","95b57dc9-e65b-4a31-b1d3-ccd1c98510bd","SJER_012.mammalGrid.mam","D17","SJER","SJER_012","B7","distributed","grasslandHerbaceous",37.084404,-119.715586,"WGS84",45.1,327.2,0.1,"1 - trap not set","ShermanXLK","2022-12-12","2022-12-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24497a0b-44fd-413f-8343-8165d3e94ce3"
"3bdaeb1f-668e-40a4-aec4-c74380eedbdc","0f7342bb-a668-4567-97db-cd117bf98040","SJER_007.mammalGrid.mam","D17","SJER","SJER_007","J1","distributed","grasslandHerbaceous",37.114814,-119.752042,"WGS84",45.1,430.7,0.1,"1 - trap not set","ShermanXLK","2022-12-12","2022-12-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"b0348201-6afc-4ac6-9d86-61c3a2c4fc11"
"db02a91c-b3f0-45df-a7d8-438e7fa080b8","0f7342bb-a668-4567-97db-cd117bf98040","SJER_007.mammalGrid.mam","D17","SJER","SJER_007","E2","distributed","grasslandHerbaceous",37.114814,-119.752042,"WGS84",45.1,430.7,0.1,"1 - trap not set","ShermanXLK","2022-12-12","2022-12-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4d6732a4-8ae8-4397-8439-8247e5b7bc66"
"a2d09f57-3c90-4a22-8065-af1f7af50a8a","3f53e7ac-627e-4014-b0e6-7aaf484770bf","SJER_002.mammalGrid.mam","D17","SJER","SJER_002","I3","distributed","grasslandHerbaceous",37.081628,-119.742642,"WGS84",45.1,340.6,0.1,"1 - trap not set","ShermanXLK","2022-12-12","2022-12-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7fbef770-b991-40b2-a997-e8d265d7ca94"
"600419d4-b247-4f18-8d40-598bbcb2fb3d","3f53e7ac-627e-4014-b0e6-7aaf484770bf","SJER_002.mammalGrid.mam","D17","SJER","SJER_002","J4","distributed","grasslandHerbaceous",37.081628,-119.742642,"WGS84",45.1,340.6,0.1,"1 - trap not set","ShermanXLK","2022-12-12","2022-12-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"96f0ebb1-ca1f-4b5b-a85f-7f4bb0937309"
"6a6a5b22-1699-42dc-9007-2d8b12f599aa","3f53e7ac-627e-4014-b0e6-7aaf484770bf","SJER_002.mammalGrid.mam","D17","SJER","SJER_002","F2","distributed","grasslandHerbaceous",37.081628,-119.742642,"WGS84",45.1,340.6,0.1,"1 - trap not set","ShermanXLK","2022-12-12","2022-12-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"a8a8bdfd-06a8-48d5-bfa4-561b15ff8d22"
