uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"b696f0a3-b3a7-4b9a-a4c6-4ea4928cda6e","JERC_044.tickPlot.tck","D03","JERC","JERC_044","distributed","mixedForest",31.195549,-84.482479,"WGS84",20.1,42.5,0.1,,,"2014-09-02T21:02Z","JERC.2014.35",,,"drag and flag",162,"N",0,0,0,,"NEON.DOC.014045vD","D03SAM05","No ticks collected"
"206430c0-e0e0-4ca8-b510-ed5f9a066de2","JERC_034.tickPlot.tck","D03","JERC","JERC_034","distributed","deciduousForest",31.198824,-84.491213,"WGS84",20.1,44.9,0.2,,,"2014-09-02T21:45Z","JERC.2014.35",,,"drag and flag",162,"N",0,0,0,,"NEON.DOC.014045vD","D03SAM05","No ticks collected; NO TRANSCRIPTION ERROR FOUND"
"9bf1a3bb-b266-4662-8586-a970547a29c4","JERC_004.tickPlot.tck","D03","JERC","JERC_004","distributed","cultivatedCrops",31.190116,-84.467380,"WGS84",20.1,43.4,0.3,,,"2014-09-03T14:29Z","JERC.2014.35",,,"drag",160,"N",0,0,0,,"NEON.DOC.014045vD","D03SAM05","No ticks collected"
"ea97ea2b-b46e-4da0-baea-9316b720979e","JERC_005.tickPlot.tck","D03","JERC","JERC_005","distributed","evergreenForest",31.194878,-84.452157,"WGS84",20.3,48.1,0.4,,,"2014-09-03T17:07Z","JERC.2014.35",,,"drag and flag",161,"N",0,0,0,,"NEON.DOC.014045vD","D03SAM05","No ticks collected"
"b4bf1f8e-1091-490d-93b0-ed0ca2689b25","JERC_002.tickPlot.tck","D03","JERC","JERC_002","distributed","evergreenForest",31.194058,-84.461542,"WGS84",20.6,49.7,1.0,,,"2014-09-03T17:26Z","JERC.2014.35",,,"drag and flag",162,"N",0,0,0,,"NEON.DOC.014045vD","D03SAM05","No ticks collected; NO TRANSCRIPTION ERROR FOUND"
"f9f4662f-3830-454d-8f65-9f35e8c1eb06","JERC_002.tickPlot.tck","D03","JERC","JERC_002","distributed","evergreenForest",31.194058,-84.461542,"WGS84",20.6,49.7,1.0,,,"2014-09-23T17:18Z","JERC.2014.38",,,"drag and flag",160,"N",0,0,0,,"NEON.DOC.014045vD","D03ADG12","No catch. Utilized 2 drag cloths."
"7822514b-bbcf-44c8-a88d-4f554eae4d3a","JERC_010.tickPlot.tck","D03","JERC","JERC_010","distributed","deciduousForest",31.209229,-84.470521,"WGS84",20.4,40.8,0.7,,,"2014-09-23T17:24Z","JERC.2014.38",,,"drag and flag",163,"N",0,0,0,,"NEON.DOC.014045vD","D03CLB26","No catch. Utilized 2 drag cloths."
"bf407425-29ea-4687-bc5c-9187c9dd5179","JERC_004.tickPlot.tck","D03","JERC","JERC_004","distributed","cultivatedCrops",31.190116,-84.467380,"WGS84",20.1,43.4,0.3,,,"2014-09-23T17:37Z","JERC.2014.38",,,"drag",167,"N",0,0,0,,"NEON.DOC.014045vD","D03ADG12","No catch. Utilized 2 drag cloths. No transcription errors."
"10ec02bd-8cb0-43f5-94b8-67c5f377c57f","JERC_005.tickPlot.tck","D03","JERC","JERC_005","distributed","evergreenForest",31.194878,-84.452157,"WGS84",20.3,48.1,0.4,,,"2014-09-23T17:55Z","JERC.2014.38",,,"drag and flag",163,"N",0,0,0,,"NEON.DOC.014045vD","D03ADG12","No catch. Utilized 2 drag cloths."
"28d094f4-871e-4746-9a5b-aed813bccd66","JERC_044.tickPlot.tck","D03","JERC","JERC_044","distributed","mixedForest",31.195549,-84.482479,"WGS84",20.1,42.5,0.1,,,"2014-09-23T17:58Z","JERC.2014.38",,,"drag and flag",174,"N",0,0,0,,"NEON.DOC.014045vD","D03CLB26","No catch. Utilized 2 drag cloths."
"7dd5a0be-9bc0-48f1-878a-753f32167d62","JERC_034.tickPlot.tck","D03","JERC","JERC_034","distributed","deciduousForest",31.198824,-84.491213,"WGS84",20.1,44.9,0.2,,,"2014-09-23T18:30Z","JERC.2014.38",,,"drag and flag",167,"N",0,0,0,,"NEON.DOC.014045vD","D03CLB26","No catch. Utilized 2 drag cloths. No transcription errors."
