uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"d9ae648e-4085-4bf8-bbe6-f286aa572f37","TALL_006.tickPlot.tck","D08","TALL","TALL_006","distributed","evergreenForest",32.899153,-87.444554,"WGS84",20.1,111.1,0.1,"OK","OK - no known exceptions","2025-07-07T14:35Z","TALL.2025.28",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vL","0009-0005-9662-1534",
"299ac591-0af7-4500-8576-2c937d138e1e","TALL_001.tickPlot.tck","D08","TALL","TALL_001","distributed","deciduousForest",32.976366,-87.432192,"WGS84",20.1,114.7,0.1,"OK","OK - no known exceptions","2025-07-07T15:12Z","TALL.2025.28","TALL_001.20250707","D00000062336","drag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0004-4487-9413",
"d509184d-e1f2-43cd-9a37-7abbb3c57d5d","TALL_008.tickPlot.tck","D08","TALL","TALL_008","distributed","deciduousForest",32.922873,-87.434098,"WGS84",20.1,126.8,0.1,"OK","OK - no known exceptions","2025-07-07T15:38Z","TALL.2025.28","TALL_008.20250707","D00000062334","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0008-4299-3908",
"4887677f-6465-4fd5-93ec-4b4233626f9f","TALL_002.tickPlot.tck","D08","TALL","TALL_002","distributed","mixedForest",32.920826,-87.428960,"WGS84",20.2,99.3,0.3,"OK","OK - no known exceptions","2025-07-07T16:31Z","TALL.2025.28","TALL_002.20250707","D00000062331","drag",156,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0005-9662-1534",
"effec750-18d3-48e7-9ac9-12d6cf8f7ead","TALL_016.tickPlot.tck","D08","TALL","TALL_016","distributed","evergreenForest",32.971554,-87.415844,"WGS84",20.1,139.0,0.1,"OK","OK - no known exceptions","2025-07-07T16:33Z","TALL.2025.28","TALL_016.20250707","D00000062315","drag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0002-1439-1535",
"9a8c049c-a9b8-4b9d-95b3-12aa47459b73","TALL_003.tickPlot.tck","D08","TALL","TALL_003","distributed","mixedForest",32.894409,-87.416533,"WGS84",20.2,117.0,0.2,"OK","OK - no known exceptions","2025-07-07T17:37Z","TALL.2025.28",,,"drag and flag",157,"N",,,,,"NEON.DOC.014045vL","0009-0004-4487-9413",
"f8387303-5293-4c6d-9b4a-5051e71bacbc","TALL_003.tickPlot.tck","D08","TALL","TALL_003","distributed","mixedForest",32.894409,-87.416533,"WGS84",20.2,117.0,0.2,"OK","OK - no known exceptions","2025-07-24T14:05Z","TALL.2025.30",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vL","0009-0000-0008-6447",
"cd8a32ca-adc9-4de4-a6a1-905fdbde7fb5","TALL_008.tickPlot.tck","D08","TALL","TALL_008","distributed","deciduousForest",32.922873,-87.434098,"WGS84",20.1,126.8,0.1,"OK","OK - no known exceptions","2025-07-24T15:02Z","TALL.2025.30","TALL_008.20250724","D00000062272","drag",140,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0008-4299-3908",
"abe5a678-7d9f-40b1-beb5-7c9e56d2205c","TALL_016.tickPlot.tck","D08","TALL","TALL_016","distributed","evergreenForest",32.971554,-87.415844,"WGS84",20.1,139.0,0.1,"OK","OK - no known exceptions","2025-07-24T15:22Z","TALL.2025.30",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vL","0009-0000-0008-6447",
"8860cd30-c78a-484e-b317-07f7ce8ee153","TALL_002.tickPlot.tck","D08","TALL","TALL_002","distributed","mixedForest",32.920826,-87.428960,"WGS84",20.2,99.3,0.3,"OK","OK - no known exceptions","2025-07-24T16:03Z","TALL.2025.30","TALL_002.20250724","D00000237608","drag",128,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0008-4299-3908",
"217bc33a-1903-403c-8943-4d59e1e619a2","TALL_001.tickPlot.tck","D08","TALL","TALL_001","distributed","deciduousForest",32.976366,-87.432192,"WGS84",20.1,114.7,0.1,"OK","OK - no known exceptions","2025-07-24T17:02Z","TALL.2025.30","TALL_001.20250724","D00000062322","drag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0000-0008-6447",
"75ef0ccf-1165-445e-96b7-a1f07e9843f4","TALL_006.tickPlot.tck","D08","TALL","TALL_006","distributed","evergreenForest",32.899153,-87.444554,"WGS84",20.1,111.1,0.1,"OK","OK - no known exceptions","2025-07-24T17:38Z","TALL.2025.30",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vL","0009-0008-4299-3908",
