uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"9bc91b53-1c72-4dc6-bcc0-bb11ae246020","TREE_015.tickPlot.tck","D05","TREE","TREE_015","distributed","evergreenForest",45.485624,-89.554317,"WGS84",20.3,462.1,0.4,"OK",,"2021-08-12T14:20Z","TREE.2021.33","TREE_015.20210812","A00000206650","drag and flag",167,"Y",,,,"No known compromise","NEON.DOC.014045vK","0000-0001-5378-6623",
"749618d3-8221-4878-a8fe-7d4121827e8f","TREE_005.tickPlot.tck","D05","TREE","TREE_005","distributed","woodyWetlands",45.482307,-89.557298,"WGS84",20.2,447.4,0.2,"OK",,"2021-08-16T17:06Z","TREE.2021.33",,,"flag",163,"N",,,,,"NEON.DOC.014045vK","0000-0002-5484-7763",
"b38db646-84dd-4736-9cbc-66d4e259b6f9","TREE_007.tickPlot.tck","D05","TREE","TREE_007","distributed","deciduousForest",45.496400,-89.559227,"WGS84",20.2,458.7,0.3,"OK",,"2021-08-16T17:10Z","TREE.2021.33","TREE_007.20210816","A00000206619","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vK","0000-0001-8609-3620",
"c8ef6949-9211-405d-aedc-45aa99245e1a","TREE_022.tickPlot.tck","D05","TREE","TREE_022","distributed","evergreenForest",45.494512,-89.551239,"WGS84",20.3,457.4,0.3,"OK",,"2021-08-16T18:58Z","TREE.2021.33","TREE_022.20210816","A00000208082","flag",164,"Y",,,,"No known compromise","NEON.DOC.014045vK","0000-0002-6609-5941",
"3c8505d4-b418-454d-ab33-1c98a1eb3da5","TREE_017.tickPlot.tck","D05","TREE","TREE_017","distributed","deciduousForest",45.493375,-89.575730,"WGS84",20.2,465.7,0.2,"OK",,"2021-08-16T19:00Z","TREE.2021.33","TREE_017.20210816","A00000206649","drag and flag",161,"Y",,,,"No known compromise","NEON.DOC.014045vK","0000-0001-8609-3620",
"aa00dd6c-f858-495e-a500-005d40b471fe","TREE_019.tickPlot.tck","D05","TREE","TREE_019","distributed","mixedForest",45.494782,-89.575818,"WGS84",20.3,465.3,0.6,"OK",,"2021-08-16T20:54Z","TREE.2021.33","TREE_019.20210816","A00000206621","drag and flag",168,"Y",,,,"No known compromise","NEON.DOC.014045vK","0000-0002-5484-7763","2 teams sampling the transect simultaneously resulted in a shorter sampling time"
"07edb621-a903-451c-8184-cf779ae65d2f","TREE_019.tickPlot.tck","D05","TREE","TREE_019","distributed","mixedForest",45.494782,-89.575818,"WGS84",20.3,465.3,0.6,"OK",,"2021-08-30T15:30Z","TREE.2021.36","TREE_019.20210830","A00000208087","drag and flag",161,"Y",,,,"No known compromise","NEON.DOC.014045vK","0000-0002-0599-3609",
"036d3966-d523-4cbf-842d-278ffa52218d","TREE_022.tickPlot.tck","D05","TREE","TREE_022","distributed","evergreenForest",45.494512,-89.551239,"WGS84",20.3,457.4,0.3,"OK",,"2021-08-30T15:47Z","TREE.2021.36","TREE_022.20210830","D00000100005","flag",152,"Y",,,,"No known compromise","NEON.DOC.014045vK","0000-0002-5484-7763",
"9147ade5-a8a3-4750-8f48-797365c86008","TREE_017.tickPlot.tck","D05","TREE","TREE_017","distributed","deciduousForest",45.493375,-89.575730,"WGS84",20.2,465.7,0.2,"OK",,"2021-08-30T17:10Z","TREE.2021.36","TREE_017.20210830","A00000207696","drag and flag",137,"Y",,,,"No known compromise","NEON.DOC.014045vK","0000-0002-0599-3609",
"557b17c4-3395-4848-9e89-3bbe1e187b08","TREE_015.tickPlot.tck","D05","TREE","TREE_015","distributed","evergreenForest",45.485624,-89.554317,"WGS84",20.3,462.1,0.4,"OK",,"2021-08-30T17:24Z","TREE.2021.36","TREE_015.20210830","A00000207697","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vK","0000-0003-1075-1249",
"e7eb510c-470e-433b-b93d-239ffa4a4564","TREE_007.tickPlot.tck","D05","TREE","TREE_007","distributed","deciduousForest",45.496400,-89.559227,"WGS84",20.2,458.7,0.3,"OK",,"2021-08-30T17:36Z","TREE.2021.36","TREE_007.20210830","A00000207694","drag and flag",163,"Y",,,,"No known compromise","NEON.DOC.014045vK","0000-0002-5484-7763",
"78502e33-e413-408d-96ad-b43947ea001e","TREE_005.tickPlot.tck","D05","TREE","TREE_005","distributed","woodyWetlands",45.482307,-89.557298,"WGS84",20.2,447.4,0.2,"OK",,"2021-08-31T03:46Z","TREE.2021.36",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vK","0000-0003-1075-1249",
