uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"d473fead-a226-4a7d-890d-217918458395","081feb11-43b1-47a3-95ab-889ac068e8c3","YELL_011.mammalGrid.mam","D12","YELL","YELL_011","B6","distributed","shrubScrub",44.957982,-110.589389,"WGS84",45.2,2022.1,0.2,"6 - trap set and empty","ShermanLF","2021-08-16","2021-08-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-5333-6523","0000-0002-8312-9357",,,"73880cd6-f27c-4d3d-a9a5-bdce334123d4"
"ef4f2d19-ff4a-4aae-bf36-f4dda801f783","e4d5c394-1949-4d13-8fb2-c421ac38556b","YELL_020.mammalGrid.mam","D12","YELL","YELL_020","I1","distributed","evergreenForest",44.943811,-110.646584,"WGS84",45.1,2104.1,0.1,"6 - trap set and empty","ShermanLF","2021-08-16","2021-08-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7752-1312","0000-0002-3837-840X",,,"83038cbd-b19e-4615-b1c0-667b2e96deb5"
"41a4474b-a311-412e-8be8-0b5d8965a7b9","e4d5c394-1949-4d13-8fb2-c421ac38556b","YELL_020.mammalGrid.mam","D12","YELL","YELL_020","H6","distributed","evergreenForest",44.943811,-110.646584,"WGS84",45.1,2104.1,0.1,"6 - trap set and empty","ShermanLF","2021-08-16","2021-08-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7752-1312","0000-0002-3837-840X",,,"a9a2efcc-6a60-43c9-91d2-c06999f79fd6"
"314a2c2c-d9b0-46b5-bc52-d57771b69f32","081feb11-43b1-47a3-95ab-889ac068e8c3","YELL_011.mammalGrid.mam","D12","YELL","YELL_011","J4","distributed","shrubScrub",44.957982,-110.589389,"WGS84",45.2,2022.1,0.2,"6 - trap set and empty","ShermanLF","2021-08-16","2021-08-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-5333-6523","0000-0002-8312-9357",,,"361816ab-f17d-4148-bf39-eaf7aa450966"
"2939e868-3676-4368-9aca-e9b51a402cfb","e4d5c394-1949-4d13-8fb2-c421ac38556b","YELL_020.mammalGrid.mam","D12","YELL","YELL_020","E8","distributed","evergreenForest",44.943811,-110.646584,"WGS84",45.1,2104.1,0.1,"6 - trap set and empty","ShermanLF","2021-08-16","2021-08-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7752-1312","0000-0002-3837-840X",,,"bc7d264d-c972-425c-b5f2-625a82309645"
"7fcaad69-b98f-4d20-841a-f0987c3e0646","e4d5c394-1949-4d13-8fb2-c421ac38556b","YELL_020.mammalGrid.mam","D12","YELL","YELL_020","D10","distributed","evergreenForest",44.943811,-110.646584,"WGS84",45.1,2104.1,0.1,"5 - capture","ShermanLF","2021-08-16","2021-08-16","NEON.MAM.D12.R0411",,"TAMI","Tamias minimus","species",,,,,"N","M","N","processed",,"adult","nonscrotal",,,,27,14,89,,56,"N","Y","N","1-5",,,,,,"YELL.20210816.R0411.F","D00000022910","fresh","YELL.20210816.R0411.E","D00000023101",,,,,,"0000-0001-7752-1312","0000-0002-3837-840X","Ectoparasites present",,"373bd938-42ab-4553-b462-a29454fe79d1"
"c7e128dd-1f0b-4169-94d2-efe30ea79ba5","e4d5c394-1949-4d13-8fb2-c421ac38556b","YELL_020.mammalGrid.mam","D12","YELL","YELL_020","F7","distributed","evergreenForest",44.943811,-110.646584,"WGS84",45.1,2104.1,0.1,"5 - capture","ShermanLF","2021-08-16","2021-08-16","NEON.MAM.D12.R0380",,"TAMI","Tamias minimus","species",,,,,"N","M","N","processed",,"juvenile","nonscrotal",,,,26,13,82,,43,"Y","N","N","6-20",,,,,,"YELL.20210816.R0380.F","D00000023087","fresh","YELL.20210816.R0380.E","D00000023076",,,,,,"0000-0001-7752-1312","0000-0002-3837-840X",,,"6a5878b8-5425-458e-be38-eca12b5dd11c"
"cb07692a-3e43-4a91-8fab-4c4da74e8637","909a0391-2881-447e-bb58-e133b80729ed","YELL_072.mammalGrid.mam","D12","YELL","YELL_072","G2","distributed","shrubScrub",44.953028,-110.501272,"WGS84",45.1,2136.8,0.1,"6 - trap set and empty","ShermanLF","2021-08-16","2021-08-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-8312-9357","0000-0002-3705-3064",,,"5c2519cb-a7e0-430c-a268-513c086a089e"
"0c568a1f-c6de-4b2c-bf0f-b498e4601604","e4d5c394-1949-4d13-8fb2-c421ac38556b","YELL_020.mammalGrid.mam","D12","YELL","YELL_020","D3","distributed","evergreenForest",44.943811,-110.646584,"WGS84",45.1,2104.1,0.1,"2 - trap disturbed/door closed but empty","ShermanLF","2021-08-16","2021-08-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7752-1312","0000-0002-3837-840X",,,"90d51b2d-21c9-4244-bc2b-5a90cd1293ff"
"80c489c4-74b7-45a5-aa90-59aa7e999498","909a0391-2881-447e-bb58-e133b80729ed","YELL_072.mammalGrid.mam","D12","YELL","YELL_072","A1","distributed","shrubScrub",44.953028,-110.501272,"WGS84",45.1,2136.8,0.1,"6 - trap set and empty","ShermanLF","2021-08-16","2021-08-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-8312-9357","0000-0002-3705-3064",,,"ff9557c5-4f5a-44f9-879b-81e1c0b9475f"
"5e9272d6-556a-40c4-b625-043db0627a2c","e4d5c394-1949-4d13-8fb2-c421ac38556b","YELL_020.mammalGrid.mam","D12","YELL","YELL_020","J7","distributed","evergreenForest",44.943811,-110.646584,"WGS84",45.1,2104.1,0.1,"6 - trap set and empty","ShermanLF","2021-08-16","2021-08-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7752-1312","0000-0002-3837-840X",,,"1f0b795b-3afd-4283-a37e-3babbd8a9938"
"341539fc-6cc6-428c-80a1-fcf4f3880eeb","081feb11-43b1-47a3-95ab-889ac068e8c3","YELL_011.mammalGrid.mam","D12","YELL","YELL_011","J6","distributed","shrubScrub",44.957982,-110.589389,"WGS84",45.2,2022.1,0.2,"5 - capture","ShermanLF","2021-08-16","2021-08-16","NEON.MAM.D12.R0308",,"PEMA","Peromyscus maniculatus","species",,,,"taxonID confirmed","N","M","N","processed",,"adult","scrotal",,,,19,18,63,,23,"N","N","N",,,,,,,,,,"YELL.20210816.R0308.E","D00000023102","YELL.20210816.R0308.H","A00000113984","hairAndWhisker",,,"0000-0002-5333-6523","0000-0002-8312-9357","Ectoparasites present",,"6d0496a2-e199-4fc2-bc7f-4ef9daeac8f9"
"6b470717-7137-44d1-bf14-148360cdccab","081feb11-43b1-47a3-95ab-889ac068e8c3","YELL_011.mammalGrid.mam","D12","YELL","YELL_011","E3","distributed","shrubScrub",44.957982,-110.589389,"WGS84",45.2,2022.1,0.2,"6 - trap set and empty","ShermanLF","2021-08-16","2021-08-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-5333-6523","0000-0002-8312-9357",,,"bc1684de-a133-4655-8da4-636050285103"
"10d9c4d5-72d1-446a-a31d-13065844435f","909a0391-2881-447e-bb58-e133b80729ed","YELL_072.mammalGrid.mam","D12","YELL","YELL_072","G5","distributed","shrubScrub",44.953028,-110.501272,"WGS84",45.1,2136.8,0.1,"6 - trap set and empty","ShermanLF","2021-08-16","2021-08-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-8312-9357","0000-0002-3705-3064",,,"860252ab-6440-4b62-b0a4-7906ccaa5b42"
