uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"94bdaed8-b50e-463e-8475-2056a51b74ca","2e8e417c-c631-47a9-8279-b6c18c065b19","STEI_002.mammalGrid.mam","D05","STEI","STEI_002","C9","distributed","deciduousForest",45.798538,-90.091314,"WGS84",45.2,523.0,0.3,"1 - trap not set","ShermanLF","2022-05-24","2022-05-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"f708ac2d-67ce-4e79-a78a-c5c94a7d1c87"
"4262e737-bc27-46bd-9206-c8cb289c1dde","48a028e0-2a3e-4ddb-abe9-3baadeaf9d6b","STEI_005.mammalGrid.mam","D05","STEI","STEI_005","A1","distributed","deciduousForest",45.826963,-90.084426,"WGS84",45.3,502.2,0.5,"6 - trap set and empty","ShermanLF","2022-05-24","2022-05-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7519-0636","0000-0002-5484-7763",,,"ff8ef77b-9132-4d69-ae6f-00c5ef8e72e9"
"cc715c87-b69b-4483-93ac-b67ad28bf2b4","2e8e417c-c631-47a9-8279-b6c18c065b19","STEI_002.mammalGrid.mam","D05","STEI","STEI_002","E4","distributed","deciduousForest",45.798538,-90.091314,"WGS84",45.2,523.0,0.3,"1 - trap not set","ShermanLF","2022-05-24","2022-05-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"550e0e47-e5cc-4690-8060-95e05c40824b"
"becd5aa6-9e8a-4360-80a3-e65fa1b54669","d107a44e-2fa9-4031-b726-d1baa69f4c27","STEI_012.mammalGrid.mam","D05","STEI","STEI_012","G2","distributed","deciduousForest",45.784603,-90.048055,"WGS84",45.4,518.9,0.4,"6 - trap set and empty","ShermanLF","2022-05-24","2022-05-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-0640-0000","0000-0002-5484-7763",,,"fe9a0b16-a36d-43de-be81-56d502028414"
"26664d48-4145-4e7c-a1b1-07328633c7e3","48a028e0-2a3e-4ddb-abe9-3baadeaf9d6b","STEI_005.mammalGrid.mam","D05","STEI","STEI_005","E4","distributed","deciduousForest",45.826963,-90.084426,"WGS84",45.3,502.2,0.5,"6 - trap set and empty","ShermanLF","2022-05-24","2022-05-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7519-0636","0000-0002-5484-7763",,,"fdd24d57-451d-431c-9b7d-717221759a2f"
"1bb91196-ff64-45ec-b0ef-e14ed7599d96","2e8e417c-c631-47a9-8279-b6c18c065b19","STEI_002.mammalGrid.mam","D05","STEI","STEI_002","C2","distributed","deciduousForest",45.798538,-90.091314,"WGS84",45.2,523.0,0.3,"1 - trap not set","ShermanLF","2022-05-24","2022-05-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"97971141-e390-470a-8973-87ec4f253156"
"02fd6d34-bd75-4bf8-af54-8bfd25d25f62","d107a44e-2fa9-4031-b726-d1baa69f4c27","STEI_012.mammalGrid.mam","D05","STEI","STEI_012","H9","distributed","deciduousForest",45.784603,-90.048055,"WGS84",45.4,518.9,0.4,"6 - trap set and empty","ShermanLF","2022-05-24","2022-05-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-0640-0000","0000-0002-5484-7763",,,"ebb00781-f14e-439b-822b-b9b40256dc6c"
"dd3cb84b-9c35-4758-9a41-1faaef2bdb7b","d107a44e-2fa9-4031-b726-d1baa69f4c27","STEI_012.mammalGrid.mam","D05","STEI","STEI_012","D4","distributed","deciduousForest",45.784603,-90.048055,"WGS84",45.4,518.9,0.4,"6 - trap set and empty","ShermanLF","2022-05-24","2022-05-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-0640-0000","0000-0002-5484-7763",,,"314fa02d-a2ee-42a0-aa65-baa0aaba4392"
"12a78b64-e242-4728-9a1a-7f2b1b8933c5","2e8e417c-c631-47a9-8279-b6c18c065b19","STEI_002.mammalGrid.mam","D05","STEI","STEI_002","E6","distributed","deciduousForest",45.798538,-90.091314,"WGS84",45.2,523.0,0.3,"1 - trap not set","ShermanLF","2022-05-24","2022-05-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63e921de-2695-4316-bcb8-106647b40a2d"
"a3b09765-769c-46b4-8014-b25146be1dd2","d107a44e-2fa9-4031-b726-d1baa69f4c27","STEI_012.mammalGrid.mam","D05","STEI","STEI_012","E4","distributed","deciduousForest",45.784603,-90.048055,"WGS84",45.4,518.9,0.4,"6 - trap set and empty","ShermanLF","2022-05-24","2022-05-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-0640-0000","0000-0002-5484-7763",,,"b54bcb6e-cc97-4d94-a27b-ad0a2a2e616e"
