uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"d6168640-012f-4fed-acdb-8dce1c5ac79c","6dafaaaf-ae0f-49cd-8613-57bb1369f31a","KONA_001.mammalGrid.mam","D06","KONA","KONA_001","F2","distributed","cultivatedCrops",39.217225,-96.594870,"WGS84",45.1,330.1,0.1,"6 - trap set and empty","ShermanLF","2023-07-18","2023-07-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-2131-612X","0009-0005-6527-0647",,,"df0ca65f-993e-4e89-9254-657b07814c4c"
"b3cb9229-c739-4f9e-9849-7cda3a9a4eaa","59a43e7d-0141-4ba1-923e-faadbd68b634","KONA_016.mammalGrid.mam","D06","KONA","KONA_016","D2","distributed","cultivatedCrops",39.121218,-96.639897,"WGS84",45.1,329.7,0.1,"6 - trap set and empty","ShermanLF","2023-07-18","2023-07-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-2980-5449","0000-0002-9557-1628",,,"1799074a-fe07-48ec-ac5c-c3f393393fbe"
"3a8407c3-6a27-435b-9efc-660514378ff3","59a43e7d-0141-4ba1-923e-faadbd68b634","KONA_016.mammalGrid.mam","D06","KONA","KONA_016","C9","distributed","cultivatedCrops",39.121218,-96.639897,"WGS84",45.1,329.7,0.1,"6 - trap set and empty","ShermanLF","2023-07-18","2023-07-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-2980-5449","0000-0002-9557-1628",,,"48d2198a-f1c1-4d9c-b3e1-7ae8b4d630fe"
"7c4651d8-20d7-4839-b3ca-c7711c33b154","59a43e7d-0141-4ba1-923e-faadbd68b634","KONA_016.mammalGrid.mam","D06","KONA","KONA_016","H7","distributed","cultivatedCrops",39.121218,-96.639897,"WGS84",45.1,329.7,0.1,"6 - trap set and empty","ShermanLF","2023-07-18","2023-07-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-2980-5449","0000-0002-9557-1628",,,"956c34d5-64c6-4ba4-a8bb-2fc121262eca"
"f5df00f9-cd4c-480e-a4d7-88b29dae6a0f","2fd41a3c-bce6-47da-8012-87b307709d4e","KONA_013.mammalGrid.mam","D06","KONA","KONA_013","C6","distributed","cultivatedCrops",39.125776,-96.640728,"WGS84",45.1,328.6,0.1,"6 - trap set and empty","ShermanLF","2023-07-18","2023-07-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-2980-5449","0000-0002-9557-1628",,,"2816f822-d90d-4afc-8064-c19cbed69252"
"575b796b-97d8-4c66-8ff1-d9dc7a29bff1","2fd41a3c-bce6-47da-8012-87b307709d4e","KONA_013.mammalGrid.mam","D06","KONA","KONA_013","H5","distributed","cultivatedCrops",39.125776,-96.640728,"WGS84",45.1,328.6,0.1,"6 - trap set and empty","ShermanLF","2023-07-18","2023-07-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-2980-5449","0000-0002-9557-1628",,,"dcd7ce7b-d43f-4bbe-ad23-9437bd8d11a8"
"4b40f818-0877-41e2-9c1a-ea43d2b92330","59a43e7d-0141-4ba1-923e-faadbd68b634","KONA_016.mammalGrid.mam","D06","KONA","KONA_016","I6","distributed","cultivatedCrops",39.121218,-96.639897,"WGS84",45.1,329.7,0.1,"6 - trap set and empty","ShermanLF","2023-07-18","2023-07-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-2980-5449","0000-0002-9557-1628",,,"60f91fb2-087f-4db5-8646-2a347def2bf2"
"1f9c0211-cab5-4bee-a2e7-1289bd0da261","6dafaaaf-ae0f-49cd-8613-57bb1369f31a","KONA_001.mammalGrid.mam","D06","KONA","KONA_001","H3","distributed","cultivatedCrops",39.217225,-96.594870,"WGS84",45.1,330.1,0.1,"5 - capture","ShermanLF","2023-07-18","2023-07-18","NEON.MAM.D06.R7333",,"PEMA","Peromyscus maniculatus","species","cf. species",,,,"N","M","N","processed",,"adult","scrotal",,,,17,,65,,25,"N","N","N",,"none","dry ice",,,"unsuccessful",,,,"KONA.20230718.R7333.E","D00000157274","KONA.20230718.R7333.H","A00000435456","hairAndWhisker",,,"0000-0003-2131-612X","0009-0005-6527-0647",,,"4c9ea792-e91a-4c4a-b8fd-4240aeff4296"
"c27d2394-911f-419e-af20-cad885e20658","6dafaaaf-ae0f-49cd-8613-57bb1369f31a","KONA_001.mammalGrid.mam","D06","KONA","KONA_001","F9","distributed","cultivatedCrops",39.217225,-96.594870,"WGS84",45.1,330.1,0.1,"6 - trap set and empty","ShermanLF","2023-07-18","2023-07-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-2131-612X","0009-0005-6527-0647",,,"03e37413-faeb-4b77-b821-fb24b34ee89d"
"622e8b0d-a0c6-4822-a50b-2ba8843945b5","6dafaaaf-ae0f-49cd-8613-57bb1369f31a","KONA_001.mammalGrid.mam","D06","KONA","KONA_001","I6","distributed","cultivatedCrops",39.217225,-96.594870,"WGS84",45.1,330.1,0.1,"6 - trap set and empty","ShermanLF","2023-07-18","2023-07-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-2131-612X","0009-0005-6527-0647",,,"2e5b66aa-2fb6-4b78-9c28-d8971e5b9fc5"
