uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"e946886d-169c-46fb-848d-4bfb0b8afcf0","SOAP_004.tickPlot.tck","D17","SOAP","SOAP_004","distributed","evergreenForest",37.038478,-119.268390,"WGS84",20.1,1148.6,0.1,"logistical",,"2020-08-10T19:00Z","SOAP.2020.33",,,,,,,,,,"NEON.DOC.014045vK","0000-0001-7920-7757","COVID19"
"eea98d74-866b-435d-8d59-22aef5e07252","SOAP_003.tickPlot.tck","D17","SOAP","SOAP_003","distributed","evergreenForest",37.032990,-119.249667,"WGS84",20.1,1135.9,0.1,"logistical",,"2020-08-10T19:00Z","SOAP.2020.33",,,,,,,,,,"NEON.DOC.014045vK","0000-0001-7920-7757","COVID19"
"4779038a-9aa4-49d9-bfc9-3f73b8f8b00e","SOAP_006.tickPlot.tck","D17","SOAP","SOAP_006","distributed","evergreenForest",37.024700,-119.283060,"WGS84",20.1,1313.7,0.1,"logistical",,"2020-08-10T19:00Z","SOAP.2020.33",,,,,,,,,,"NEON.DOC.014045vK","0000-0001-7920-7757","COVID19"
"ddae5a26-9aa3-42eb-8f25-b882cfcdcef0","SOAP_005.tickPlot.tck","D17","SOAP","SOAP_005","distributed","evergreenForest",37.031309,-119.264582,"WGS84",20.1,1199.7,0.1,"logistical",,"2020-08-10T19:00Z","SOAP.2020.33",,,,,,,,,,"NEON.DOC.014045vK","0000-0001-7920-7757","COVID19"
"30a10f60-5f93-4e0f-acc7-abc034d9d2a7","SOAP_026.tickPlot.tck","D17","SOAP","SOAP_026","distributed","shrubScrub",37.029413,-119.271385,"WGS84",20.1,1261.9,0.1,"logistical",,"2020-08-10T19:00Z","SOAP.2020.33",,,,,,,,,,"NEON.DOC.014045vK","0000-0001-7920-7757","COVID19"
"2e02a275-c6b7-4dd4-b8a7-c734029f1e8a","SOAP_009.tickPlot.tck","D17","SOAP","SOAP_009","distributed","shrubScrub",37.038733,-119.257995,"WGS84",20.1,1081.2,0.1,"logistical",,"2020-08-10T19:00Z","SOAP.2020.33",,,,,,,,,,"NEON.DOC.014045vK","0000-0001-7920-7757","COVID19"
"48cba78a-3b49-4004-a886-9419b3aa1fde","SOAP_004.tickPlot.tck","D17","SOAP","SOAP_004","distributed","evergreenForest",37.038478,-119.268390,"WGS84",20.1,1148.6,0.1,"logistical",,"2020-08-31T19:00Z","SOAP.2020.36",,,,,,,,,,"NEON.DOC.014045vK","0000-0001-7920-7757","COVID19"
"6244cd7a-adcd-4193-abd2-cfe4d53ba75f","SOAP_009.tickPlot.tck","D17","SOAP","SOAP_009","distributed","shrubScrub",37.038733,-119.257995,"WGS84",20.1,1081.2,0.1,"logistical",,"2020-08-31T19:00Z","SOAP.2020.36",,,,,,,,,,"NEON.DOC.014045vK","0000-0001-7920-7757","COVID19"
"e4106dd5-c1cd-4510-82cb-85d5e99406ff","SOAP_026.tickPlot.tck","D17","SOAP","SOAP_026","distributed","shrubScrub",37.029413,-119.271385,"WGS84",20.1,1261.9,0.1,"logistical",,"2020-08-31T19:00Z","SOAP.2020.36",,,,,,,,,,"NEON.DOC.014045vK","0000-0001-7920-7757","COVID19"
"59675148-3885-4623-89ee-49ddf12f9789","SOAP_003.tickPlot.tck","D17","SOAP","SOAP_003","distributed","evergreenForest",37.032990,-119.249667,"WGS84",20.1,1135.9,0.1,"logistical",,"2020-08-31T19:00Z","SOAP.2020.36",,,,,,,,,,"NEON.DOC.014045vK","0000-0001-7920-7757","COVID19"
"61744a07-2482-4871-bc5f-f0a955e0d5b0","SOAP_006.tickPlot.tck","D17","SOAP","SOAP_006","distributed","evergreenForest",37.024700,-119.283060,"WGS84",20.1,1313.7,0.1,"logistical",,"2020-08-31T19:00Z","SOAP.2020.36",,,,,,,,,,"NEON.DOC.014045vK","0000-0001-7920-7757","COVID19"
"f637c9be-3ce6-4b3f-bb61-5112e13626c2","SOAP_005.tickPlot.tck","D17","SOAP","SOAP_005","distributed","evergreenForest",37.031309,-119.264582,"WGS84",20.1,1199.7,0.1,"logistical",,"2020-08-31T19:00Z","SOAP.2020.36",,,,,,,,,,"NEON.DOC.014045vK","0000-0001-7920-7757","COVID19"
