uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"82663050-aa3f-4274-94e5-7e71d4affd4f","8fd7b734-c25e-44ee-8d07-6883e1a894e6","BART_015.mammalGrid.mam","D01","BART","BART_015","B6","distributed","mixedForest",44.042898,-71.275059,"WGS84",45.2,422.8,0.3,"1 - trap not set","ShermanLF","2022-05-31","2022-05-31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6618436a-fa75-4e88-9046-b1d91fb73f23"
"b9d313e7-ce96-4ab7-8a12-8a72b4e03727","a7c70a8b-9737-49e6-9534-85b3ac514b65","BART_012.mammalGrid.mam","D01","BART","BART_012","C2","distributed","deciduousForest",44.047478,-71.315451,"WGS84",45.3,579.9,0.4,"1 - trap not set","ShermanLF","2022-05-31","2022-05-31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15ef9d91-cf64-46be-9c87-4908e50e50f5"
"d43776d0-0bf4-4add-a62b-cc96ed6b7dd7","a7c70a8b-9737-49e6-9534-85b3ac514b65","BART_012.mammalGrid.mam","D01","BART","BART_012","J10","distributed","deciduousForest",44.047478,-71.315451,"WGS84",45.3,579.9,0.4,"1 - trap not set","ShermanLF","2022-05-31","2022-05-31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9990fdd3-5831-4b12-905b-4a330df07476"
"56d255aa-5d9f-40d9-aab1-85d8e389f370","a7c70a8b-9737-49e6-9534-85b3ac514b65","BART_012.mammalGrid.mam","D01","BART","BART_012","G6","distributed","deciduousForest",44.047478,-71.315451,"WGS84",45.3,579.9,0.4,"1 - trap not set","ShermanLF","2022-05-31","2022-05-31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"dc407127-e86a-4790-bb6a-c408603ca70d"
"d4689321-90e7-4855-8c71-2b6054c68988","a7c70a8b-9737-49e6-9534-85b3ac514b65","BART_012.mammalGrid.mam","D01","BART","BART_012","J4","distributed","deciduousForest",44.047478,-71.315451,"WGS84",45.3,579.9,0.4,"1 - trap not set","ShermanLF","2022-05-31","2022-05-31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5c7feab7-b0fa-49b2-943b-a854e6dc162e"
"61b69046-5393-4dc9-acf8-26f401e89a6e","662ed256-7577-48e0-b5a7-0f68d4fc8b3a","BART_062.mammalGrid.mam","D01","BART","BART_062","D2","distributed","deciduousForest",44.057350,-71.308646,"WGS84",45.1,447.2,0.2,"1 - trap not set","ShermanLF","2022-05-31","2022-05-31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-1541-5968","0000-0002-1541-5968",,,"b05d273d-748c-4377-8468-3b83f993caa3"
"0b6dc2f6-7d91-496e-9ee0-b6f994a7226b","662ed256-7577-48e0-b5a7-0f68d4fc8b3a","BART_062.mammalGrid.mam","D01","BART","BART_062","F5","distributed","deciduousForest",44.057350,-71.308646,"WGS84",45.1,447.2,0.2,"1 - trap not set","ShermanLF","2022-05-31","2022-05-31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-1541-5968","0000-0002-1541-5968",,,"13484b9e-4285-49f8-9fc1-eef271747cb7"
"36fa3b88-1450-41aa-9710-06f6eaa24bc6","662ed256-7577-48e0-b5a7-0f68d4fc8b3a","BART_062.mammalGrid.mam","D01","BART","BART_062","E9","distributed","deciduousForest",44.057350,-71.308646,"WGS84",45.1,447.2,0.2,"1 - trap not set","ShermanLF","2022-05-31","2022-05-31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-1541-5968","0000-0002-1541-5968",,,"0b634f0c-2a45-449a-a8be-8db5202db663"
"5a9a81e1-807b-492a-8b30-52f96d1cc516","a7c70a8b-9737-49e6-9534-85b3ac514b65","BART_012.mammalGrid.mam","D01","BART","BART_012","A8","distributed","deciduousForest",44.047478,-71.315451,"WGS84",45.3,579.9,0.4,"1 - trap not set","ShermanLF","2022-05-31","2022-05-31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"616022ec-e615-408c-9d77-6844a736d24d"
"77b1259e-6842-49a1-a84a-23c1e3de1a89","662ed256-7577-48e0-b5a7-0f68d4fc8b3a","BART_062.mammalGrid.mam","D01","BART","BART_062","F1","distributed","deciduousForest",44.057350,-71.308646,"WGS84",45.1,447.2,0.2,"1 - trap not set","ShermanLF","2022-05-31","2022-05-31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-1541-5968","0000-0002-1541-5968",,,"5815c7bb-df72-4075-b54d-02a08836b037"
