uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"b7db38ac-26c6-4ccd-b890-6854e944b223","8e85ac64-3cfd-4101-8050-897e5e887d6f","ONAQ_004.mammalGrid.mam","D15","ONAQ","ONAQ_004","H2","distributed","shrubScrub",40.186515,-112.474083,"WGS84",45.1,1718.1,0.1,"6 - trap set and empty","ShermanXLK","2021-09-07","2021-09-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-5333-6523","0000-0003-1904-3337",,,"c936207c-c0bf-4cba-a840-239cda835227"
"72bf2e58-9713-4cc6-ae36-172b7c3f70c7","f2f0f1cb-e6fa-498b-b20f-af8170ea687a","ONAQ_019.mammalGrid.mam","D15","ONAQ","ONAQ_019","H4","distributed","shrubScrub",40.174342,-112.480716,"WGS84",45.1,1724.4,0.1,"6 - trap set and empty","ShermanXLK","2021-09-07","2021-09-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-1768-4424","0000-0002-2110-6248",,,"8d534199-d557-4a99-b365-b9df4d442f3f"
"3edf8a06-29b4-4849-a83f-23a0473c337d","f2f0f1cb-e6fa-498b-b20f-af8170ea687a","ONAQ_019.mammalGrid.mam","D15","ONAQ","ONAQ_019","H10","distributed","shrubScrub",40.174342,-112.480716,"WGS84",45.1,1724.4,0.1,"6 - trap set and empty","ShermanXLK","2021-09-07","2021-09-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-1768-4424","0000-0002-2110-6248",,,"00fc2559-c8e4-43e4-b1f7-dd59f65fe25c"
"3bc1d8f0-c82a-43f1-a6d8-0aa431692932","8e85ac64-3cfd-4101-8050-897e5e887d6f","ONAQ_004.mammalGrid.mam","D15","ONAQ","ONAQ_004","D8","distributed","shrubScrub",40.186515,-112.474083,"WGS84",45.1,1718.1,0.1,"6 - trap set and empty","ShermanXLK","2021-09-07","2021-09-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-5333-6523","0000-0003-1904-3337",,,"7417b430-93f7-4b67-bf98-58bf47a0ee90"
"bab4c09e-1e28-4c2c-aa41-78869de47cd2","f2f0f1cb-e6fa-498b-b20f-af8170ea687a","ONAQ_019.mammalGrid.mam","D15","ONAQ","ONAQ_019","G9","distributed","shrubScrub",40.174342,-112.480716,"WGS84",45.1,1724.4,0.1,"6 - trap set and empty","ShermanXLK","2021-09-07","2021-09-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-1768-4424","0000-0002-2110-6248",,,"8c31cfcd-e04e-445f-a4aa-e9c23740acdd"
"66e02376-4b5f-49dd-975d-119a97a31acc","8e85ac64-3cfd-4101-8050-897e5e887d6f","ONAQ_004.mammalGrid.mam","D15","ONAQ","ONAQ_004","I9","distributed","shrubScrub",40.186515,-112.474083,"WGS84",45.1,1718.1,0.1,"6 - trap set and empty","ShermanXLK","2021-09-07","2021-09-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-5333-6523","0000-0003-1904-3337",,,"2b151ae2-8684-4c9b-b3a0-1c7b697e9d1e"
"d941bb79-0764-4223-b834-291245013e10","8e85ac64-3cfd-4101-8050-897e5e887d6f","ONAQ_004.mammalGrid.mam","D15","ONAQ","ONAQ_004","F9","distributed","shrubScrub",40.186515,-112.474083,"WGS84",45.1,1718.1,0.1,"6 - trap set and empty","ShermanXLK","2021-09-07","2021-09-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-5333-6523","0000-0003-1904-3337",,,"e23d18b5-d6ee-4fc7-87a1-284bb02295df"
"7af5e5fe-767e-499e-99b9-65c8abb6241a","f2f0f1cb-e6fa-498b-b20f-af8170ea687a","ONAQ_019.mammalGrid.mam","D15","ONAQ","ONAQ_019","D10","distributed","shrubScrub",40.174342,-112.480716,"WGS84",45.1,1724.4,0.1,"6 - trap set and empty","ShermanXLK","2021-09-07","2021-09-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-1768-4424","0000-0002-2110-6248",,,"540fc187-817e-489a-8620-2c50eb9d99d8"
"b4fe0e15-efa0-487f-b46e-8c7cef7588cb","8e85ac64-3cfd-4101-8050-897e5e887d6f","ONAQ_004.mammalGrid.mam","D15","ONAQ","ONAQ_004","B2","distributed","shrubScrub",40.186515,-112.474083,"WGS84",45.1,1718.1,0.1,"6 - trap set and empty","ShermanXLK","2021-09-07","2021-09-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-5333-6523","0000-0003-1904-3337",,,"fd3c33d6-e653-4a07-b81e-d4d62e5e3a65"
"1a8e38e7-be37-4b71-930d-e4f1c4b15408","f2f0f1cb-e6fa-498b-b20f-af8170ea687a","ONAQ_019.mammalGrid.mam","D15","ONAQ","ONAQ_019","J10","distributed","shrubScrub",40.174342,-112.480716,"WGS84",45.1,1724.4,0.1,"6 - trap set and empty","ShermanXLK","2021-09-07","2021-09-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-1768-4424","0000-0002-2110-6248",,,"e8fead04-7865-4466-af7c-3bb9987c92af"
"f220ad61-fdd8-4ff6-b9a8-ad571ef769e5","8e85ac64-3cfd-4101-8050-897e5e887d6f","ONAQ_004.mammalGrid.mam","D15","ONAQ","ONAQ_004","B1","distributed","shrubScrub",40.186515,-112.474083,"WGS84",45.1,1718.1,0.1,"6 - trap set and empty","ShermanXLK","2021-09-07","2021-09-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-5333-6523","0000-0003-1904-3337",,,"e610e250-a754-4516-9c87-64b3dc97e8a6"
"efe7b07f-4506-4650-8192-2558abef5a3e","8e85ac64-3cfd-4101-8050-897e5e887d6f","ONAQ_004.mammalGrid.mam","D15","ONAQ","ONAQ_004","D6","distributed","shrubScrub",40.186515,-112.474083,"WGS84",45.1,1718.1,0.1,"6 - trap set and empty","ShermanXLK","2021-09-07","2021-09-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-5333-6523","0000-0003-1904-3337",,,"ae69bd84-8adc-42c7-b61a-b6b42c350b3e"
"3aaea6f1-92ae-4f37-89fc-617eb074a305","4363b40f-8321-4337-a29b-da320ab426ee","ONAQ_023.mammalGrid.mam","D15","ONAQ","ONAQ_023","A9","distributed","evergreenForest",40.195079,-112.504944,"WGS84",45.1,1881.2,0.1,"5 - capture","ShermanXLK","2021-09-07","2021-09-07","NEON.MAM.D15.279452",,"PEPA","Perognathus parvus","species",,,,,"N","M","Y","processed",,"adult","nonscrotal",,,,24,6,98,,18,"N","N","N",,,,,,,"ONAQ.20210907.279452.F","D00000066234","fresh",,,"ONAQ.20210907.279452.H","A00000284143","hairAndWhisker",,,"0000-0002-5333-6523","0000-0003-1904-3337",,,"1db3e508-7732-4897-a8ee-e4c777433cf5"
"ebea1c2f-7eb6-4cd3-8007-edfc9e05cb32","f2f0f1cb-e6fa-498b-b20f-af8170ea687a","ONAQ_019.mammalGrid.mam","D15","ONAQ","ONAQ_019","I2","distributed","shrubScrub",40.174342,-112.480716,"WGS84",45.1,1724.4,0.1,"6 - trap set and empty","ShermanXLK","2021-09-07","2021-09-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-1768-4424","0000-0002-2110-6248",,,"df2b6eb7-b599-4069-a9a9-63a3201a2866"
"20a912a6-0770-4e52-88fd-2c18024e0947","4363b40f-8321-4337-a29b-da320ab426ee","ONAQ_023.mammalGrid.mam","D15","ONAQ","ONAQ_023","F6","distributed","evergreenForest",40.195079,-112.504944,"WGS84",45.1,1881.2,0.1,"5 - capture","ShermanXLK","2021-09-07","2021-09-07","NEON.MAM.D15.O023F620210907",,"PEPA","Perognathus parvus","species",,,,,"N","M","N","processed",,"adult","nonscrotal",,,,24,6,96,,,"N","N","N",,,,,,,"ONAQ.20210907.O023F620210907.F","D00000065736","fresh","ONAQ.20210907.O023F620210907.E","D00000065931","ONAQ.20210907.O023F620210907.H","A00000116243","hairAndWhisker",,,"0000-0002-5333-6523","0000-0003-1904-3337",,,"ab0a9d82-08c9-464d-96c8-3555dad97054"
