uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"b8f5b6fc-d233-4054-a610-8141dafb5179","53c4a347-85f1-4424-844b-635758c67997","BONA_033.mammalGrid.mam","D19","BONA","BONA_033","D3","distributed","deciduousForest",65.154780,-147.521723,"WGS84",45.2,285.4,0.2,"6 - trap set and empty","ShermanLF","2022-06-28","2022-06-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-0036-730X","0000-0002-0036-730X",,,"714c38b9-93c3-4dfb-90ef-1b479a3f19a2"
"1c8d91c3-b8be-4994-bb78-bfc0f2bc7798","ea693da4-9902-4fe9-a12d-aa6f77aee137","BONA_002.mammalGrid.mam","D19","BONA","BONA_002","E7","distributed","deciduousForest",65.163195,-147.530268,"WGS84",45.2,473.0,0.2,"6 - trap set and empty","ShermanLF","2022-06-28","2022-06-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-6848-5353","0000-0002-0036-730X",,,"ed98b192-f110-4035-a7ad-83f0912bf7ad"
"a9b538be-7faa-4a50-83de-cb5e6173babc","fdbc746c-d865-4f77-8a52-91a40b7b6eeb","BONA_014.mammalGrid.mam","D19","BONA","BONA_014","G10","distributed","deciduousForest",65.174979,-147.463042,"WGS84",45.2,279.0,0.2,"6 - trap set and empty","ShermanLF","2022-06-28","2022-06-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-5565-5640","0000-0002-0036-730X",,,"5b4408d4-5c8b-4b10-9503-5d4a14067554"
"58e53bf6-0f2e-4fa7-b745-1cc796056a9d","53c4a347-85f1-4424-844b-635758c67997","BONA_033.mammalGrid.mam","D19","BONA","BONA_033","F8","distributed","deciduousForest",65.154780,-147.521723,"WGS84",45.2,285.4,0.2,"6 - trap set and empty","ShermanLF","2022-06-28","2022-06-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-0036-730X","0000-0002-0036-730X",,,"a28e7d39-7ab3-4d24-a444-ec8373f22ba2"
"2f7df375-7020-4fb8-9237-9ed18f769e5e","ea693da4-9902-4fe9-a12d-aa6f77aee137","BONA_002.mammalGrid.mam","D19","BONA","BONA_002","I7","distributed","deciduousForest",65.163195,-147.530268,"WGS84",45.2,473.0,0.2,"6 - trap set and empty","ShermanLF","2022-06-28","2022-06-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-6848-5353","0000-0002-0036-730X",,,"8e848ced-92ae-4fce-92dc-617189a9b690"
"74587c7b-18bd-48d7-9c84-c80b5b5c9be9","fdbc746c-d865-4f77-8a52-91a40b7b6eeb","BONA_014.mammalGrid.mam","D19","BONA","BONA_014","F6","distributed","deciduousForest",65.174979,-147.463042,"WGS84",45.2,279.0,0.2,"6 - trap set and empty","ShermanLF","2022-06-28","2022-06-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-5565-5640","0000-0002-0036-730X",,,"c1916518-b43a-4007-859d-5a1c241fc460"
"48858421-1c6d-4639-818f-219c5c257c05","fdbc746c-d865-4f77-8a52-91a40b7b6eeb","BONA_014.mammalGrid.mam","D19","BONA","BONA_014","C2","distributed","deciduousForest",65.174979,-147.463042,"WGS84",45.2,279.0,0.2,"6 - trap set and empty","ShermanLF","2022-06-28","2022-06-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-5565-5640","0000-0002-0036-730X",,,"d31fae32-1c07-4ece-9aca-97d903ef0bb1"
"34fff32c-e563-4d16-b817-a0c438d773a0","53c4a347-85f1-4424-844b-635758c67997","BONA_033.mammalGrid.mam","D19","BONA","BONA_033","G6","distributed","deciduousForest",65.154780,-147.521723,"WGS84",45.2,285.4,0.2,"6 - trap set and empty","ShermanLF","2022-06-28","2022-06-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-0036-730X","0000-0002-0036-730X",,,"0fd75009-79e5-487f-94c4-76c578b15a7c"
"a9f47c56-6758-4ad5-bc1d-717b4abacf34","fdbc746c-d865-4f77-8a52-91a40b7b6eeb","BONA_014.mammalGrid.mam","D19","BONA","BONA_014","J1","distributed","deciduousForest",65.174979,-147.463042,"WGS84",45.2,279.0,0.2,"6 - trap set and empty","ShermanLF","2022-06-28","2022-06-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-5565-5640","0000-0002-0036-730X",,,"2ac7a81d-176c-450d-a7a2-c3a4961200bf"
"ec5bffd8-934b-468e-8e49-73db9c9a44b5","ea693da4-9902-4fe9-a12d-aa6f77aee137","BONA_002.mammalGrid.mam","D19","BONA","BONA_002","E2","distributed","deciduousForest",65.163195,-147.530268,"WGS84",45.2,473.0,0.2,"6 - trap set and empty","ShermanLF","2022-06-28","2022-06-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-6848-5353","0000-0002-0036-730X",,,"0e292bfd-2f0f-45e9-8725-c255e9ceabe5"
