uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"bbba508e-16b6-4802-b1ae-6818af9c27f5","YELL_005.tickPlot.tck","D12","YELL","YELL_005","distributed","shrubScrub",44.948632,-110.629513,"WGS84",20.1,2076.1,0.1,"location wet",,"2022-05-03T18:00Z","YELL.2022.18",,,,,,,,,,"NEON.DOC.014045vL","0000-0001-7752-1312",
"f0f58da8-4185-4dcc-9bf2-da82213a856e","YELL_009.tickPlot.tck","D12","YELL","YELL_009","distributed","evergreenForest",44.972216,-110.504156,"WGS84",20.1,2018.9,0.2,"location wet",,"2022-05-03T18:00Z","YELL.2022.18",,,,,,,,,,"NEON.DOC.014045vL","0000-0001-7752-1312",
"51cae292-ea02-4ed0-ad42-bdcdf7553349","YELL_004.tickPlot.tck","D12","YELL","YELL_004","distributed","shrubScrub",44.961910,-110.594615,"WGS84",20.0,1994.4,0.0,"location wet",,"2022-05-03T18:00Z","YELL.2022.18",,,,,,,,,,"NEON.DOC.014045vL","0000-0001-7752-1312",
"16129aa2-e148-40cb-b71f-af623c5723d6","YELL_012.tickPlot.tck","D12","YELL","YELL_012","distributed","evergreenForest",44.943200,-110.433745,"WGS84",20.1,1896.2,0.2,"location wet",,"2022-05-03T18:00Z","YELL.2022.18",,,,,,,,,,"NEON.DOC.014045vL","0000-0001-7752-1312",
"65e26634-6f3c-4528-9ff8-1c641a9e9bc0","YELL_003.tickPlot.tck","D12","YELL","YELL_003","distributed","shrubScrub",44.956055,-110.533849,"WGS84",20.1,2115.2,0.1,"location wet",,"2022-05-03T18:00Z","YELL.2022.18",,,,,,,,,,"NEON.DOC.014045vL","0000-0001-7752-1312",
"2d1aa601-79c1-40c6-b8a0-d93d9a665f3b","YELL_002.tickPlot.tck","D12","YELL","YELL_002","distributed","shrubScrub",44.932413,-110.633006,"WGS84",20.0,2097.4,0.0,"location wet",,"2022-05-03T18:00Z","YELL.2022.18",,,,,,,,,,"NEON.DOC.014045vL","0000-0001-7752-1312",
"4b9418a3-f461-4c32-89c3-5a84c6294285","YELL_012.tickPlot.tck","D12","YELL","YELL_012","distributed","evergreenForest",44.943200,-110.433745,"WGS84",20.1,1896.2,0.2,"logistical",,"2022-05-24T18:00Z","YELL.2022.21",,,,,,,,,,"NEON.DOC.014045vL","0000-0001-7752-1312","Staffing"
"00c1c35c-70e4-4da0-9793-7c4c780c2110","YELL_005.tickPlot.tck","D12","YELL","YELL_005","distributed","shrubScrub",44.948632,-110.629513,"WGS84",20.1,2076.1,0.1,"logistical",,"2022-05-24T18:00Z","YELL.2022.21",,,,,,,,,,"NEON.DOC.014045vL","0000-0001-7752-1312","Staffing"
"4326a9c6-c80e-4e70-a1f2-cab7b72f2a2c","YELL_003.tickPlot.tck","D12","YELL","YELL_003","distributed","shrubScrub",44.956055,-110.533849,"WGS84",20.1,2115.2,0.1,"logistical",,"2022-05-24T18:00Z","YELL.2022.21",,,,,,,,,,"NEON.DOC.014045vL","0000-0001-7752-1312","Staffing"
"913736a9-b851-4f5a-9a0e-eaac61abe4f9","YELL_002.tickPlot.tck","D12","YELL","YELL_002","distributed","shrubScrub",44.932413,-110.633006,"WGS84",20.0,2097.4,0.0,"logistical",,"2022-05-24T18:00Z","YELL.2022.21",,,,,,,,,,"NEON.DOC.014045vL","0000-0001-7752-1312","Staffing"
"e040003e-21fa-4b7d-b316-cda54eefef24","YELL_009.tickPlot.tck","D12","YELL","YELL_009","distributed","evergreenForest",44.972216,-110.504156,"WGS84",20.1,2018.9,0.2,"logistical",,"2022-05-24T18:00Z","YELL.2022.21",,,,,,,,,,"NEON.DOC.014045vL","0000-0001-7752-1312","Staffing"
"d236ed00-a0a0-49a9-9446-2b382be25721","YELL_004.tickPlot.tck","D12","YELL","YELL_004","distributed","shrubScrub",44.961910,-110.594615,"WGS84",20.0,1994.4,0.0,"logistical",,"2022-05-24T18:00Z","YELL.2022.21",,,,,,,,,,"NEON.DOC.014045vL","0000-0001-7752-1312","Staffing"
