uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"614a31bb-0b5c-48aa-b6fe-e4f05ad32444","KONZ_002.tickPlot.tck","D06","KONZ","KONZ_002","distributed","grasslandHerbaceous",39.118977,-96.547145,"WGS84",20.2,394.4,0.2,"OK",,"2020-08-10T13:37Z","KONZ.2020.33","KONZ_002.20200810","B00000083885","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vK","0000-0003-2918-8281",
"82dd9d52-0f38-402d-a872-0aae92b93480","KONZ_004.tickPlot.tck","D06","KONZ","KONZ_004","distributed","grasslandHerbaceous",39.109647,-96.551369,"WGS84",20.1,371.2,0.2,"OK",,"2020-08-10T14:31Z","KONZ.2020.33",,,"drag",160,"N",,,,,"NEON.DOC.014045vK","0000-0003-2918-8281",
"b82709b1-6629-4bd3-9271-7f89eae33db4","KONZ_007.tickPlot.tck","D06","KONZ","KONZ_007","distributed","grasslandHerbaceous",39.087937,-96.545918,"WGS84",20.2,433.4,0.3,"OK",,"2020-08-10T15:08Z","KONZ.2020.33","KONZ_007.20200810","A00000208732","drag",160,"Y",,,,"No known compromise","NEON.DOC.014045vK","0000-0003-2918-8281",
"7548146c-6ffc-4770-b65c-0554396db829","KONZ_001.tickPlot.tck","D06","KONZ","KONZ_001","distributed","grasslandHerbaceous",39.074113,-96.557106,"WGS84",20.1,423.7,0.2,"OK",,"2020-08-10T15:53Z","KONZ.2020.33",,,"drag",160,"N",,,,,"NEON.DOC.014045vK","0000-0003-2918-8281",
"080e39f6-bbd4-467a-b054-6d1b3de2efde","KONZ_025.tickPlot.tck","D06","KONZ","KONZ_025","distributed","deciduousForest",39.103714,-96.597835,"WGS84",20.3,337.3,0.3,"OK",,"2020-08-10T16:41Z","KONZ.2020.33","KONZ_025.20200810","A00000208682","drag",160,"Y",,,,"No known compromise","NEON.DOC.014045vK","0000-0003-2918-8281",
"53575edc-ade9-4c68-a951-1efbe8f3915a","KONZ_009.tickPlot.tck","D06","KONZ","KONZ_009","distributed","grasslandHerbaceous",39.107902,-96.584437,"WGS84",20.2,391.2,0.2,"OK",,"2020-08-10T18:46Z","KONZ.2020.33",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vK","0000-0003-2918-8281",
"c4da3532-7271-4950-8a5a-c6a0eebed61c","KONZ_002.tickPlot.tck","D06","KONZ","KONZ_002","distributed","grasslandHerbaceous",39.118977,-96.547145,"WGS84",20.2,394.4,0.2,"OK",,"2020-08-31T16:49Z","KONZ.2020.36",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-3172-0145",
"5c328b2f-8d8f-4bea-9aad-7ed21f6a4852","KONZ_004.tickPlot.tck","D06","KONZ","KONZ_004","distributed","grasslandHerbaceous",39.109647,-96.551369,"WGS84",20.1,371.2,0.2,"OK",,"2020-08-31T17:43Z","KONZ.2020.36",,,"drag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-3172-0145",
"34a5bc29-73a3-444d-99d5-09b7e9a8b383","KONZ_007.tickPlot.tck","D06","KONZ","KONZ_007","distributed","grasslandHerbaceous",39.087937,-96.545918,"WGS84",20.2,433.4,0.3,"OK",,"2020-08-31T18:30Z","KONZ.2020.36",,,"drag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-3172-0145",
"cfb558a4-cbad-4f45-8d59-776d9444bcbd","KONZ_001.tickPlot.tck","D06","KONZ","KONZ_001","distributed","grasslandHerbaceous",39.074113,-96.557106,"WGS84",20.1,423.7,0.2,"OK",,"2020-08-31T19:01Z","KONZ.2020.36",,,"drag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-3172-0145",
"0b2fc479-b4d7-40bc-ab8e-2fb6a7a849c5","KONZ_009.tickPlot.tck","D06","KONZ","KONZ_009","distributed","grasslandHerbaceous",39.107902,-96.584437,"WGS84",20.2,391.2,0.2,"OK",,"2020-08-31T20:04Z","KONZ.2020.36",,,"drag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-3172-0145",
"25aeb71d-3491-4fe1-baf4-592e8c5dd441","KONZ_025.tickPlot.tck","D06","KONZ","KONZ_025","distributed","deciduousForest",39.103714,-96.597835,"WGS84",20.3,337.3,0.3,"OK",,"2020-08-31T20:48Z","KONZ.2020.36","KONZ_025.20200831","B00000083884","drag",160,"Y",,,,"No known compromise","NEON.DOC.014045vK","0000-0002-3172-0145",
