uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"76f5b8cf-e2cd-490a-b3b6-adb08472595c","7e7bba2e-dc59-49da-89c9-3660a9e58454","UNDE_008.mammalGrid.mam","D05","UNDE","UNDE_008","A1","distributed","mixedForest",46.255793,-89.513196,"WGS84",45.1,511.6,0.2,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5b7ff1ec-14e6-46cf-adc5-c67546d4c249"
"2fccf6d7-d332-4721-bdd2-e9b5fe26d488","7e7bba2e-dc59-49da-89c9-3660a9e58454","UNDE_008.mammalGrid.mam","D05","UNDE","UNDE_008","E9","distributed","mixedForest",46.255793,-89.513196,"WGS84",45.1,511.6,0.2,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1b257e2b-a63a-4b15-8fcb-edeb4c8f4459"
"b62b5775-e2ee-4bef-9472-27502a49efa3","9e9ab600-2f97-44b8-b0b5-2553312f9bee","UNDE_002.mammalGrid.mam","D05","UNDE","UNDE_002","F6","distributed","woodyWetlands",46.244297,-89.543943,"WGS84",45.1,504.3,0.2,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"058cd038-1b38-4487-bb96-460e7955bc8a"
"e4ee7edb-7450-48b5-893c-77cba0e596f8","13896eab-bebe-4b18-9ec1-d5e5060266e5","UNDE_001.mammalGrid.mam","D05","UNDE","UNDE_001","D2","distributed","deciduousForest",46.235415,-89.559203,"WGS84",45.2,538.4,0.3,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9a81566c-9064-49fb-bba6-a674ac1e6dff"
"9c30c806-797a-401a-9386-21635c004c6f","7e7bba2e-dc59-49da-89c9-3660a9e58454","UNDE_008.mammalGrid.mam","D05","UNDE","UNDE_008","G1","distributed","mixedForest",46.255793,-89.513196,"WGS84",45.1,511.6,0.2,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"820b9a1c-5692-4d3d-abac-1baa8ac1222c"
"7ddfb938-e06c-4a2d-8a73-872dc1bbdccb","57791422-af38-4209-86c1-d27ff2b736dc","UNDE_003.mammalGrid.mam","D05","UNDE","UNDE_003","F4","distributed","woodyWetlands",46.255040,-89.535332,"WGS84",45.2,505.1,0.3,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2169452d-e32e-41d3-9401-fe822641a86f"
"05e1e365-aa49-4495-9a5e-02d8e9680f42","9e9ab600-2f97-44b8-b0b5-2553312f9bee","UNDE_002.mammalGrid.mam","D05","UNDE","UNDE_002","H9","distributed","woodyWetlands",46.244297,-89.543943,"WGS84",45.1,504.3,0.2,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76210695-e303-4263-b910-c8dbf84a3fa2"
"28570847-050f-4617-bfe1-6a98ec792a2c","13896eab-bebe-4b18-9ec1-d5e5060266e5","UNDE_001.mammalGrid.mam","D05","UNDE","UNDE_001","D6","distributed","deciduousForest",46.235415,-89.559203,"WGS84",45.2,538.4,0.3,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"f0f84207-6a66-4c16-a7b5-2171297d8967"
"6d9acf96-d6e1-4bc7-b79a-5c9293d1eb6f","7e7bba2e-dc59-49da-89c9-3660a9e58454","UNDE_008.mammalGrid.mam","D05","UNDE","UNDE_008","A10","distributed","mixedForest",46.255793,-89.513196,"WGS84",45.1,511.6,0.2,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8652d2d9-2ac2-4e96-b0ed-5865fd391db3"
"cce5a834-abc7-4063-aa89-a937f338d9fd","7e7bba2e-dc59-49da-89c9-3660a9e58454","UNDE_008.mammalGrid.mam","D05","UNDE","UNDE_008","B6","distributed","mixedForest",46.255793,-89.513196,"WGS84",45.1,511.6,0.2,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30f6cf66-3b38-4c36-a63d-8a92e2fe1c5d"
"c6cd9388-6d0d-4ec1-b41a-058db6928b8f","7e7bba2e-dc59-49da-89c9-3660a9e58454","UNDE_008.mammalGrid.mam","D05","UNDE","UNDE_008","B7","distributed","mixedForest",46.255793,-89.513196,"WGS84",45.1,511.6,0.2,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15f6749f-2ca7-4294-a2e1-823b8574a37e"
"e9d120d7-61e2-4d2a-ba61-4fd2139ed71d","7e7bba2e-dc59-49da-89c9-3660a9e58454","UNDE_008.mammalGrid.mam","D05","UNDE","UNDE_008","F8","distributed","mixedForest",46.255793,-89.513196,"WGS84",45.1,511.6,0.2,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65782e81-c1ca-4a9b-ade1-4d190fae54ee"
"e7997194-559d-46a3-ba86-2447564c2092","57791422-af38-4209-86c1-d27ff2b736dc","UNDE_003.mammalGrid.mam","D05","UNDE","UNDE_003","I2","distributed","woodyWetlands",46.255040,-89.535332,"WGS84",45.2,505.1,0.3,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"202679c8-664d-4fbb-8038-8fae1956712d"
"5d3ae301-37f7-435a-932f-fce642a277d6","7e7bba2e-dc59-49da-89c9-3660a9e58454","UNDE_008.mammalGrid.mam","D05","UNDE","UNDE_008","C10","distributed","mixedForest",46.255793,-89.513196,"WGS84",45.1,511.6,0.2,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bf2d13af-fe68-47e4-80e7-85be86732921"
"520deb6b-6082-4231-b9c9-14bb5cb863a2","57791422-af38-4209-86c1-d27ff2b736dc","UNDE_003.mammalGrid.mam","D05","UNDE","UNDE_003","B4","distributed","woodyWetlands",46.255040,-89.535332,"WGS84",45.2,505.1,0.3,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0eac484c-bd86-496a-a475-6472a0367fda"
"58c0c4bf-1012-49f0-810f-3c79be9ff6e9","7e7bba2e-dc59-49da-89c9-3660a9e58454","UNDE_008.mammalGrid.mam","D05","UNDE","UNDE_008","C5","distributed","mixedForest",46.255793,-89.513196,"WGS84",45.1,511.6,0.2,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9f993651-0908-4494-aaca-eaf54530d8fb"
"07f29022-df72-45df-8579-59506ead00de","13896eab-bebe-4b18-9ec1-d5e5060266e5","UNDE_001.mammalGrid.mam","D05","UNDE","UNDE_001","D8","distributed","deciduousForest",46.235415,-89.559203,"WGS84",45.2,538.4,0.3,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ce981a1d-52b8-44d2-a300-7707a0b7ea8d"
"60e1f4b8-afa0-4838-ac6d-1cbcf34bb9ee","9e9ab600-2f97-44b8-b0b5-2553312f9bee","UNDE_002.mammalGrid.mam","D05","UNDE","UNDE_002","G3","distributed","woodyWetlands",46.244297,-89.543943,"WGS84",45.1,504.3,0.2,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"c230d8c4-9295-415d-aadb-f72f3e596d0d"
"48f4c28d-921c-440a-bfbf-808a8e997e60","7e7bba2e-dc59-49da-89c9-3660a9e58454","UNDE_008.mammalGrid.mam","D05","UNDE","UNDE_008","E2","distributed","mixedForest",46.255793,-89.513196,"WGS84",45.1,511.6,0.2,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32a63cf1-ce86-4c5b-9305-f6512d32a7ea"
"25c2a06b-f146-440f-a909-8b77b6dee65b","57791422-af38-4209-86c1-d27ff2b736dc","UNDE_003.mammalGrid.mam","D05","UNDE","UNDE_003","C10","distributed","woodyWetlands",46.255040,-89.535332,"WGS84",45.2,505.1,0.3,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"b856ef9f-2bc4-4323-9223-f99282c168e5"
"92b90605-022d-40e6-9692-33a68ff2c905","9e9ab600-2f97-44b8-b0b5-2553312f9bee","UNDE_002.mammalGrid.mam","D05","UNDE","UNDE_002","E8","distributed","woodyWetlands",46.244297,-89.543943,"WGS84",45.1,504.3,0.2,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05119187-5337-4e43-b3e7-da475eb62dad"
"0a75dc7e-4ee8-4ea8-928d-b01c99e07caf","9e9ab600-2f97-44b8-b0b5-2553312f9bee","UNDE_002.mammalGrid.mam","D05","UNDE","UNDE_002","G4","distributed","woodyWetlands",46.244297,-89.543943,"WGS84",45.1,504.3,0.2,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"937fe4b7-08b2-4270-b870-371ad1b46e59"
"f7ba6827-18d1-4e05-8a5a-d439cb926d3d","7e7bba2e-dc59-49da-89c9-3660a9e58454","UNDE_008.mammalGrid.mam","D05","UNDE","UNDE_008","F4","distributed","mixedForest",46.255793,-89.513196,"WGS84",45.1,511.6,0.2,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98ac1727-206f-4636-a48d-cbb13dd7afda"
"5502bd63-8b9d-4ac4-96cf-a2cf5d8e82d1","9e9ab600-2f97-44b8-b0b5-2553312f9bee","UNDE_002.mammalGrid.mam","D05","UNDE","UNDE_002","D1","distributed","woodyWetlands",46.244297,-89.543943,"WGS84",45.1,504.3,0.2,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71c57fd5-17fe-42a9-a283-989a14487708"
"d43089bd-7bda-4acf-a87f-65467f9cad4a","13896eab-bebe-4b18-9ec1-d5e5060266e5","UNDE_001.mammalGrid.mam","D05","UNDE","UNDE_001","F6","distributed","deciduousForest",46.235415,-89.559203,"WGS84",45.2,538.4,0.3,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2d8028da-5e32-4094-a431-f291e4b40ae6"
"7abd32ca-fd2b-47c6-8a1a-5fee83ef7027","9e9ab600-2f97-44b8-b0b5-2553312f9bee","UNDE_002.mammalGrid.mam","D05","UNDE","UNDE_002","I7","distributed","woodyWetlands",46.244297,-89.543943,"WGS84",45.1,504.3,0.2,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"707f404a-ee10-4832-852c-807e62641278"
"559a89fa-4404-479d-b1d4-f39a1676244a","9e9ab600-2f97-44b8-b0b5-2553312f9bee","UNDE_002.mammalGrid.mam","D05","UNDE","UNDE_002","G8","distributed","woodyWetlands",46.244297,-89.543943,"WGS84",45.1,504.3,0.2,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9991bff5-577c-4288-9cfe-0cafbce8083a"
"74a1622d-c271-40da-9c96-7bb0c5ca2657","13896eab-bebe-4b18-9ec1-d5e5060266e5","UNDE_001.mammalGrid.mam","D05","UNDE","UNDE_001","E1","distributed","deciduousForest",46.235415,-89.559203,"WGS84",45.2,538.4,0.3,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8ff7de82-9077-4dc5-b4f0-28daa3a1fb5d"
"ac9d4e57-e9e7-48e9-aa30-7bbbe9d27038","13896eab-bebe-4b18-9ec1-d5e5060266e5","UNDE_001.mammalGrid.mam","D05","UNDE","UNDE_001","D4","distributed","deciduousForest",46.235415,-89.559203,"WGS84",45.2,538.4,0.3,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2375e16f-5bcb-4382-8687-0793340caa17"
"d8d862ef-667d-46a3-8518-fc34c7e3bcc0","13896eab-bebe-4b18-9ec1-d5e5060266e5","UNDE_001.mammalGrid.mam","D05","UNDE","UNDE_001","B2","distributed","deciduousForest",46.235415,-89.559203,"WGS84",45.2,538.4,0.3,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"db8b7ddf-4e0d-4ef4-8595-8c4078d10ca4"
"81be4880-90af-4d5d-8124-83937a4eca4f","57791422-af38-4209-86c1-d27ff2b736dc","UNDE_003.mammalGrid.mam","D05","UNDE","UNDE_003","G2","distributed","woodyWetlands",46.255040,-89.535332,"WGS84",45.2,505.1,0.3,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"f8a4b210-2300-4ed4-92ef-6e839a3b009d"
"b700df79-0b1b-45e3-a025-27171d5956f3","57791422-af38-4209-86c1-d27ff2b736dc","UNDE_003.mammalGrid.mam","D05","UNDE","UNDE_003","I1","distributed","woodyWetlands",46.255040,-89.535332,"WGS84",45.2,505.1,0.3,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fe93ce0f-b57a-4723-ae61-a68c15b95efc"
"3b9532b4-104c-4c61-aa23-15681c12fb0a","57791422-af38-4209-86c1-d27ff2b736dc","UNDE_003.mammalGrid.mam","D05","UNDE","UNDE_003","F9","distributed","woodyWetlands",46.255040,-89.535332,"WGS84",45.2,505.1,0.3,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ae3e084d-193d-49bd-a292-aadd48c3e158"
"40787b04-38bf-4881-9474-e834b02b6253","9e9ab600-2f97-44b8-b0b5-2553312f9bee","UNDE_002.mammalGrid.mam","D05","UNDE","UNDE_002","D4","distributed","woodyWetlands",46.244297,-89.543943,"WGS84",45.1,504.3,0.2,"1 - trap not set","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26186646-e17b-48bb-bb77-cfd9d3179e8d"
