uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"c841ef23-db3e-4c29-96c0-5aabf6e367de","KONA_003.tickPlot.tck","D06","KONA","KONA_003","distributed","cultivatedCrops",39.214274,-96.600435,"WGS84",20.1,329.1,0.1,"OK","OK - no known exceptions","2024-08-05T12:53Z","KONA.2024.32",,,"drag and flag",165,"N",,,,,"NEON.DOC.014045vL","0009-0002-9890-216X",
"9678d2be-411c-4c80-a793-9a64bd9ea59b","KONA_019.tickPlot.tck","D06","KONA","KONA_019","distributed","cultivatedCrops",39.211742,-96.590109,"WGS84",20.1,327.1,0.1,"OK","OK - no known exceptions","2024-08-05T13:46Z","KONA.2024.32",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0009-0002-9890-216X",
"9d5b4e8e-fa8c-435f-bf7d-905dc187417e","KONA_024.tickPlot.tck","D06","KONA","KONA_024","distributed","cultivatedCrops",39.208663,-96.595138,"WGS84",20.1,329.1,0.1,"OK","OK - no known exceptions","2024-08-05T14:19Z","KONA.2024.32",,,"drag",120,"N",,,,,"NEON.DOC.014045vL","0009-0002-9890-216X","Tractor prevented finishing last side of sampling"
"a68b20d2-6921-4e46-bbc9-8e10f46a220e","KONA_021.tickPlot.tck","D06","KONA","KONA_021","distributed","cultivatedCrops",39.125028,-96.643572,"WGS84",20.1,339.5,0.2,"OK","OK - no known exceptions","2024-08-05T15:23Z","KONA.2024.32",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0009-0002-9890-216X",
"df9d58a7-5d43-4c77-8505-771378249cfa","KONA_004.tickPlot.tck","D06","KONA","KONA_004","distributed","cultivatedCrops",39.125575,-96.637356,"WGS84",20.1,323.5,0.1,"OK","OK - no known exceptions","2024-08-05T15:55Z","KONA.2024.32",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0009-0002-9890-216X",
"ee7d1fc0-4420-4fa4-9851-baf723270d59","KONA_002.tickPlot.tck","D06","KONA","KONA_002","distributed","cultivatedCrops",39.114235,-96.638612,"WGS84",20.1,324.7,0.1,"OK","OK - no known exceptions","2024-08-05T16:27Z","KONA.2024.32",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0009-0002-9890-216X",
"04c225e7-7af8-45fb-9009-791e96f6580f","KONA_003.tickPlot.tck","D06","KONA","KONA_003","distributed","cultivatedCrops",39.214274,-96.600435,"WGS84",20.1,329.1,0.1,"OK","OK - no known exceptions","2024-08-27T12:48Z","KONA.2024.35",,,"flag",160,"N",,,,,"NEON.DOC.014045vL","0009-0002-9890-216X",
"9c75ce44-83a8-4a09-812c-7e6f514f604e","KONA_019.tickPlot.tck","D06","KONA","KONA_019","distributed","cultivatedCrops",39.211742,-96.590109,"WGS84",20.1,327.1,0.1,"OK","OK - no known exceptions","2024-08-27T13:29Z","KONA.2024.35",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0009-0002-9890-216X",
"245f02c5-5d6d-454e-98c9-526f6167e2fe","KONA_024.tickPlot.tck","D06","KONA","KONA_024","distributed","cultivatedCrops",39.208663,-96.595138,"WGS84",20.1,329.1,0.1,"OK","OK - no known exceptions","2024-08-27T14:04Z","KONA.2024.35",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0009-0002-9890-216X",
"1820066f-1564-421e-9f2d-58b1542fc578","KONA_021.tickPlot.tck","D06","KONA","KONA_021","distributed","cultivatedCrops",39.125028,-96.643572,"WGS84",20.1,339.5,0.2,"OK","OK - no known exceptions","2024-08-27T15:14Z","KONA.2024.35",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0009-0002-9890-216X",
"0f7a5e77-8c4f-4401-8114-37a5b2c632cc","KONA_004.tickPlot.tck","D06","KONA","KONA_004","distributed","cultivatedCrops",39.125575,-96.637356,"WGS84",20.1,323.5,0.1,"OK","OK - no known exceptions","2024-08-27T16:06Z","KONA.2024.35",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vL","0009-0002-9890-216X",
"a6ba37a0-8c13-400e-a4e6-fbc0e1402555","KONA_002.tickPlot.tck","D06","KONA","KONA_002","distributed","cultivatedCrops",39.114235,-96.638612,"WGS84",20.1,324.7,0.1,"OK","OK - no known exceptions","2024-08-27T16:47Z","KONA.2024.35",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0009-0002-9890-216X",
