uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"13de0ea5-930a-4dd8-a519-3453f7f7989d","9c54ffc9-bcba-425f-9ecd-731d20e13501","WREF_007.mammalGrid.mam","D16","WREF","WREF_007","A3","distributed","evergreenForest",45.848697,-121.989621,"WGS84",45.3,620.1,0.4,"1 - trap not set","ShermanXLK","2020-10-19","2020-10-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cde628fd-051a-4efc-8c0c-318981d74766"
"ee8ed1c7-2f77-48f2-bb1c-b872894c2052","24cfa4a4-2023-4cc6-9d4a-5ee275e8b0a3","WREF_012.mammalGrid.mam","D16","WREF","WREF_012","A3","distributed","evergreenForest",45.841757,-121.862857,"WGS84",45.2,321.3,0.2,"1 - trap not set","ShermanXLK","2020-10-19","2020-10-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2b1b7231-ac9b-42ab-9c16-0010af07321c"
"897f4e01-88e8-47e6-a047-093b89dc5010","24cfa4a4-2023-4cc6-9d4a-5ee275e8b0a3","WREF_012.mammalGrid.mam","D16","WREF","WREF_012","J5","distributed","evergreenForest",45.841757,-121.862857,"WGS84",45.2,321.3,0.2,"1 - trap not set","ShermanXLK","2020-10-19","2020-10-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92e28443-fd63-4d94-861d-d188515df2af"
"59693120-6357-442b-8ea3-2360cfb45bae","94114ca7-042f-43ce-95b3-54bd129aaa5a","WREF_003.mammalGrid.mam","D16","WREF","WREF_003","I1","distributed","evergreenForest",45.830331,-122.017459,"WGS84",45.2,603.6,0.2,"1 - trap not set","ShermanXLK","2020-10-19","2020-10-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"86db61c5-1965-4802-81ef-45eaffb91fee"
"8ee69d9f-1876-4c33-8931-df54beb1d691","9c54ffc9-bcba-425f-9ecd-731d20e13501","WREF_007.mammalGrid.mam","D16","WREF","WREF_007","C6","distributed","evergreenForest",45.848697,-121.989621,"WGS84",45.3,620.1,0.4,"1 - trap not set","ShermanXLK","2020-10-19","2020-10-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"abe6e61a-ce26-4f89-a419-bd7dc2d130e3"
"f2ab0e45-0688-433f-bcb3-e89321884eee","9c54ffc9-bcba-425f-9ecd-731d20e13501","WREF_007.mammalGrid.mam","D16","WREF","WREF_007","A6","distributed","evergreenForest",45.848697,-121.989621,"WGS84",45.3,620.1,0.4,"1 - trap not set","ShermanXLK","2020-10-19","2020-10-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"eb81a76c-a155-4452-8943-8d2f548bfac8"
"62f6063a-18ed-494b-ab35-7f738ae1607d","9c54ffc9-bcba-425f-9ecd-731d20e13501","WREF_007.mammalGrid.mam","D16","WREF","WREF_007","C8","distributed","evergreenForest",45.848697,-121.989621,"WGS84",45.3,620.1,0.4,"1 - trap not set","ShermanXLK","2020-10-19","2020-10-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"f0e0824f-cf10-45e9-938d-28775d619c35"
"82ab2a3d-5fe6-4e09-90fe-a2b064b28be4","24cfa4a4-2023-4cc6-9d4a-5ee275e8b0a3","WREF_012.mammalGrid.mam","D16","WREF","WREF_012","B5","distributed","evergreenForest",45.841757,-121.862857,"WGS84",45.2,321.3,0.2,"1 - trap not set","ShermanXLK","2020-10-19","2020-10-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"b6f77030-8165-4e13-8df3-da4c4425ddf1"
"9cad1aee-b362-49e2-bc31-5f5f94823c5d","9c54ffc9-bcba-425f-9ecd-731d20e13501","WREF_007.mammalGrid.mam","D16","WREF","WREF_007","E7","distributed","evergreenForest",45.848697,-121.989621,"WGS84",45.3,620.1,0.4,"1 - trap not set","ShermanXLK","2020-10-19","2020-10-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"e296d9e4-04be-44db-b37c-39682715c6b6"
"0f3fd946-eb4e-4149-9620-e9ff04be849c","9c54ffc9-bcba-425f-9ecd-731d20e13501","WREF_007.mammalGrid.mam","D16","WREF","WREF_007","G2","distributed","evergreenForest",45.848697,-121.989621,"WGS84",45.3,620.1,0.4,"1 - trap not set","ShermanXLK","2020-10-19","2020-10-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31e06595-f91e-422a-a2d5-f726168741ed"
