uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"0822f802-b908-4ddc-975d-63df2df8e8fa","9109cd15-5598-475c-949a-a1881f94d949","JORN_001.mammalGrid.mam","D14","JORN","JORN_001","I5","distributed","shrubScrub",32.605706,-106.803361,"WGS84",45.1,1324.8,0.1,"6 - trap set and empty","ShermanXLK","2021-11-08","2021-11-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-4810-0129","0000-0001-9330-2435",,,"a0f05422-992b-4412-8955-d15fd97ba805"
"d1f2235b-da94-4942-a4df-8fa562ca3197","437e4c06-4390-4302-8b99-5f5dd2a4ea5c","JORN_017.mammalGrid.mam","D14","JORN","JORN_017","C5","distributed","shrubScrub",32.607847,-106.848717,"WGS84",45.1,1317.3,0.1,"6 - trap set and empty","ShermanXLK","2021-11-08","2021-11-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-4194-7703","0000-0002-8929-7933",,,"4d979493-0404-4efc-ba20-8025a1d5f192"
"ef1cd3e9-27cd-4fd5-822f-070e679413c6","d7bb1774-543d-4e29-851d-154da9a8b6a9","JORN_011.mammalGrid.mam","D14","JORN","JORN_011","B10","distributed","shrubScrub",32.606853,-106.795376,"WGS84",45.1,1324.9,0.1,"6 - trap set and empty","ShermanXLK","2021-11-08","2021-11-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-4194-7703","0000-0002-8929-7933",,,"a5f67e2b-9959-4fd0-953c-1de86b499ac8"
"6e23b194-69ac-40ea-a4fc-6e5b014b28a8","d7bb1774-543d-4e29-851d-154da9a8b6a9","JORN_011.mammalGrid.mam","D14","JORN","JORN_011","J6","distributed","shrubScrub",32.606853,-106.795376,"WGS84",45.1,1324.9,0.1,"2 - trap disturbed/door closed but empty","ShermanXLK","2021-11-08","2021-11-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-4194-7703","0000-0002-8929-7933",,,"0bda1541-94f4-431d-89cc-5838a1e8d72b"
"f30a3a61-2950-46bb-b484-0cf6d57e6332","437e4c06-4390-4302-8b99-5f5dd2a4ea5c","JORN_017.mammalGrid.mam","D14","JORN","JORN_017","D3","distributed","shrubScrub",32.607847,-106.848717,"WGS84",45.1,1317.3,0.1,"6 - trap set and empty","ShermanXLK","2021-11-08","2021-11-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-4194-7703","0000-0002-8929-7933",,,"4a890d81-c10d-43db-ba5d-81436e9e4369"
"16a35658-f266-442b-8cb9-60dd54165ec5","437e4c06-4390-4302-8b99-5f5dd2a4ea5c","JORN_017.mammalGrid.mam","D14","JORN","JORN_017","B9","distributed","shrubScrub",32.607847,-106.848717,"WGS84",45.1,1317.3,0.1,"5 - capture","ShermanXLK","2021-11-08","2021-11-08","NEON.MAM.D14.491831",,"CHER","Chaetodipus eremicus","species",,"D14 - NEON.DOC.003140",,,"N","M","N","processed",,"adult","nonscrotal",,,,,,,,,"U","U","U",,,,,,,,,,,,,,,,,"0000-0003-4194-7703","0000-0002-8929-7933",,,"69e53bf2-82c7-4188-b435-427ab094cac7"
"d8a6bb1e-8aa1-4062-93ff-18f9edf6d36e","437e4c06-4390-4302-8b99-5f5dd2a4ea5c","JORN_017.mammalGrid.mam","D14","JORN","JORN_017","E10","distributed","shrubScrub",32.607847,-106.848717,"WGS84",45.1,1317.3,0.1,"6 - trap set and empty","ShermanXLK","2021-11-08","2021-11-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-4194-7703","0000-0002-8929-7933",,,"3e15d4c0-c6bc-4cc8-89c3-c34d1b20a112"
"cc856a55-c763-402f-99e1-d0fed203761e","9109cd15-5598-475c-949a-a1881f94d949","JORN_001.mammalGrid.mam","D14","JORN","JORN_001","F5","distributed","shrubScrub",32.605706,-106.803361,"WGS84",45.1,1324.8,0.1,"6 - trap set and empty","ShermanXLK","2021-11-08","2021-11-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-4810-0129","0000-0001-9330-2435",,,"8a670bfc-5964-4beb-ac77-d6726db73cef"
"72098d46-f495-40d5-8cc9-7c142d4eda31","437e4c06-4390-4302-8b99-5f5dd2a4ea5c","JORN_017.mammalGrid.mam","D14","JORN","JORN_017","A7","distributed","shrubScrub",32.607847,-106.848717,"WGS84",45.1,1317.3,0.1,"6 - trap set and empty","ShermanXLK","2021-11-08","2021-11-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-4194-7703","0000-0002-8929-7933",,,"a85a95d2-9b68-40ce-8842-15958ddcf616"
"00ce2a24-8772-49f5-a548-a0b6fe7724f7","437e4c06-4390-4302-8b99-5f5dd2a4ea5c","JORN_017.mammalGrid.mam","D14","JORN","JORN_017","G9","distributed","shrubScrub",32.607847,-106.848717,"WGS84",45.1,1317.3,0.1,"6 - trap set and empty","ShermanXLK","2021-11-08","2021-11-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-4194-7703","0000-0002-8929-7933",,,"5fa7402a-38df-464b-8e37-a5e9c2a7c905"
