uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"43b06002-b01b-4d6d-97b2-cf29e6e92951","ab582e51-574d-442f-a7bf-13a8aa49fae0","ORNL_001.mammalGrid.mam","D07","ORNL","ORNL_001","E1","distributed","deciduousForest",35.931517,-84.271038,"WGS84",45.2,249.1,0.3,"6 - trap set and empty","ShermanLF","2021-04-06","2021-04-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8835-6113","0000-0001-8986-8911",,,"5c43fd1e-78b9-45c6-95d7-5d2aa1deb3e3"
"4b1fba35-25df-46cb-9174-b4fa4268879f","36a7046b-f750-47a1-a67b-6022bf87cd22","ORNL_039.mammalGrid.mam","D07","ORNL","ORNL_039","H2","distributed","pastureHay",35.934906,-84.246979,"WGS84",45.2,259.6,0.2,"6 - trap set and empty","ShermanLF","2021-04-06","2021-04-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8835-6113","0000-0001-8986-8911",,,"d056cc61-2772-4951-b8b6-ebe7c1b2a52b"
"540feef8-57c6-418f-b2f1-7158a05c0aa9","36a7046b-f750-47a1-a67b-6022bf87cd22","ORNL_039.mammalGrid.mam","D07","ORNL","ORNL_039","B6","distributed","pastureHay",35.934906,-84.246979,"WGS84",45.2,259.6,0.2,"6 - trap set and empty","ShermanLF","2021-04-06","2021-04-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8835-6113","0000-0001-8986-8911",,,"b6947533-725d-4901-adbd-af21535222fe"
"70afda63-2d9b-40af-98ea-71558c0a4a02","129fc3e0-c845-43bd-9d4d-aedb9419a03c","ORNL_002.mammalGrid.mam","D07","ORNL","ORNL_002","H9","distributed","deciduousForest",35.980657,-84.212085,"WGS84",45.3,265.3,0.3,"6 - trap set and empty","ShermanLF","2021-04-06","2021-04-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-1851-5013","0000-0001-5401-430X",,,"193303bf-9813-48f5-99fe-1976daaface9"
"448adfe8-db82-4357-91b4-9d0b927ee55d","129fc3e0-c845-43bd-9d4d-aedb9419a03c","ORNL_002.mammalGrid.mam","D07","ORNL","ORNL_002","G1","distributed","deciduousForest",35.980657,-84.212085,"WGS84",45.3,265.3,0.3,"6 - trap set and empty","ShermanLF","2021-04-06","2021-04-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-1851-5013","0000-0001-5401-430X",,,"844453a3-5671-4801-b9f9-21f830c12840"
"03a49306-29b0-41f7-9c6f-d7e95ef353b2","ab582e51-574d-442f-a7bf-13a8aa49fae0","ORNL_001.mammalGrid.mam","D07","ORNL","ORNL_001","A5","distributed","deciduousForest",35.931517,-84.271038,"WGS84",45.2,249.1,0.3,"6 - trap set and empty","ShermanLF","2021-04-06","2021-04-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8835-6113","0000-0001-8986-8911",,,"b0cb9641-ccc5-4d61-8c62-fc53c22c517c"
"517ae571-ac2e-47c0-9d23-1c68ea69e366","36a7046b-f750-47a1-a67b-6022bf87cd22","ORNL_039.mammalGrid.mam","D07","ORNL","ORNL_039","A2","distributed","pastureHay",35.934906,-84.246979,"WGS84",45.2,259.6,0.2,"6 - trap set and empty","ShermanLF","2021-04-06","2021-04-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8835-6113","0000-0001-8986-8911",,,"19cfb529-3580-4d50-958e-daf8ecbaaa87"
"08a826b6-d45d-40d6-b41e-826e811f608d","70bbc756-912c-4c39-addf-8fd2c99a4e38","ORNL_003.mammalGrid.mam","D07","ORNL","ORNL_003","D1","distributed","deciduousForest",35.965425,-84.229179,"WGS84",45.2,264.5,0.4,"6 - trap set and empty","ShermanLF","2021-04-06","2021-04-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-1851-5013","0000-0001-5401-430X",,,"39b8948d-fb65-4b9a-ace4-0dd91eaace65"
"a65c6cff-1a1e-4a1c-866f-84187b4e99b9","36a7046b-f750-47a1-a67b-6022bf87cd22","ORNL_039.mammalGrid.mam","D07","ORNL","ORNL_039","A3","distributed","pastureHay",35.934906,-84.246979,"WGS84",45.2,259.6,0.2,"6 - trap set and empty","ShermanLF","2021-04-06","2021-04-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8835-6113","0000-0001-8986-8911",,,"2b74152e-9baa-44a8-834a-4c6f11c3b3ac"
"1dd9115c-5bea-4bd8-a5f9-bbea620565e3","ab582e51-574d-442f-a7bf-13a8aa49fae0","ORNL_001.mammalGrid.mam","D07","ORNL","ORNL_001","C6","distributed","deciduousForest",35.931517,-84.271038,"WGS84",45.2,249.1,0.3,"6 - trap set and empty","ShermanLF","2021-04-06","2021-04-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8835-6113","0000-0001-8986-8911",,,"2a779b12-f4d6-4de2-aab7-bcf47d181bca"
"7ee7c648-cdf1-4586-9a31-02f2b4260513","70bbc756-912c-4c39-addf-8fd2c99a4e38","ORNL_003.mammalGrid.mam","D07","ORNL","ORNL_003","B2","distributed","deciduousForest",35.965425,-84.229179,"WGS84",45.2,264.5,0.4,"6 - trap set and empty","ShermanLF","2021-04-06","2021-04-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-1851-5013","0000-0001-5401-430X",,,"f34b4a4a-e91f-4f7b-be62-2ba03710eb88"
"4d051c73-d283-45af-8089-ea14c8daf66c","70bbc756-912c-4c39-addf-8fd2c99a4e38","ORNL_003.mammalGrid.mam","D07","ORNL","ORNL_003","I1","distributed","deciduousForest",35.965425,-84.229179,"WGS84",45.2,264.5,0.4,"6 - trap set and empty","ShermanLF","2021-04-06","2021-04-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-1851-5013","0000-0001-5401-430X",,,"168fd8d5-b5e8-429e-822b-4689c90a5142"
"49fb1181-5bb2-4faa-9916-397e510c6aad","36a7046b-f750-47a1-a67b-6022bf87cd22","ORNL_039.mammalGrid.mam","D07","ORNL","ORNL_039","I10","distributed","pastureHay",35.934906,-84.246979,"WGS84",45.2,259.6,0.2,"6 - trap set and empty","ShermanLF","2021-04-06","2021-04-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8835-6113","0000-0001-8986-8911",,,"5e711fbb-c776-40f2-a689-5f08ba6b5329"
"df2033c8-bd4b-4c40-87b4-35062cb4264c","ab582e51-574d-442f-a7bf-13a8aa49fae0","ORNL_001.mammalGrid.mam","D07","ORNL","ORNL_001","I5","distributed","deciduousForest",35.931517,-84.271038,"WGS84",45.2,249.1,0.3,"6 - trap set and empty","ShermanLF","2021-04-06","2021-04-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8835-6113","0000-0001-8986-8911",,,"cba57856-e123-4ae8-a51e-685fa9adb462"
"93935ca5-f261-45ac-9b7f-812bd3e65970","36a7046b-f750-47a1-a67b-6022bf87cd22","ORNL_039.mammalGrid.mam","D07","ORNL","ORNL_039","D7","distributed","pastureHay",35.934906,-84.246979,"WGS84",45.2,259.6,0.2,"6 - trap set and empty","ShermanLF","2021-04-06","2021-04-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8835-6113","0000-0001-8986-8911",,,"3cb85273-5944-42a9-9c42-35a86103a0a9"
"96643b61-d2c2-411f-bff5-a875c25782e4","36a7046b-f750-47a1-a67b-6022bf87cd22","ORNL_039.mammalGrid.mam","D07","ORNL","ORNL_039","I1","distributed","pastureHay",35.934906,-84.246979,"WGS84",45.2,259.6,0.2,"6 - trap set and empty","ShermanLF","2021-04-06","2021-04-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8835-6113","0000-0001-8986-8911",,,"f8951e22-252f-4d59-9b85-0af7b37732d6"
