uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"b32938e3-aebd-43ca-9060-7ae4ebc0f36a","67afe972-4719-4c28-9714-075740523225","TOOL_031.mammalGrid.mam","D18","TOOL","TOOL_031","C1","distributed","dwarfScrub",68.600789,-149.503828,"WGS84",45.9,905.9,0.8,"1 - trap not set","ShermanLF","2020-08-10","2020-08-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8e765e3a-4db6-490f-948e-cf6e016de96b","045b4c16-c367-48e1-9c8c-f9b3f4daea80","TOOL_071.mammalGrid.mam","D18","TOOL","TOOL_071","E6","distributed","dwarfScrub",68.599097,-149.507447,"WGS84",45.1,890.7,0.1,"1 - trap not set","ShermanLF","2020-08-10","2020-08-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e05c51aa-a72d-48e6-97f4-ddf909a8fb50","67afe972-4719-4c28-9714-075740523225","TOOL_031.mammalGrid.mam","D18","TOOL","TOOL_031","F6","distributed","dwarfScrub",68.600789,-149.503828,"WGS84",45.9,905.9,0.8,"1 - trap not set","ShermanLF","2020-08-10","2020-08-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1599934f-f2ae-4276-942d-e4cde7d5b6c9","c8cff472-b5dc-48f1-996c-301a9d7549c1","TOOL_077.mammalGrid.mam","D18","TOOL","TOOL_077","E7","distributed","sedgeHerbaceous",68.625906,-149.337798,"WGS84",45.9,874.9,0.8,"1 - trap not set","ShermanLF","2020-08-10","2020-08-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b63cfbab-4cde-4247-a9ec-dbbac632d924","045b4c16-c367-48e1-9c8c-f9b3f4daea80","TOOL_071.mammalGrid.mam","D18","TOOL","TOOL_071","A3","distributed","dwarfScrub",68.599097,-149.507447,"WGS84",45.1,890.7,0.1,"1 - trap not set","ShermanLF","2020-08-10","2020-08-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"749ccf7b-6a5e-4a25-8998-0b53fc24477d","c8cff472-b5dc-48f1-996c-301a9d7549c1","TOOL_077.mammalGrid.mam","D18","TOOL","TOOL_077","G6","distributed","sedgeHerbaceous",68.625906,-149.337798,"WGS84",45.9,874.9,0.8,"1 - trap not set","ShermanLF","2020-08-10","2020-08-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a8ff8c6f-a9b3-4f5e-aa8b-0aaecc0fd61b","c8cff472-b5dc-48f1-996c-301a9d7549c1","TOOL_077.mammalGrid.mam","D18","TOOL","TOOL_077","J10","distributed","sedgeHerbaceous",68.625906,-149.337798,"WGS84",45.9,874.9,0.8,"1 - trap not set","ShermanLF","2020-08-10","2020-08-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"f55a44a5-3dc0-4a58-bbe4-811376f910ac","045b4c16-c367-48e1-9c8c-f9b3f4daea80","TOOL_071.mammalGrid.mam","D18","TOOL","TOOL_071","B7","distributed","dwarfScrub",68.599097,-149.507447,"WGS84",45.1,890.7,0.1,"1 - trap not set","ShermanLF","2020-08-10","2020-08-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c5b97506-17ff-4c3f-87e5-df4fc9fddcd9","045b4c16-c367-48e1-9c8c-f9b3f4daea80","TOOL_071.mammalGrid.mam","D18","TOOL","TOOL_071","I8","distributed","dwarfScrub",68.599097,-149.507447,"WGS84",45.1,890.7,0.1,"1 - trap not set","ShermanLF","2020-08-10","2020-08-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"317c0b0d-8dbb-442f-aac2-ac16c4465ae4","67afe972-4719-4c28-9714-075740523225","TOOL_031.mammalGrid.mam","D18","TOOL","TOOL_031","E2","distributed","dwarfScrub",68.600789,-149.503828,"WGS84",45.9,905.9,0.8,"1 - trap not set","ShermanLF","2020-08-10","2020-08-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
