uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"7946045f-fca9-4f9b-a8a4-b2d4289e71d6","79df1137-9d74-4cf8-ab9b-b9d00435f114","DELA_001.mammalGrid.mam","D08","DELA","DELA_001","B4","distributed","woodyWetlands",32.531790,-87.806963,"WGS84",45.2,25.8,0.2,"6 - trap set and empty","ShermanLF","2022-10-25","2022-10-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-3172-1559","0000-0003-3172-1559",,,"e15657c5-aa1b-4b14-a201-1a4e4f452594"
"2238613a-7c1e-4461-9983-78b3bfe62138","79df1137-9d74-4cf8-ab9b-b9d00435f114","DELA_001.mammalGrid.mam","D08","DELA","DELA_001","B2","distributed","woodyWetlands",32.531790,-87.806963,"WGS84",45.2,25.8,0.2,"6 - trap set and empty","ShermanLF","2022-10-25","2022-10-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-3172-1559","0000-0003-3172-1559",,,"8ffbede6-a96e-4d15-8963-10a9879cb091"
"88487588-92ba-4eff-ba4a-4144773ab28f","72fcf37e-7547-47e6-837f-4cfebdc3c90f","DELA_002.mammalGrid.mam","D08","DELA","DELA_002","F6","distributed","woodyWetlands",32.532325,-87.817404,"WGS84",45.2,22.5,0.2,"6 - trap set and empty","ShermanLF","2022-10-25","2022-10-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-8839-6825","0000-0003-0686-286X",,,"6763faf5-2b81-4d41-bfec-7b4a79f00401"
"7941cba8-efb1-41dc-8ba4-29398e9bef4e","22a7743a-539d-45f9-bc18-74af5c640920","DELA_007.mammalGrid.mam","D08","DELA","DELA_007","E1","distributed","woodyWetlands",32.538446,-87.802968,"WGS84",45.4,24.0,0.3,"6 - trap set and empty","ShermanLF","2022-10-25","2022-10-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-8839-6825","0000-0003-3172-1559",,,"f89d4d20-b356-45e8-8ea6-38c5da866d67"
"a190e9e8-9326-402d-a19c-72a6caa6209e","72fcf37e-7547-47e6-837f-4cfebdc3c90f","DELA_002.mammalGrid.mam","D08","DELA","DELA_002","F10","distributed","woodyWetlands",32.532325,-87.817404,"WGS84",45.2,22.5,0.2,"6 - trap set and empty","ShermanLF","2022-10-25","2022-10-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-8839-6825","0000-0003-0686-286X",,,"b467f9c8-a1aa-4c93-b08e-60506ec61cd8"
"0a2946a1-4e37-4b66-9846-73150536f0ae","22a7743a-539d-45f9-bc18-74af5c640920","DELA_007.mammalGrid.mam","D08","DELA","DELA_007","D10","distributed","woodyWetlands",32.538446,-87.802968,"WGS84",45.4,24.0,0.3,"6 - trap set and empty","ShermanLF","2022-10-25","2022-10-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-8839-6825","0000-0003-3172-1559",,,"67d1960c-20df-46cb-86f8-faf9eb9b5b9f"
"ad7cde21-3469-4360-9b5c-7ebdb53c9c85","79df1137-9d74-4cf8-ab9b-b9d00435f114","DELA_001.mammalGrid.mam","D08","DELA","DELA_001","C9","distributed","woodyWetlands",32.531790,-87.806963,"WGS84",45.2,25.8,0.2,"6 - trap set and empty","ShermanLF","2022-10-25","2022-10-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-3172-1559","0000-0003-3172-1559",,,"171195d3-b006-41f0-b5ce-e58d2e2cce8c"
"54f8006b-bfdb-42e3-9845-d7d1ccd89c12","79df1137-9d74-4cf8-ab9b-b9d00435f114","DELA_001.mammalGrid.mam","D08","DELA","DELA_001","J10","distributed","woodyWetlands",32.531790,-87.806963,"WGS84",45.2,25.8,0.2,"6 - trap set and empty","ShermanLF","2022-10-25","2022-10-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-3172-1559","0000-0003-3172-1559",,,"3fc09f18-09e1-43f7-8cff-a5dc30ad0e70"
"501a5bda-b442-4b03-8a86-25d5dfe23e50","72fcf37e-7547-47e6-837f-4cfebdc3c90f","DELA_002.mammalGrid.mam","D08","DELA","DELA_002","G4","distributed","woodyWetlands",32.532325,-87.817404,"WGS84",45.2,22.5,0.2,"6 - trap set and empty","ShermanLF","2022-10-25","2022-10-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-8839-6825","0000-0003-0686-286X",,,"5baec0c7-51f8-4a3d-b6db-22a17f078cb3"
"46e8361f-f230-4dbd-a62d-ea49607050b9","ee4a0944-5468-42c7-bdd1-a659d0b90c84","DELA_026.mammalGrid.mam","D08","DELA","DELA_026","E4","distributed","evergreenForest",32.533234,-87.811651,"WGS84",45.2,28.7,0.2,"6 - trap set and empty","ShermanLF","2022-10-25","2022-10-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-0686-286X","0000-0002-8839-6825",,,"4e7ae314-123b-4b74-a79f-ceaf5d27ce00"
"c820408a-6ad4-4d31-8ca7-ff0f4b52bf78","72fcf37e-7547-47e6-837f-4cfebdc3c90f","DELA_002.mammalGrid.mam","D08","DELA","DELA_002","F1","distributed","woodyWetlands",32.532325,-87.817404,"WGS84",45.2,22.5,0.2,"6 - trap set and empty","ShermanLF","2022-10-25","2022-10-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-8839-6825","0000-0003-0686-286X",,,"d87f160a-b84e-40af-b667-03aa1f804414"
"48245a7c-c711-4b0d-ba06-848f65f93c1c","ee4a0944-5468-42c7-bdd1-a659d0b90c84","DELA_026.mammalGrid.mam","D08","DELA","DELA_026","H4","distributed","evergreenForest",32.533234,-87.811651,"WGS84",45.2,28.7,0.2,"6 - trap set and empty","ShermanLF","2022-10-25","2022-10-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-0686-286X","0000-0002-8839-6825",,,"ffccf44b-7319-4ffe-a099-8e5992034023"
"4aa0efb5-b203-464a-98f8-aabf102fc491","22a7743a-539d-45f9-bc18-74af5c640920","DELA_007.mammalGrid.mam","D08","DELA","DELA_007","C7","distributed","woodyWetlands",32.538446,-87.802968,"WGS84",45.4,24.0,0.3,"6 - trap set and empty","ShermanLF","2022-10-25","2022-10-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-8839-6825","0000-0003-3172-1559",,,"4d5cc9f1-a255-4153-95cb-bb9e49db6245"
"517485d5-d36d-4d8a-b09f-c50e38d2f84a","79df1137-9d74-4cf8-ab9b-b9d00435f114","DELA_001.mammalGrid.mam","D08","DELA","DELA_001","E8","distributed","woodyWetlands",32.531790,-87.806963,"WGS84",45.2,25.8,0.2,"6 - trap set and empty","ShermanLF","2022-10-25","2022-10-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-3172-1559","0000-0003-3172-1559",,,"03787c82-3548-4e41-877b-2c42ee7bcb11"
"8726cffa-4b31-448e-b860-64bdccade2eb","72fcf37e-7547-47e6-837f-4cfebdc3c90f","DELA_002.mammalGrid.mam","D08","DELA","DELA_002","D4","distributed","woodyWetlands",32.532325,-87.817404,"WGS84",45.2,22.5,0.2,"6 - trap set and empty","ShermanLF","2022-10-25","2022-10-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-8839-6825","0000-0003-0686-286X",,,"b43b1afb-0cd3-4b6a-bb9d-cee5203ed59f"
"1cceebe4-9eff-4936-b0a4-5a118b0f8c8d","79df1137-9d74-4cf8-ab9b-b9d00435f114","DELA_001.mammalGrid.mam","D08","DELA","DELA_001","E2","distributed","woodyWetlands",32.531790,-87.806963,"WGS84",45.2,25.8,0.2,"6 - trap set and empty","ShermanLF","2022-10-25","2022-10-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-3172-1559","0000-0003-3172-1559",,,"2e6e17aa-9f27-46f0-b0f2-30e56e498c70"
"ff850af8-faab-4e5e-be68-88fa182c54fd","22a7743a-539d-45f9-bc18-74af5c640920","DELA_007.mammalGrid.mam","D08","DELA","DELA_007","F9","distributed","woodyWetlands",32.538446,-87.802968,"WGS84",45.4,24.0,0.3,"6 - trap set and empty","ShermanLF","2022-10-25","2022-10-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-8839-6825","0000-0003-3172-1559",,,"1955f5af-0089-4b15-8728-1f910b178074"
"b34032ac-641a-452f-b235-0d607967d6eb","79df1137-9d74-4cf8-ab9b-b9d00435f114","DELA_001.mammalGrid.mam","D08","DELA","DELA_001","A10","distributed","woodyWetlands",32.531790,-87.806963,"WGS84",45.2,25.8,0.2,"6 - trap set and empty","ShermanLF","2022-10-25","2022-10-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-3172-1559","0000-0003-3172-1559",,,"4c2cbf01-fc0a-4610-a749-60f3a4cb21e4"
"aa78f42c-6dac-48ab-9f15-024014c8de3a","ee4a0944-5468-42c7-bdd1-a659d0b90c84","DELA_026.mammalGrid.mam","D08","DELA","DELA_026","C9","distributed","evergreenForest",32.533234,-87.811651,"WGS84",45.2,28.7,0.2,"6 - trap set and empty","ShermanLF","2022-10-25","2022-10-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-0686-286X","0000-0002-8839-6825",,,"6660201c-dde7-48a4-a20d-341103586026"
"3af9b4c3-d32c-4cff-a8ce-5be4be5fa64b","22a7743a-539d-45f9-bc18-74af5c640920","DELA_007.mammalGrid.mam","D08","DELA","DELA_007","D7","distributed","woodyWetlands",32.538446,-87.802968,"WGS84",45.4,24.0,0.3,"6 - trap set and empty","ShermanLF","2022-10-25","2022-10-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-8839-6825","0000-0003-3172-1559",,,"7b37beac-32d3-4f4e-8fc2-ac5d09176bf2"
"e62747cd-d4f1-41d4-b8e2-7a0d83a49537","79df1137-9d74-4cf8-ab9b-b9d00435f114","DELA_001.mammalGrid.mam","D08","DELA","DELA_001","I7","distributed","woodyWetlands",32.531790,-87.806963,"WGS84",45.2,25.8,0.2,"6 - trap set and empty","ShermanLF","2022-10-25","2022-10-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-3172-1559","0000-0003-3172-1559",,,"db69473b-40cf-46fc-80bd-ef2b3d947d1b"
"cee645fb-92b5-4b58-a38f-bf2f12ef730c","ee4a0944-5468-42c7-bdd1-a659d0b90c84","DELA_026.mammalGrid.mam","D08","DELA","DELA_026","B10","distributed","evergreenForest",32.533234,-87.811651,"WGS84",45.2,28.7,0.2,"6 - trap set and empty","ShermanLF","2022-10-25","2022-10-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-0686-286X","0000-0002-8839-6825",,,"ee4c7879-6238-4a8f-946d-6d9cf53a2f8d"
"9bc78d09-6139-4242-a09b-35528cddf77f","72fcf37e-7547-47e6-837f-4cfebdc3c90f","DELA_002.mammalGrid.mam","D08","DELA","DELA_002","I8","distributed","woodyWetlands",32.532325,-87.817404,"WGS84",45.2,22.5,0.2,"6 - trap set and empty","ShermanLF","2022-10-25","2022-10-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-8839-6825","0000-0003-0686-286X",,,"1fc59284-8e87-4026-8fd4-567c80ef7d1d"
"7e44c2b8-02e9-4462-861e-5e535b6b4225","79df1137-9d74-4cf8-ab9b-b9d00435f114","DELA_001.mammalGrid.mam","D08","DELA","DELA_001","F3","distributed","woodyWetlands",32.531790,-87.806963,"WGS84",45.2,25.8,0.2,"6 - trap set and empty","ShermanLF","2022-10-25","2022-10-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-3172-1559","0000-0003-3172-1559",,,"d22aff88-e173-4453-8a45-703504bb02ae"
"4ff36d74-12a0-4981-9244-0a7c72592410","72fcf37e-7547-47e6-837f-4cfebdc3c90f","DELA_002.mammalGrid.mam","D08","DELA","DELA_002","H5","distributed","woodyWetlands",32.532325,-87.817404,"WGS84",45.2,22.5,0.2,"6 - trap set and empty","ShermanLF","2022-10-25","2022-10-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-8839-6825","0000-0003-0686-286X",,,"60e6f9a7-eda8-4e60-8410-16cd7884e0c3"
