uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"a249cbee-4e4e-4872-b947-779c2e3ea333","c9b22fe7-c6b3-4b80-aabc-0b1a995d09f8","GRSM_070.mammalGrid.mam","D07","GRSM","GRSM_070","F5","distributed","deciduousForest",35.681515,-83.555659,"WGS84",45.2,509.1,0.2,"1 - trap not set","ShermanLF","2022-03-08","2022-03-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8835-6113","0000-0001-8835-6113",,,"e9918c45-c3bf-4b47-ae17-ae61351876f2"
"06997d09-982f-4122-b460-b0f45267d300","b8f5a2ac-9211-4801-85fd-ace259f32199","GRSM_014.mammalGrid.mam","D07","GRSM","GRSM_014","C5","distributed","deciduousForest",35.665321,-83.523578,"WGS84",45.2,532.7,0.3,"1 - trap not set","ShermanLF","2022-03-08","2022-03-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8835-6113","0000-0001-8835-6113",,,"0bb7c41e-f9e7-47cc-a883-fed6129b04ed"
"60832e9f-14f5-4d13-b24f-f1356a2233f0","a597a21d-7340-4248-a2d6-10293aee5e92","GRSM_069.mammalGrid.mam","D07","GRSM","GRSM_069","I8","distributed","deciduousForest",35.680058,-83.489165,"WGS84",45.3,716.3,0.5,"1 - trap not set","ShermanLF","2022-03-08","2022-03-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8835-6113","0000-0001-8835-6113",,,"ee2fc717-ab8c-4451-95db-c9df64ad397d"
"ccf3790d-755d-4e9a-bd94-042f66faa685","c9b22fe7-c6b3-4b80-aabc-0b1a995d09f8","GRSM_070.mammalGrid.mam","D07","GRSM","GRSM_070","H2","distributed","deciduousForest",35.681515,-83.555659,"WGS84",45.2,509.1,0.2,"1 - trap not set","ShermanLF","2022-03-08","2022-03-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8835-6113","0000-0001-8835-6113",,,"6fbb21fa-1950-4eeb-98e6-68efed104b6e"
"5de360c0-4219-40ec-b36f-b0ceb46e4c7e","c9b22fe7-c6b3-4b80-aabc-0b1a995d09f8","GRSM_070.mammalGrid.mam","D07","GRSM","GRSM_070","J7","distributed","deciduousForest",35.681515,-83.555659,"WGS84",45.2,509.1,0.2,"1 - trap not set","ShermanLF","2022-03-08","2022-03-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8835-6113","0000-0001-8835-6113",,,"dbf52f7e-e492-4379-a501-657b71d836eb"
"6306049f-c611-4647-ad01-b6dd68af8ef8","561c62c4-b511-492f-a5a5-fa11e3b15ec5","GRSM_020.mammalGrid.mam","D07","GRSM","GRSM_020","J1","distributed","deciduousForest",35.702253,-83.360191,"WGS84",45.2,637.5,0.3,"1 - trap not set","ShermanLF","2022-03-08","2022-03-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8835-6113","0000-0001-8835-6113",,,"636c643f-fee1-4187-a84a-b11b6eadd805"
"8dbff653-1ee6-4a70-9add-6ba641e3d5ef","b8f5a2ac-9211-4801-85fd-ace259f32199","GRSM_014.mammalGrid.mam","D07","GRSM","GRSM_014","G10","distributed","deciduousForest",35.665321,-83.523578,"WGS84",45.2,532.7,0.3,"1 - trap not set","ShermanLF","2022-03-08","2022-03-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8835-6113","0000-0001-8835-6113",,,"7e071bac-394d-40fc-b74e-53c96d0188af"
"8ee84cb7-7115-49aa-a740-a8a15080e8bb","b8f5a2ac-9211-4801-85fd-ace259f32199","GRSM_014.mammalGrid.mam","D07","GRSM","GRSM_014","D6","distributed","deciduousForest",35.665321,-83.523578,"WGS84",45.2,532.7,0.3,"1 - trap not set","ShermanLF","2022-03-08","2022-03-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8835-6113","0000-0001-8835-6113",,,"849767c4-735e-4782-981c-08efc5c5a758"
"a8ea1274-eea2-4c0b-b1a0-734556b88e72","c9b22fe7-c6b3-4b80-aabc-0b1a995d09f8","GRSM_070.mammalGrid.mam","D07","GRSM","GRSM_070","A3","distributed","deciduousForest",35.681515,-83.555659,"WGS84",45.2,509.1,0.2,"1 - trap not set","ShermanLF","2022-03-08","2022-03-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8835-6113","0000-0001-8835-6113",,,"04f5c6cb-6ba0-4b4a-abab-4de2633cf5dd"
"257081aa-0473-466d-b295-1f6264ac4b2e","c9b22fe7-c6b3-4b80-aabc-0b1a995d09f8","GRSM_070.mammalGrid.mam","D07","GRSM","GRSM_070","A2","distributed","deciduousForest",35.681515,-83.555659,"WGS84",45.2,509.1,0.2,"1 - trap not set","ShermanLF","2022-03-08","2022-03-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8835-6113","0000-0001-8835-6113",,,"f45580b0-5b9a-4589-93c1-4bf5ef92669b"
"256d6349-e760-4155-ac6a-194f86402437","b8f5a2ac-9211-4801-85fd-ace259f32199","GRSM_014.mammalGrid.mam","D07","GRSM","GRSM_014","D10","distributed","deciduousForest",35.665321,-83.523578,"WGS84",45.2,532.7,0.3,"1 - trap not set","ShermanLF","2022-03-08","2022-03-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8835-6113","0000-0001-8835-6113",,,"c92221d4-ac02-400b-9eaa-28af0c1bc069"
"492c1a55-cfa3-4faa-942c-b0933956395a","561c62c4-b511-492f-a5a5-fa11e3b15ec5","GRSM_020.mammalGrid.mam","D07","GRSM","GRSM_020","D5","distributed","deciduousForest",35.702253,-83.360191,"WGS84",45.2,637.5,0.3,"1 - trap not set","ShermanLF","2022-03-08","2022-03-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8835-6113","0000-0001-8835-6113",,,"95aacbeb-9f14-41b9-9bcc-62a5d3a0c837"
"a7d20ee4-1b4f-427a-b02a-620216d88bf3","a597a21d-7340-4248-a2d6-10293aee5e92","GRSM_069.mammalGrid.mam","D07","GRSM","GRSM_069","C8","distributed","deciduousForest",35.680058,-83.489165,"WGS84",45.3,716.3,0.5,"1 - trap not set","ShermanLF","2022-03-08","2022-03-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8835-6113","0000-0001-8835-6113",,,"45e8ad7b-d67e-4312-80f0-6c76743feb32"
"24de842b-9fa8-4352-9637-14e56d58cf66","a597a21d-7340-4248-a2d6-10293aee5e92","GRSM_069.mammalGrid.mam","D07","GRSM","GRSM_069","F1","distributed","deciduousForest",35.680058,-83.489165,"WGS84",45.3,716.3,0.5,"1 - trap not set","ShermanLF","2022-03-08","2022-03-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8835-6113","0000-0001-8835-6113",,,"44bd7cc3-e6f6-46bb-8f76-247dbd27fbc6"
"9187641d-8d36-4c6e-bf48-7b0308ae82cc","a597a21d-7340-4248-a2d6-10293aee5e92","GRSM_069.mammalGrid.mam","D07","GRSM","GRSM_069","E1","distributed","deciduousForest",35.680058,-83.489165,"WGS84",45.3,716.3,0.5,"1 - trap not set","ShermanLF","2022-03-08","2022-03-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8835-6113","0000-0001-8835-6113",,,"1023aa3c-1e6b-47c8-8bce-16ca77ee8f3a"
"22763290-e99d-46a5-8d9b-dd541c649d9e","c9b22fe7-c6b3-4b80-aabc-0b1a995d09f8","GRSM_070.mammalGrid.mam","D07","GRSM","GRSM_070","H7","distributed","deciduousForest",35.681515,-83.555659,"WGS84",45.2,509.1,0.2,"1 - trap not set","ShermanLF","2022-03-08","2022-03-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8835-6113","0000-0001-8835-6113",,,"c5dcbae1-b1c1-4bb7-9ac2-ebda39387781"
