uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"bb45442f-7953-4ef7-812d-8941534baebb","ABBY_077.tickPlot.tck","D16","ABBY","ABBY_077","distributed","shrubScrub",45.750282,-122.342790,"WGS84",20.1,380.0,0.1,"OK","OK - no known exceptions","2024-06-05T18:39Z","ABBY.2024.23","ABBY_077.20240605","D00000058320","drag and flag",158,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0002-2294-9551",
"fd2caea9-1023-4d42-9e7c-62e4ad4f0839","ABBY_003.tickPlot.tck","D16","ABBY","ABBY_003","distributed","evergreenForest",45.760799,-122.371290,"WGS84",20.1,626.2,0.1,"OK","OK - no known exceptions","2024-06-05T20:52Z","ABBY.2024.23",,,"drag and flag",152,"N",,,,,"NEON.DOC.014045vL","0009-0002-2294-9551",
"1db81881-2fb5-4735-8d08-085362bb3d48","ABBY_023.tickPlot.tck","D16","ABBY","ABBY_023","distributed","mixedForest",45.745006,-122.383498,"WGS84",20.1,478.7,0.1,"OK","OK - no known exceptions","2024-06-06T15:34Z","ABBY.2024.23",,,"drag and flag",162,"N",,,,,"NEON.DOC.014045vL","0009-0004-4821-1349",
"2e2eb356-4e55-40ee-aa10-d47bed792230","ABBY_001.tickPlot.tck","D16","ABBY","ABBY_001","distributed","evergreenForest",45.773173,-122.348080,"WGS84",20.1,297.8,0.2,"OK","OK - no known exceptions","2024-06-06T18:07Z","ABBY.2024.23","ABBY_001.20240606","D00000057848","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0002-2294-9551",
"59ddb79f-a3cf-4963-b434-97cf95083c3c","ABBY_002.tickPlot.tck","D16","ABBY","ABBY_002","distributed","grasslandHerbaceous",45.737854,-122.308292,"WGS84",20.1,651.1,0.1,"logistical",,"2024-06-06T19:00Z","ABBY.2024.23",,,,,,,,,,"NEON.DOC.014045vL","0009-0002-2294-9551","Road to plot closed due to logging"
"4c22fef6-5dbd-496d-b13b-c15138dcff2c","ABBY_006.tickPlot.tck","D16","ABBY","ABBY_006","distributed","evergreenForest",45.752800,-122.297903,"WGS84",20.3,576.4,0.4,"OK","OK - no known exceptions","2024-06-06T20:37Z","ABBY.2024.23",,,"drag and flag",168,"N",,,,,"NEON.DOC.014045vL","0009-0002-2294-9551",
"3980997f-a848-40b0-bb6e-f652fd225af8","ABBY_003.tickPlot.tck","D16","ABBY","ABBY_003","distributed","evergreenForest",45.760799,-122.371290,"WGS84",20.1,626.2,0.1,"OK","OK - no known exceptions","2024-06-24T16:01Z","ABBY.2024.26",,"D00000058325","drag and flag",158,"N",,,,"No known compromise","NEON.DOC.014045vL","0009-0006-2974-5382",
"366900ba-170e-44b2-b7d7-89d03ac2d34c","ABBY_001.tickPlot.tck","D16","ABBY","ABBY_001","distributed","evergreenForest",45.773173,-122.348080,"WGS84",20.1,297.8,0.2,"OK","OK - no known exceptions","2024-06-24T16:42Z","ABBY.2024.26","ABBY_001.20240624","D00000144247","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0003-3959-3034",
"03d68f5a-31e8-4fd1-88b1-cbed354948b1","ABBY_023.tickPlot.tck","D16","ABBY","ABBY_023","distributed","mixedForest",45.745006,-122.383498,"WGS84",20.1,478.7,0.1,"OK","OK - no known exceptions","2024-06-24T17:50Z","ABBY.2024.26","ABBY_023.20240624","D00000058344","drag and flag",157,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0003-1416-0240",
"019e8780-055b-4a34-841b-543abeb0fc08","ABBY_006.tickPlot.tck","D16","ABBY","ABBY_006","distributed","evergreenForest",45.752800,-122.297903,"WGS84",20.3,576.4,0.4,"OK","OK - no known exceptions","2024-06-24T18:56Z","ABBY.2024.26",,,"drag and flag",162,"N",,,,,"NEON.DOC.014045vL","0009-0005-9435-7506",
"37ccac0f-f750-43b9-8e27-b48d50b2fc90","ABBY_077.tickPlot.tck","D16","ABBY","ABBY_077","distributed","shrubScrub",45.750282,-122.342790,"WGS84",20.1,380.0,0.1,"OK","OK - no known exceptions","2024-06-24T20:07Z","ABBY.2024.26","ABBY_077.20240624","D00000058308","drag and flag",151,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0003-1416-0240",
"c53aa724-6b43-46c4-9f4e-8be787916737","ABBY_002.tickPlot.tck","D16","ABBY","ABBY_002","distributed","grasslandHerbaceous",45.737854,-122.308292,"WGS84",20.1,651.1,0.1,"OK","OK - no known exceptions","2024-06-24T21:22Z","ABBY.2024.26",,,"drag and flag",174,"N",,,,,"NEON.DOC.014045vL","0009-0003-3959-3034","Distance estimated due to missing corner marker 57"
