uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"793d3a72-27ec-4b86-83d2-96e567678559","OSBS_002.tickPlot.tck","D03","OSBS","OSBS_002","distributed","evergreenForest",29.703656,-81.958372,"WGS84",20.6,35.0,1.2,"OK",,"2023-03-07T15:08Z","OSBS.2023.10",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vL","0009-0001-7601-8771",
"bb647b1b-2b5b-4f95-a835-bcb0146f4e30","OSBS_048.tickPlot.tck","D03","OSBS","OSBS_048","distributed","deciduousForest",29.678818,-81.947792,"WGS84",20.2,36.9,0.4,"OK",,"2023-03-07T15:54Z","OSBS.2023.10","OSBS_048.20230307","D00000175176","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0003-2904-2960",
"36aa571a-4fcd-4c8e-8e9d-c92aa768fe57","OSBS_004.tickPlot.tck","D03","OSBS","OSBS_004","distributed","evergreenForest",29.683403,-81.960448,"WGS84",20.4,41.8,0.5,"OK",,"2023-03-07T16:58Z","OSBS.2023.10","OSBS_004.20230307","D00000175154","drag and flag",160,"N",,,,"No known compromise","NEON.DOC.014045vL","0000-0003-2904-2960",
"d03f51b9-6407-4af4-8012-884568ea9441","OSBS_063.tickPlot.tck","D03","OSBS","OSBS_063","distributed","mixedForest",29.688556,-81.970004,"WGS84",20.1,38.6,0.1,"OK",,"2023-03-07T17:56Z","OSBS.2023.10",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vL","0000-0003-2904-2960",
"f1c1c4de-240d-4e65-ba1c-b5fc1191f4a1","OSBS_077.tickPlot.tck","D03","OSBS","OSBS_077","distributed","woodyWetlands",29.678312,-82.015674,"WGS84",20.1,29.7,0.2,"OK",,"2023-03-07T18:43Z","OSBS.2023.10","OSBS_077.20230307","D00000175164","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0003-2904-2960",
"c906e9e1-63cc-40f3-85c5-eb3d969e2c8f","OSBS_001.tickPlot.tck","D03","OSBS","OSBS_001","distributed","woodyWetlands",29.704063,-82.008061,"WGS84",20.3,34.4,0.3,"OK",,"2023-03-07T19:31Z","OSBS.2023.10","OSBS_001.20230307","D00000175177","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0003-2904-2960",
"23cd38b5-c4a0-45da-a292-b06d3aed8cc3","OSBS_002.tickPlot.tck","D03","OSBS","OSBS_002","distributed","evergreenForest",29.703656,-81.958372,"WGS84",20.6,35.0,1.2,"OK",,"2023-03-29T13:57Z","OSBS.2023.13",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vL","0000-0003-2904-2960",
"1da4c5b5-ed24-4e9f-a001-4e4d5caca400","OSBS_048.tickPlot.tck","D03","OSBS","OSBS_048","distributed","deciduousForest",29.678818,-81.947792,"WGS84",20.2,36.9,0.4,"OK",,"2023-03-29T14:52Z","OSBS.2023.13","OSBS_048.20230329","D00000175161","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0003-3959-3034",
"e0ef0a09-38f6-4b7c-8a12-8ec9576e9dfc","OSBS_004.tickPlot.tck","D03","OSBS","OSBS_004","distributed","evergreenForest",29.683403,-81.960448,"WGS84",20.4,41.8,0.5,"OK",,"2023-03-29T15:52Z","OSBS.2023.13",,,"drag and flag",160,"N",,,,"No known compromise","NEON.DOC.014045vL","0000-0003-2904-2960",
"a4f483b8-f370-43de-9aed-150db102325b","OSBS_063.tickPlot.tck","D03","OSBS","OSBS_063","distributed","mixedForest",29.688556,-81.970004,"WGS84",20.1,38.6,0.1,"OK",,"2023-03-29T17:18Z","OSBS.2023.13","OSBS_063.20230329","D00000175159","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0003-3959-3034",
"5dd14272-a6e9-4d48-a906-21cd3f40152c","OSBS_077.tickPlot.tck","D03","OSBS","OSBS_077","distributed","woodyWetlands",29.678312,-82.015674,"WGS84",20.1,29.7,0.2,"OK",,"2023-03-29T18:46Z","OSBS.2023.13","OSBS_077.20230329","D00000175158","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0003-2904-2960",
"e1017684-c0bc-4700-b2be-a22a10579417","OSBS_001.tickPlot.tck","D03","OSBS","OSBS_001","distributed","woodyWetlands",29.704063,-82.008061,"WGS84",20.3,34.4,0.3,"OK",,"2023-03-29T19:40Z","OSBS.2023.13","OSBS_001.20230329","D00000175155","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0003-3959-3034",
