uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"e6006c6f-96b1-4944-bce3-ddf2ab9f75bf","STEI_002.tickPlot.tck","D05","STEI","STEI_002","distributed","deciduousForest",45.796166,-90.091454,"WGS84",20.2,518.7,0.3,"logistical",,"2023-05-01T17:00Z","STEI.2023.18",,,,,,,,,,"NEON.DOC.014045vL","0000-0002-5484-7763","personnel shortage"
"15522491-fa05-4252-a11d-bdec0984f5c4","STEI_023.tickPlot.tck","D05","STEI","STEI_023","distributed","woodyWetlands",45.824017,-90.096171,"WGS84",20.2,480.4,0.3,"logistical",,"2023-05-01T17:00Z","STEI.2023.18",,,,,,,,,,"NEON.DOC.014045vL","0000-0002-5484-7763","personnel shortage"
"e925b6c6-dede-486d-b5c6-75e745630033","STEI_001.tickPlot.tck","D05","STEI","STEI_001","distributed","deciduousForest",45.812990,-90.091127,"WGS84",20.2,508.5,0.4,"logistical",,"2023-05-01T17:00Z","STEI.2023.18",,,,,,,,,,"NEON.DOC.014045vL","0000-0002-5484-7763","personnel shortage"
"0a26e059-8567-4a39-b7b2-d9c2d2c64b30","STEI_029.tickPlot.tck","D05","STEI","STEI_029","distributed","mixedForest",45.832881,-90.075490,"WGS84",20.2,491.5,0.2,"logistical",,"2023-05-01T17:00Z","STEI.2023.18",,,,,,,,,,"NEON.DOC.014045vL","0000-0002-5484-7763","personnel shortage"
"ac32e8af-8fc5-4e8d-becf-843230bab278","STEI_005.tickPlot.tck","D05","STEI","STEI_005","distributed","deciduousForest",45.825114,-90.085879,"WGS84",20.2,508.5,0.3,"logistical",,"2023-05-01T17:00Z","STEI.2023.18",,,,,,,,,,"NEON.DOC.014045vL","0000-0002-5484-7763","personnel shortage"
"63bc2cec-6e0a-4d82-afb6-38e10934a2ea","STEI_003.tickPlot.tck","D05","STEI","STEI_003","distributed","deciduousForest",45.824082,-90.071061,"WGS84",20.2,510.9,0.3,"logistical",,"2023-05-01T17:00Z","STEI.2023.18",,,,,,,,,,"NEON.DOC.014045vL","0000-0002-5484-7763","personnel shortage"
"3f0224b1-d838-4c19-a743-2d65e9aac631","STEI_029.tickPlot.tck","D05","STEI","STEI_029","distributed","mixedForest",45.832881,-90.075490,"WGS84",20.2,491.5,0.2,"logistical",,"2023-05-24T17:00Z","STEI.2023.21",,,,,,,,,,"NEON.DOC.014045vL","0000-0002-5484-7763",
"5e17bd4c-0910-4d52-99e1-412d10ec459f","STEI_003.tickPlot.tck","D05","STEI","STEI_003","distributed","deciduousForest",45.824082,-90.071061,"WGS84",20.2,510.9,0.3,"logistical",,"2023-05-24T17:00Z","STEI.2023.21",,,,,,,,,,"NEON.DOC.014045vL","0000-0002-5484-7763",
"6e8d0013-f371-4dfb-9577-cd84ad3dad5f","STEI_001.tickPlot.tck","D05","STEI","STEI_001","distributed","deciduousForest",45.812990,-90.091127,"WGS84",20.2,508.5,0.4,"OK",,"2023-05-24T19:20Z","STEI.2023.21","STEI_001.20230524","D00000171087","drag and flag",166,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0002-1112-3562",
"4c73f223-5f9d-4949-826d-14143f92f084","STEI_002.tickPlot.tck","D05","STEI","STEI_002","distributed","deciduousForest",45.796166,-90.091454,"WGS84",20.2,518.7,0.3,"OK",,"2023-05-25T14:11Z","STEI.2023.21",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vL","0000-0002-1112-3562",
"c5f23f98-7ec6-4c1f-be3d-c0ca81a0a1aa","STEI_023.tickPlot.tck","D05","STEI","STEI_023","distributed","woodyWetlands",45.824017,-90.096171,"WGS84",20.2,480.4,0.3,"OK",,"2023-05-25T16:08Z","STEI.2023.21","STEI_023.20230525","D00000171095","drag and flag",152,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0002-1112-3562",
"4eed92ae-c40c-42bf-bb25-c4703856fcd6","STEI_005.tickPlot.tck","D05","STEI","STEI_005","distributed","deciduousForest",45.825114,-90.085879,"WGS84",20.2,508.5,0.3,"logistical",,"2023-05-25T17:00Z","STEI.2023.21",,,,,,,,,,"NEON.DOC.014045vL","0000-0002-5484-7763",
