uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"a4a967e8-026f-4a4d-847c-8fc855a33749","930cdfe3-6866-4af8-a26b-0fcf56da88c9","ABBY_004.mammalGrid.mam","D16","ABBY","ABBY_004","A4","distributed","shrubScrub",45.768540,-122.300356,"WGS84",45.1,553.8,0.1,"1 - trap not set","ShermanXLK","2023-08-14","2023-08-14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"56e00f83-b6ec-4b9f-9b11-a47b37533306"
"129b7332-a2f8-4233-ad3f-bd0c8980da2a","930cdfe3-6866-4af8-a26b-0fcf56da88c9","ABBY_004.mammalGrid.mam","D16","ABBY","ABBY_004","D3","distributed","shrubScrub",45.768540,-122.300356,"WGS84",45.1,553.8,0.1,"1 - trap not set","ShermanXLK","2023-08-14","2023-08-14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0f2a27b5-05c2-41e8-8e57-5a820a5a0826"
"804c02e8-8d7e-4203-8095-70d2e022eb7f","930cdfe3-6866-4af8-a26b-0fcf56da88c9","ABBY_004.mammalGrid.mam","D16","ABBY","ABBY_004","I4","distributed","shrubScrub",45.768540,-122.300356,"WGS84",45.1,553.8,0.1,"1 - trap not set","ShermanXLK","2023-08-14","2023-08-14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"e79334f0-dc0b-4074-82a4-4c7ab204a182"
"f12fa0c3-40ae-4c8a-930d-d3d5d2e4a534","17398901-921d-40bf-9cfe-d2132497f6fd","ABBY_002.mammalGrid.mam","D16","ABBY","ABBY_002","G6","distributed","grasslandHerbaceous",45.740362,-122.309739,"WGS84",45.1,624.5,0.1,"1 - trap not set","ShermanXLK","2023-08-14","2023-08-14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3868cf61-0dae-463a-a9ff-9c5bd5f7f7f3"
"e6d26480-76e2-4830-b6a1-01adc1ad1217","e44e653e-7c54-4052-aade-d44389dc2d60","ABBY_010.mammalGrid.mam","D16","ABBY","ABBY_010","C10","distributed","evergreenForest",45.777213,-122.373675,"WGS84",45.6,574.6,0.7,"1 - trap not set","ShermanXLK","2023-08-14","2023-08-14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"c3091d17-9c47-4799-a53e-68a3f947f783"
"91b5b442-e75e-4bb7-a9c9-531ed342288f","17398901-921d-40bf-9cfe-d2132497f6fd","ABBY_002.mammalGrid.mam","D16","ABBY","ABBY_002","C3","distributed","grasslandHerbaceous",45.740362,-122.309739,"WGS84",45.1,624.5,0.1,"1 - trap not set","ShermanXLK","2023-08-14","2023-08-14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"b3da1e5c-0ddc-465e-926d-d31acc44a79d"
"72d60061-0528-4a7a-a656-d2f3713fc14b","e44e653e-7c54-4052-aade-d44389dc2d60","ABBY_010.mammalGrid.mam","D16","ABBY","ABBY_010","C7","distributed","evergreenForest",45.777213,-122.373675,"WGS84",45.6,574.6,0.7,"1 - trap not set","ShermanXLK","2023-08-14","2023-08-14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1793ccb0-f19f-4b4c-afaf-5c8ea77eff32"
"0a0fc292-3517-424a-9487-a463b0dc334f","930cdfe3-6866-4af8-a26b-0fcf56da88c9","ABBY_004.mammalGrid.mam","D16","ABBY","ABBY_004","C6","distributed","shrubScrub",45.768540,-122.300356,"WGS84",45.1,553.8,0.1,"1 - trap not set","ShermanXLK","2023-08-14","2023-08-14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"c415e687-9905-4023-a17c-5757640b4b3a"
"32eaf1eb-574b-4cf4-ae54-472fa1a31bbc","930cdfe3-6866-4af8-a26b-0fcf56da88c9","ABBY_004.mammalGrid.mam","D16","ABBY","ABBY_004","J6","distributed","shrubScrub",45.768540,-122.300356,"WGS84",45.1,553.8,0.1,"1 - trap not set","ShermanXLK","2023-08-14","2023-08-14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5b4c7c3e-b2f7-47bb-8b51-7c487c6dc242"
"9d157a2a-3d44-442a-b06d-10991285e3dd","e44e653e-7c54-4052-aade-d44389dc2d60","ABBY_010.mammalGrid.mam","D16","ABBY","ABBY_010","I9","distributed","evergreenForest",45.777213,-122.373675,"WGS84",45.6,574.6,0.7,"1 - trap not set","ShermanXLK","2023-08-14","2023-08-14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8975021f-2e59-485b-9717-688ec0f56f76"
