uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"b6027110-6189-49db-83c2-1a5cedfdf3eb","LENO_015.tickPlot.tck","D08","LENO","LENO_015","distributed","woodyWetlands",31.817300,-88.191490,"WGS84",20.3,12.1,0.6,"OK",,"2021-08-05T14:48Z","LENO.2021.32",,,"drag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-7158-4969",
"9ea3f418-96a7-4e74-abb4-63c9f5c43d53","LENO_004.tickPlot.tck","D08","LENO","LENO_004","distributed","woodyWetlands",31.822384,-88.181964,"WGS84",20.2,12.6,0.2,"OK",,"2021-08-05T15:15Z","LENO.2021.32",,,"drag",160,"N",,,,,"NEON.DOC.014045vK","0000-0003-0686-286X",
"954588be-3033-4171-8c32-6ce4108204ef","LENO_023.tickPlot.tck","D08","LENO","LENO_023","distributed","deciduousForest",31.809460,-88.181413,"WGS84",20.1,11.3,0.2,"OK",,"2021-08-05T16:03Z","LENO.2021.32",,,"drag",135,"N",,,,,"NEON.DOC.014045vK","0000-0003-0686-286X","One side flooded"
"31315d52-adb4-44e6-8d27-50dd540557e7","LENO_003.tickPlot.tck","D08","LENO","LENO_003","distributed","deciduousForest",31.809574,-88.187560,"WGS84",20.2,13.2,0.3,"OK",,"2021-08-05T16:32Z","LENO.2021.32",,,"drag",155,"N",,,,,"NEON.DOC.014045vK","0000-0003-0686-286X",
"58d3e9b5-6dc8-4e02-9031-a025172c0a64","LENO_002.tickPlot.tck","D08","LENO","LENO_002","distributed","woodyWetlands",31.806282,-88.195217,"WGS84",20.1,16.7,0.2,"OK",,"2021-08-05T16:44Z","LENO.2021.32",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-7158-4969",
"ce61a91d-1b79-4fc7-884f-c17164c5a435","LENO_042.tickPlot.tck","D08","LENO","LENO_042","distributed","woodyWetlands",31.817828,-88.182885,"WGS84",20.2,15.0,0.3,"location flooded",,"2021-08-05T17:00Z","LENO.2021.32",,,,,,,,,,"NEON.DOC.014045vK","0000-0003-0686-286X","Flooded"
"59f263f3-3a38-43cc-bb16-6daa9c0b669b","LENO_042.tickPlot.tck","D08","LENO","LENO_042","distributed","woodyWetlands",31.817828,-88.182885,"WGS84",20.2,15.0,0.3,"location flooded",,"2021-08-23T17:00Z","LENO.2021.35",,,,,,,,,,"NEON.DOC.014045vK","0000-0002-4399-9307",
"6283f30d-38fd-4904-8902-f06d94b3c63b","LENO_002.tickPlot.tck","D08","LENO","LENO_002","distributed","woodyWetlands",31.806282,-88.195217,"WGS84",20.1,16.7,0.2,"OK",,"2021-08-23T17:34Z","LENO.2021.35",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-4399-9307",
"037bc56a-4fa9-454b-87e3-d847a838be6e","LENO_004.tickPlot.tck","D08","LENO","LENO_004","distributed","woodyWetlands",31.822384,-88.181964,"WGS84",20.2,12.6,0.2,"OK",,"2021-08-24T20:07Z","LENO.2021.35",,,"drag",140,"N",,,,,"NEON.DOC.014045vK","0000-0002-7158-4969","Reduced area due to rubus and timber rattlesnake in path"
"4c6450e3-4729-4931-9709-ed9f954ee8bc","LENO_015.tickPlot.tck","D08","LENO","LENO_015","distributed","woodyWetlands",31.817300,-88.191490,"WGS84",20.3,12.1,0.6,"OK",,"2021-08-24T20:42Z","LENO.2021.35","LENO_015.20210824","D00000048174","drag",160,"Y",,,,"No known compromise","NEON.DOC.014045vK","0000-0002-7158-4969",
"8521659e-4e5c-4f12-b741-2bdf7f43f76a","LENO_023.tickPlot.tck","D08","LENO","LENO_023","distributed","deciduousForest",31.809460,-88.181413,"WGS84",20.1,11.3,0.2,"OK",,"2021-08-24T21:12Z","LENO.2021.35",,,"drag",130,"N",,,,,"NEON.DOC.014045vK","0000-0002-7158-4969",
"c6a98547-3f17-40bd-b24f-56b09eb4f608","LENO_003.tickPlot.tck","D08","LENO","LENO_003","distributed","deciduousForest",31.809574,-88.187560,"WGS84",20.2,13.2,0.3,"OK",,"2021-08-24T21:35Z","LENO.2021.35",,,"drag and flag",157,"N",,,,,"NEON.DOC.014045vK","0000-0003-3172-1559",
